,STATE,RURAL,URBAN,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,INTERSTATE,OTHERFREEWAYS ANDEXPRESSWAYS,OTHERPRINCIPAL  ARTERIAL,MINORARTERIAL,MAJORCOLLECTOR,MINORCOLLECTOR,LOCAL,TOTAL,INTERSTATE,OTHERFREEWAYS ANDEXPRESSWAYS,OTHERPRINCIPALARTERIAL,MINORARTERIAL,MAJORCOLLECTOR,MINORCOLLECTOR,LOCAL,TOTAL,TOTAL,
1,Alabama,9675,-,8644,7105,6890,2173,11029,45517,14058,856,15301,11414,6723,101,14270,62723,108240.0
2,Alaska,1344,-,490,188,484,232,683,3421,1208,-,1492,867,385,207,542,4699,8120.0
3,Arizona,10237,49,5312,2519,3926,721,2325,25089,12018,12259,12966,25034,6598,227,10489,79591,104680.0
4,Arkansas,6213,594,5770,4483,5543,1050,3488,27140,8162,1676,5933,7194,2876,104,3077,29022,56162.0
5,California,24885,8408,16105,12145,12238,4061,8547,86389,116881,97214,85417,78686,39612,486,35311,453608,539997.0
6,Colorado,7152,380,6568,3206,2812,1184,2367,23669,14532,8399,14623,9910,4214,72,5751,57502,81171.0
7,Connecticut,754,478,710,656,1298,234,953,5083,15974,6673,6120,8293,4181,377,4141,45759,50842.0
8,Delaware,-,982,1392,517,976,273,688,4828,2175,971,3409,1733,1278,83,1506,11154,15982.0
9,Dist. of Columbia,-,-,-,-,-,-,-,-,736,602,1595,1133,420,-,1239,5725,5725.0
10,Florida,15433,2921,12464,5594,5599,2297,9010,53318,45796,21511,69823,44811,29288,5494,63064,279788,333106.0
11,Georgia,11412,-,9450,9044,7936,1577,6591,46010,37815,5675,25591,28211,9182,620,36969,144064,190074.0
12,Hawaii,-,-,520,871,246,55,1161,2854,3021,813,3353,1607,1107,413,3410,13723,16577.0
13,Idaho,3998,-,3655,1541,2087,367,3702,15349,2394,-,3798,2702,1106,6,1460,11466,26815.0
14,Illinois,14077,166,5716,7057,7209,676,5381,40283,38359,1865,31915,24943,13103,273,18600,129058,169341.0
15,Indiana,11845,1183,6538,6201,8687,3318,7648,45420,17502,2230,16308,14312,6858,671,23545,81427,126846.0
16,Iowa,7991,-,9725,4206,5415,1315,2390,31043,4997,-,6603,5710,1802,-,3212,22325,53367.0
17,Kansas,5704,2014,5029,3637,4284,542,2897,24108,6513,3072,2299,6866,3444,368,3829,26392,50500.0
18,Kentucky,12819,2951,5490,5708,6491,3559,5036,42055,10628,1404,7473,9021,3415,234,4104,36279,78334.0
19,Louisiana,9142,329,4645,5089,5302,1753,3544,29805,15051,1232,13258,10498,4749,350,2594,47733,77539.0
20,Maine,3691,-,3027,2832,3652,1392,2384,16978,1350,231,1098,1591,1536,40,720,6566,23544.0
21,Maryland,3320,-,3569,2998,2557,1507,2737,16688,24203,10042,18448,11225,6720,215,5022,75875,92563.0
22,Massachusetts,1297,103,434,742,865,199,902,4542,26536,9331,19388,17211,5454,-,12904,90823,95366.0
23,Michigan,8095,3839,6510,10567,12753,1483,3611,46857,27596,9898,27690,25090,8018,45,12269,110606,157463.0
24,Minnesota,6196,15,11023,7656,6596,2088,4170,37743,14174,5743,8487,14311,4476,66,7368,54625,92368.0
25,Mississippi,6849,-,8123,5586,6406,670,8030,35663,6548,726,8292,4174,2806,10,5977,28534,64197.0
26,Missouri,10974,6144,6479,5557,8161,1111,8959,47385,22358,8320,9356,10224,5235,78,12784,68355,115740.0
27,Montana,3980,-,3898,1695,1491,721,1941,13726,961,-,1955,1049,677,43,1458,6142,19867.0
28,Nebraska,4579,1586,3779,3815,2420,381,1759,18319,2469,1925,3459,3179,1017,3,1978,14030,32349.0
29,Nevada,3408,-,2428,624,536,372,695,8064,6704,2713,4975,7436,72,3082,8678,33659,41723.0
30,New Hampshire,1680,229,1664,1788,1596,774,582,8314,3079,2167,2118,2708,1412,-,1276,12759,21072.0
