STATE,RURAL,,,,,,,,URBAN,,,,,,,, 
,INTERSTATE,OTHERFREEWAYS ANDEXPRESSWAYS,"OTHERPRINCIPAL
  ARTERIAL",MINORARTERIAL,MAJORCOLLECTOR,MINORCOLLECTOR,LOCAL,TOTAL,INTERSTATE,OTHERFREEWAYS ANDEXPRESSWAYS,OTHERPRINCIPALARTERIAL,MINORARTERIAL,MAJORCOLLECTOR,MINORCOLLECTOR,LOCAL,TOTAL,TOTAL
Alabama,"9,675 ",-,"8,644 ","7,105 ","6,890 ","2,173 ","11,029 ","45,517 ","14,058 ",856 ,"15,301 ","11,414 ","6,723 ",101 ,"14,270 ","62,723 ","108,240 "
Alaska,"1,344 ",-,490 ,188 ,484 ,232 ,683 ,"3,421 ","1,208 ",-,"1,492 ",867 ,385 ,207 ,542 ,"4,699 ","8,120 "
Arizona,"10,237 ",49 ,"5,312 ","2,519 ","3,926 ",721 ,"2,325 ","25,089 ","12,018 ","12,259 ","12,966 ","25,034 ","6,598 ",227 ,"10,489 ","79,591 ","104,680 "
Arkansas,"6,213 ",594 ,"5,770 ","4,483 ","5,543 ","1,050 ","3,488 ","27,140 ","8,162 ","1,676 ","5,933 ","7,194 ","2,876 ",104 ,"3,077 ","29,022 ","56,162 "
California,"24,885 ","8,408 ","16,105 ","12,145 ","12,238 ","4,061 ","8,547 ","86,389 ","116,881 ","97,214 ","85,417 ","78,686 ","39,612 ",486 ,"35,311 ","453,608 ","539,997 "
Colorado,"7,152 ",380 ,"6,568 ","3,206 ","2,812 ","1,184 ","2,367 ","23,669 ","14,532 ","8,399 ","14,623 ","9,910 ","4,214 ",72 ,"5,751 ","57,502 ","81,171 "
Connecticut,754 ,478 ,710 ,656 ,"1,298 ",234 ,953 ,"5,083 ","15,974 ","6,673 ","6,120 ","8,293 ","4,181 ",377 ,"4,141 ","45,759 ","50,842 "
Delaware,-,982 ,"1,392 ",517 ,976 ,273 ,688 ,"4,828 ","2,175 ",971 ,"3,409 ","1,733 ","1,278 ",83 ,"1,506 ","11,154 ","15,982 "
Dist. of Columbia,-,-,-,-,-,-,-,-,736 ,602 ,"1,595 ","1,133 ",420 ,-,"1,239 ","5,725 ","5,725 "
Florida,"15,433 ","2,921 ","12,464 ","5,594 ","5,599 ","2,297 ","9,010 ","53,318 ","45,796 ","21,511 ","69,823 ","44,811 ","29,288 ","5,494 ","63,064 ","279,788 ","333,106 "
Georgia,"11,412 ",-,"9,450 ","9,044 ","7,936 ","1,577 ","6,591 ","46,010 ","37,815 ","5,675 ","25,591 ","28,211 ","9,182 ",620 ,"36,969 ","144,064 ","190,074 "
Hawaii,-,-,520 ,871 ,246 ,55 ,"1,161 ","2,854 ","3,021 ",813 ,"3,353 ","1,607 ","1,107 ",413 ,"3,410 ","13,723 ","16,577 "
Idaho,"3,998 ",-,"3,655 ","1,541 ","2,087 ",367 ,"3,702 ","15,349 ","2,394 ",-,"3,798 ","2,702 ","1,106 ",6 ,"1,460 ","11,466 ","26,815 "
Illinois,"14,077 ",166 ,"5,716 ","7,057 ","7,209 ",676 ,"5,381 ","40,283 ","38,359 ","1,865 ","31,915 ","24,943 ","13,103 ",273 ,"18,600 ","129,058 ","169,341 "
Indiana,"11,845 ","1,183 ","6,538 ","6,201 ","8,687 ","3,318 ","7,648 ","45,420 ","17,502 ","2,230 ","16,308 ","14,312 ","6,858 ",671 ,"23,545 ","81,427 ","126,846 "
Iowa,"7,991 ",-,"9,725 ","4,206 ","5,415 ","1,315 ","2,390 ","31,043 ","4,997 ",-,"6,603 ","5,710 ","1,802 ",-,"3,212 ","22,325 ","53,367 "
Kansas,"5,704 ","2,014 ","5,029 ","3,637 ","4,284 ",542 ,"2,897 ","24,108 ","6,513 ","3,072 ","2,299 ","6,866 ","3,444 ",368 ,"3,829 ","26,392 ","50,500 "
Kentucky,"12,819 ","2,951 ","5,490 ","5,708 ","6,491 ","3,559 ","5,036 ","42,055 ","10,628 ","1,404 ","7,473 ","9,021 ","3,415 ",234 ,"4,104 ","36,279 ","78,334 "
Louisiana,"9,142 ",329 ,"4,645 ","5,089 ","5,302 ","1,753 ","3,544 ","29,805 ","15,051 ","1,232 ","13,258 ","10,498 ","4,749 ",350 ,"2,594 ","47,733 ","77,539 "
Maine,"3,691 ",-,"3,027 ","2,832 ","3,652 ","1,392 ","2,384 ","16,978 ","1,350 ",231 ,"1,098 ","1,591 ","1,536 ",40 ,720 ,"6,566 ","23,544 "
Maryland,"3,320 ",-,"3,569 ","2,998 ","2,557 ","1,507 ","2,737 ","16,688 ","24,203 ","10,042 ","18,448 ","11,225 ","6,720 ",215 ,"5,022 ","75,875 ","92,563 "
Massachusetts,"1,297 ",103 ,434 ,742 ,865 ,199 ,902 ,"4,542 ","26,536 ","9,331 ","19,388 ","17,211 ","5,454 ",-,"12,904 ","90,823 ","95,366 "
Michigan,"8,095 ","3,839 ","6,510 ","10,567 ","12,753 ","1,483 ","3,611 ","46,857 ","27,596 ","9,898 ","27,690 ","25,090 ","8,018 ",45 ,"12,269 ","110,606 ","157,463 "
Minnesota,"6,196 ",15 ,"11,023 ","7,656 ","6,596 ","2,088 ","4,170 ","37,743 ","14,174 ","5,743 ","8,487 ","14,311 ","4,476 ",66 ,"7,368 ","54,625 ","92,368 "
