,STATE,NATIONAL  HIGHWAY     SYSTEM,OTHER FEDERAL-AID HIGHWAYS,ALL FEDERAL-AID HIGHWAYS ,ALL NON-FEDERAL-AID HIGHWAYS,TOTAL,INTERSTATE,OTHER,TOTAL.1,RURAL,URBAN,TOTAL.2,RURAL.1,URBAN.1,TOTAL.3,RURAL.2,URBAN.2,TOTAL.4,RURAL.3,URBAN.3,TOTAL.5,RURAL.4,URBAN.4,TOTAL.6,RURAL.5,URBAN.5,TOTAL.7
0,Alabama,6012,8736,14747,5324,9483,14807,11336,18219,29555,8743,11899,20642,20079,30118,50197,8204,8856,17060,67257,,,,,,,
1,Alaska,835,750,1586,348,971,1319,1183,1721,2904,375,862,1237,1558,2583,4141,568,337,904,5045,,,,,,,
2,Arizona,6361,7468,13829,3268,13400,16668,9629,20868,30497,4069,22070,26138,13697,42938,56635,1892,6518,8410,65045,,,,,,,
3,Arkansas,3860,5072,8932,3939,4288,8226,7799,9359,17158,6246,6765,13011,14045,16125,30169,2819,1909,4728,34897,,,,,,,
4,California,15463,72627,88090,14907,112742,127649,30370,185368,215739,15489,74646,90135,45859,260014,305874,7820,21845,29665,335539,,,,,,,
5,Colorado,4444,9030,13474,4271,14193,18464,8715,23223,31938,3786,8933,12719,12501,32156,44658,2206,3574,5780,50437,,,,,,,
6,Connecticut,469,9926,10394,717,7909,8626,1186,17835,19021,1235,8025,9261,2421,25860,28281,737,2573,3310,31592,,,,,,,
7,Delaware,-,1351,1351,1495,2747,4242,1495,4099,5593,908,1896,2804,2403,5995,8398,597,936,1533,9931,,,,,,,
8,Dist. of Columbia,-,457,457,-,1365,1365,-,1822,1822,-,965,965,-,2787,2787,-,770,770,3557,,,,,,,
9,Florida,9589,28456,38046,9401,56046,65447,18990,84502,103492,7114,50170,57284,26104,134672,160776,7026,39180,46206,206982,,,,,,,
10,Georgia,7091,23497,30588,6919,20738,27657,14011,44235,58245,9504,22333,31837,23514,66568,90082,5075,22949,28024,118107,,,,,,,
11,Hawaii,-,1877,1877,325,2605,2930,325,4482,4807,692,1927,2619,1017,6409,7427,756,2118,2874,10301,,,,,,,
