STATE,NATIONAL  HIGHWAY     SYSTEM,,,,,,,,,OTHER FEDERAL-AID HIGHWAYS,,,ALL FEDERAL-AID HIGHWAYS ,,,ALL NON-FEDERAL-AID HIGHWAYS,,,TOTAL
,INTERSTATE,,,OTHER,,,TOTAL,,,,,,,,,,,,
,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,
Alabama,"9,675 ","14,058 ","23,734 ","8,568 ","15,262 ","23,830 ","18,244 ","29,320 ","47,564 ","14,071 ","19,150 ","33,220 ","32,314 ","48,470 ","80,784 ","13,202 ","14,253 ","27,456 ","108,240 "
Alaska,"1,344 ","1,208 ","2,552 ",560 ,"1,562 ","2,122 ","1,904 ","2,770 ","4,674 ",603 ,"1,387 ","1,990 ","2,507 ","4,157 ","6,664 ",914 ,542 ,"1,456 ","8,120 "
Arizona,"10,237 ","12,018 ","22,255 ","5,259 ","21,566 ","26,824 ","15,496 ","33,584 ","49,080 ","6,548 ","35,518 ","42,065 ","22,044 ","69,102 ","91,145 ","3,045 ","10,489 ","13,534 ","104,680 "
Arkansas,"6,213 ","8,162 ","14,375 ","6,338 ","6,900 ","13,239 ","12,551 ","15,062 ","27,614 ","10,052 ","10,888 ","20,939 ","22,603 ","25,950 ","48,553 ","4,537 ","3,072 ","7,609 ","56,162 "
California,"24,885 ","116,881 ","141,767 ","23,991 ","181,440 ","205,431 ","48,876 ","298,321 ","347,198 ","24,927 ","120,131 ","145,058 ","73,804 ","418,452 ","492,256 ","12,586 ","35,156 ","47,741 ","539,997 "
Colorado,"7,152 ","14,532 ","21,684 ","6,873 ","22,842 ","29,715 ","14,026 ","37,374 ","51,400 ","6,093 ","14,377 ","20,470 ","20,119 ","51,751 ","71,869 ","3,550 ","5,751 ","9,302 ","81,171 "
Connecticut,754 ,"15,974 ","16,728 ","1,154 ","12,729 ","13,883 ","1,908 ","28,703 ","30,611 ","1,988 ","12,916 ","14,903 ","3,896 ","41,618 ","45,514 ","1,187 ","4,141 ","5,328 ","50,842 "
Delaware,-,"2,175 ","2,175 ","2,406 ","4,421 ","6,827 ","2,406 ","6,596 ","9,002 ","1,462 ","3,051 ","4,513 ","3,867 ","9,648 ","13,515 ",961 ,"1,506 ","2,467 ","15,982 "
