,STATE,INTERSTATE SYSTEM,OTHER  ARTERIALS ,OTHER ,MOTOR- CYCLES ,PASSENGER CARS ,LIGHT TRUCKS , BUSES ,SINGLE-UNIT TRUCKS ,COMBINATION TRUCKS ,TOTAL,MOTOR- CYCLES .1,PASSENGER CARS .1,LIGHT TRUCKS .1, BUSES .1,SINGLE-UNIT TRUCKS .1,COMBINATION TRUCKS .1,TOTAL.1,MOTOR- CYCLES .2,PASSENGER CARS .2,LIGHT TRUCKS .2, BUSES .2,SINGLE-UNIT TRUCKS .2,COMBINATION TRUCKS .2,TOTAL.2
0,Alabama,0.4,71.14,16.06,0.48,3.41,8.51,100.0,0.74,73.36,19.49,0.27,2.38,3.76,100.0,1.02,70.93,21.49,0.42,3.43,2.71,100.0,,,
1,Alaska,0.25,62.12,30.67,0.35,5.1,1.51,100.0,0.23,63.61,30.1,0.38,4.49,1.19,100.0,0.29,62.95,29.86,0.37,4.91,1.62,100.0,,,
2,Arizona,0.48,69.36,20.01,0.69,3.72,5.74,100.0,0.62,71.37,20.51,0.62,3.62,3.26,100.0,0.2,71.72,18.91,0.26,5.04,3.87,100.0,,,
3,Arkansas,0.36,44.04,25.04,0.88,4.02,25.66,100.0,0.5,64.68,28.6,0.46,2.09,3.67,100.0,0.64,65.48,28.2,0.84,2.88,1.96,100.0,,,
4,California,0.7,73.22,17.15,0.3,3.02,5.61,100.0,0.97,73.19,19.8,0.72,3.07,2.25,100.0,1.36,72.32,22.35,0.52,2.5,0.95,100.0,,,
5,Colorado,0.46,69.15,21.79,0.09,3.17,5.34,100.0,0.68,73.11,22.47,0.46,1.75,1.53,100.0,0.98,68.33,28.01,0.6,1.37,0.71,100.0,,,
6,Connecticut,0.19,79.42,11.33,0.22,3.0,5.84,100.0,0.74,81.49,13.68,0.09,1.7,2.3,100.0,0.67,82.98,14.2,0.04,1.02,1.09,100.0,,,
7,Delaware,0.57,75.57,12.91,0.97,4.14,5.84,100.0,0.59,77.21,15.25,1.04,4.13,1.78,100.0,0.7,73.97,19.14,1.01,4.04,1.14,100.0,,,
8,Dist. of Columbia,0.29,83.23,12.21,0.71,2.75,0.81,100.0,0.55,87.39,8.24,1.27,1.97,0.58,100.0,0.78,84.81,10.61,0.79,2.54,0.47,100.0,,,
9,Florida,0.27,74.22,16.31,0.57,3.17,5.46,100.0,0.57,77.25,16.91,0.47,2.96,1.84,100.0,0.74,76.66,17.27,0.58,3.12,1.63,100.0,,,
10,Georgia,0.3,73.2,16.29,0.66,2.75,6.8,100.0,0.31,77.07,18.04,0.44,2.45,1.69,100.0,0.22,78.05,18.53,0.39,2.2,0.61,100.0,,,
11,Hawaii,0.93,82.21,12.19,1.36,2.23,1.08,100.0,1.97,76.23,16.56,1.37,2.77,1.1,100.0,1.32,73.96,20.56,0.93,2.35,0.88,100.0,,,
12,Idaho,0.26,50.86,38.15,0.18,3.09,7.46,100.0,0.52,53.05,41.67,0.18,3.57,1.01,100.0,1.1,52.2,40.87,0.17,5.23,0.43,100.0,,,
