Year,"Public Road 
        Mileage","Lane 
        Miles","VMT 
        (in millions)"
1920,"3,105,000 ", ,"47,600 "
1921,"3,160,000 ", ,"55,027 "
1922,"3,196,000 ", ,"67,697 "
1923,"3,233,000 ", ,"84,995 "
1924,"3,243,000 ", ,"104,838 "
1925,"3,246,000 ", ,"122,346 "
1926,"3,242,000 ", ,"140,735 "
1927,"3,257,000 ", ,"158,453 "
1928,"3,262,000 ", ,"172,856 "
1929,"3,272,000 ", ,"197,720 "
1930,"3,259,000 ", ,"206,320 "
1931,"3,291,000 ", ,"216,151 "
1932,"3,296,000 ", ,"200,517 "
1933,"3,286,000 ", ,"200,642 "
1934,"3,309,000 ", ,"215,563 "
1935,"3,310,000 ", ,"228,568 "
1936,"3,267,000 ", ,"252,128 "
1937,"3,245,000 ", ,"270,110 "
1938,"3,257,000 ", ,"271,177 "
1939,"3,274,000 ", ,"285,402 "
1940,"3,287,000 ", ,"302,188 "
1941,"3,309,678 ", ,"333,612 "
1942,"3,308,497 ", ,"268,224 "
1943,"3,311,138 ", ,"208,192 "
1944,"3,311,177 ", ,"212,713 "
1945,"3,319,286 ", ,"250,173 "
1946,"3,316,538 ", ,"340,880 "
1947,"3,326,153 ", ,"370,894 "
1948,"3,322,660 ", ,"397,957 "
1949,"3,321,742 ", ,"424,461 "
1950,"3,312,975 ", ,"458,246 "
1951,"3,326,510 ", ,"491,093 "
1952,"3,343,170 ", ,"513,581 "
1953,"3,366,190 ", ,"544,433 "
1954,"3,394,561 ", ,"561,963 "
1955,"3,418,214 ", ,"605,646 "
1956,"3,429,801 ", ,"627,843 "
1957,"3,453,118 ", ,"645,004 "
1958,"3,478,787 ", ,"664,653 "
1959,"3,510,660 ", ,"700,480 "
1960,"3,545,693 ", ,"718,762 "
1961,"3,573,046 ", ,"737,421 "
1962,"3,599,581 ", ,"766,734 "
1963,"3,620,457 ", ,"805,249 "
1964,"3,644,069 ", ,"846,298 "
1965,"3,689,666 ", ,"887,812 "
1966,"3,697,950 ", ,"925,899 "
1967,"3,704,914 ", ,"964,005 "
1968,"3,684,085 ", ,"1,015,869 "
1969,"3,710,299 ", ,"1,061,791 "
1970,"3,730,082 ", ,"1,109,724 "
1971,"3,758,942 ", ,"1,178,811 "
1972,"3,786,713 ", ,"1,259,786 "
1973,"3,806,883 ", ,"1,313,110 "
1974,"3,815,807 ", ,"1,280,544 "
1975,"3,838,146 ", ,"1,327,664 "
1976,"3,857,356 ", ,"1,402,380 "
1977,"3,867,167 ", ,"1,467,027 "
1978,"3,884,761 ", ,"1,544,704 "
1979,"3,917,496 ", ,"1,529,133 "
1980,"3,859,837 ","7,922,174 ","1,527,295 "
1981,"3,852,473 ","7,856,560 ","1,555,308 "
1982,"3,865,894 ","8,012,913 ","1,595,010 "
1983,"3,879,617 ","8,055,068 ","1,652,788 "
1984,"3,891,464 ","8,076,149 ","1,720,269 "
1985,"3,863,912 ","8,017,994 ","1,774,826 "
1986,"3,877,941 ","8,048,512 ","1,834,872 "
1987,"3,873,992 ","8,051,015 ","1,921,204 "
1988,"3,870,744 ","8,048,008 ","2,025,962 "
1989,"3,876,865 ","8,062,952 ","2,096,487 "
1990,"3,866,926 ","8,051,081 ","2,144,362 "
1991,"3,883,920 ","8,087,793 ","2,172,050 "
1992,"3,901,081 ","8,124,090 ","2,247,151 "
1993,"3,905,211 ","8,132,196 ","2,296,378 "
1994,"3,906,595 ","8,143,014 ","2,357,588 "
1995,"3,912,344 ","8,158,253 ","2,422,823 "
1996,"3,934,264 ","8,178,654 ","2,499,779 "
1997,"3,960,500 ","8,242,437 ","2,568,404 "
1998,"3,920,968 ","8,160,836 ","2,644,672 "
1999,"3,932,017 ","8,177,983 ","2,707,236 "
2000,"3,951,101 ","8,224,245 ","2,764,484 "
2001,"3,963,265 ","8,251,865 ","2,813,416 "
2002,"3,981,671 ","8,295,170 ","2,873,612 "
2003,"3,990,899 ","8,315,121 ","2,908,778 "
2004,"3,997,456 ","8,338,821 ","2,982,017 "
2005,"4,011,628 ","8,338,821 ","3,009,218 "
2006,"4,033,011 ","8,420,589 ","3,033,753 "
2007,"4,048,518 ","8,491,789 ","3,049,027 "
2008,"4,059,352 ","8,518,767 ","2,992,705 "
2009,"4,067,396 ","8,577,179 ","2,975,804 "
2010,"4,083,768 ","8,616,206 ","2,985,095 "
2011,"4,094,447 ","8,602,666 ","2,964,720 "
2012,"4,092,730 ","8,606,003 ","2,968,815 "
2013,"4,115,462 ","8,656,070 ","2,988,323 "
2014,"4,194,257 ","8,830,511 ","3,040,220 "
2015,"4,171,417 ","8,801,049 ","3,109,937 "
