, Description,Households and Nonprofit Organizations;Assets,Households and Nonprofit Organizations;Liabilities,Nonfinancial Business;Assets,Nonfinancial Business;Liabilities,Federal Government;Assets,Federal Government;Liabilities,State and Local Governments;Assets,State and Local Governments;Liabilities,Domestic Nonfinancial Sectors;Assets,Domestic Nonfinancial Sectors;Liabilities,Domestic Financial Sectors;Assets,Domestic Financial Sectors;Liabilities,Rest of the World;Assets,Rest of the World;Liabilities,All Sectors;Assets,All Sectors;Liabilities,Instrument Discrep- ancy;
0,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17)
1,Total financial assets,154090005,--,144090005,--,314090005,--,214090005,--,384090005,--,794090005,--,264090005,--,894090005,--,907005015
2,Total liabilities and equity,--,154190005,--,144194005,--,314190005,--,214190005,--,384194005,--,794194005,--,264194005,--,894194005,--
3,Total liabilities and equity; Total liabilities,--,154190005,--,144190005,--,314190005,--,214190005,--,384190005,--,794190005,--,264190005,--,894190005,--
4,U.S. official reserve assets,--,--,--,--,313011005,313111303,--,--,313011005,313111303,713011005,--,263011005,263111005,893011005,893111005,903011005
5,SDR certificates,--,--,--,--,--,713014003,--,--,--,713014003,713014003,--,--,--,713014003,713014003,--
6,Treasury currency,--,--,--,--,--,313112003,--,--,--,313112003,713012003,--,--,--,713012003,313112003,903012005
7,Foreign Deposits,153091003,--,103091003,--,--,--,--,--,383091005,--,633091003,--,--,263191005,893091005,263191005,903091005
8,Interbank claims,--,--,--,--,--,--,--,--,--,--,794010005,794110005,264016005,--,894010005,794110005,904010005
9,Checkable dep. and currency,153020005,--,143020005,--,313020005,--,213020005,--,383020005,--,793020005,793120005,263020005,--,893020005,793120005,903020005
10,Time and savings deposits,153030005,--,143030005,--,313030003,--,213030005,--,383030005,--,793030005,703130005,263030005,--,703130005,703130005,--
11,Money market fund shares,153034005,--,143034005,--,--,--,213034003,--,383034005,--,793034005,634090005,263034003,--,634090005,634090005,--
12,Fed. Funds and security RPs,--,--,102051003,--,--,--,212051003,--,382051005,--,792050005,792150005,262051003,262151003,892050005,892150005,902050005
13,Debt securities,154022005,163162003,144022005,104122005,314022005,314122005,214022005,213162005,384022005,384122005,794022005,794122005,264022005,264122005,894122005,894122005,--
14,Debt securities; Open market paper,--,--,103069100,103169100,--,--,213069103,--,383069105,103169100,793069175,793169175,263069103,263169105,893169175,893169175,--
15,Debt securities; Treasury securities,153061105,--,143061105,--,--,313161105,213061105,--,383061105,313161105,793061105,--,263061105,--,313161105,313161105,--
16,Debt securities; Agency- and GSE-backed sec.,153061705,--,103061703,--,313061703,313161705,213061703,--,383061705,313161705,793061705,423161705,263061705,--,893161705,893161705,--
17,Debt securities; Municipal securities,153062005,163162003,143062005,103162000,--,--,213062003,213162005,383062005,383162005,793062005,--,263062003,--,383162005,383162005,--
18,Debt securities; Corporate and fgn. Bonds,153063005,--,--,103163003,313063763,--,213063003,--,383063005,103163003,793063005,793163005,263063005,263163005,893163005,893163005,--
19,Loans,154023005,154123005,144023005,144123005,314023005,313165403,213065005,213169203,384023005,384123005,794023005,794123005,263069500,264123005,894123005,894123005,--
20,Loans; Depository inst. loans n.e.c.,--,153168005,--,143168005,--,--,--,--,--,383168005,793068005,793168005,--,263168005,793068005,793068005,--
21,Loans; Other loans and advances,153069005,153169005,--,143169005,313069005,--,--,213169203,383069005,383169005,793069005,793169005,263069500,263169005,893169005,893169005,--
22,Loans; Mortgages,153065005,153165005,143065005,143165005,313065005,313165403,213065005,--,383065005,383165005,793065005,643165005,--,--,893065005,893065005,--
23,Loans; Consumer credit,163066223,153166000,143066005,--,313066220,--,--,--,383066005,153166000,793066005,--,--,--,153166000,153166000,--
24,Corporate equities,153064105,--,--,103164103,313064105,--,213064103,--,383064105,103164103,793064105,793164105,263064105,263164103,893064105,893064105,--
25,Mutual fund shares,153064205,--,103064203,--,--,--,213064203,--,383064205,--,793064205,653164205,263064203,--,653164205,653164205,--
26,Trade credit,163070005,163170005,143070005,143170005,313070000,313170005,213070003,213170003,383070005,383170005,793070005,663170003,263070003,263170003,893070005,893170005,903070005
27,Life insurance reserves,153040005,--,--,--,--,313140003,--,--,153040005,313140003,793040005,543140005,--,--,883140005,883140005,--
28,Pension entitlements,153050005,--,--,--,--,--,--,--,153050005,--,--,153050005,--,--,153050005,153050005,--
29,Taxes payable,--,--,--,143178005,313078005,--,213078005,--,383078005,143178005,--,793178005,--,--,893078005,893178005,903078005
30,Equity in noncorp. Business,152090205,--,--,112090205,--,--,--,--,152090205,112090205,--,662090205,--,--,152090205,152090205,--
31,U.S. direct investment abroad,--,--,103092005,--,--,--,--,--,103092005,--,793092005,--,--,263192005,263192005,263192005,--
32,Foreign direct investment in U.S.,--,--,--,143192005,--,--,--,--,--,143192005,--,793192005,263092001,--,263092001,263092001,--
33,Miscellaneous,153090005,543077073,143090005,143190005,313090005,313190005,213093003,223073045,383090005,383190005,793090005,793190005,--,263190005,893090005,893190005,903090005
