,Date,Domestic nonfinancial sectorsTotalLA384104005,Domestic nonfinancial sectorsHouseholdsTotalLA154104005,Domestic nonfinancial sectorsHouseholdsHome mortgageLA153165105,Domestic nonfinancial sectorsHouseholdsConsumercreditLA153166000,Domestic nonfinancial sectorsBusinessTotalLA144104005,Domestic nonfinancial sectorsBusinessCorporateLA104104005,Domestic nonfinancial sectorsFederalgovernmentLA314104005,Domestic nonfinancial sectorsState andlocalgovernmentsLA214104005,DomesticfinancialsectorsLA794104005,ForeignLA264104005
0,1982,4895.6,1593.2,1031.2,396.7,1807.6,1129.9,1081.0,413.8,823.4,224.1
1,1983,5492.1,1754.0,1116.4,444.9,1996.2,1247.2,1280.8,461.1,931.1,228.2
2,1984,6302.3,1971.6,1243.3,526.6,2320.6,1458.0,1496.5,513.6,1104.5,228.1
3,1985,7334.6,2322.7,1450.2,610.6,2572.0,1638.9,1762.0,677.9,1338.2,335.0
4,1986,8212.6,2586.9,1649.0,666.4,2866.0,1865.8,2007.5,752.1,1679.8,346.1
5,1987,8928.2,2793.1,1828.6,698.6,3110.8,2052.6,2181.7,842.6,1959.9,357.2
6,1988,9745.7,3075.4,2054.8,745.2,3407.7,2265.8,2369.6,893.0,2213.7,393.1
7,1989,10479.8,3343.2,2260.1,809.3,3645.7,2455.5,2550.5,940.4,2479.1,389.2
8,1990,11196.4,3602.3,2489.3,824.4,3776.0,2585.5,2830.8,987.4,2694.5,396.2
9,1991,11720.5,3805.9,2667.4,815.6,3688.6,2526.6,3147.4,1078.6,2884.4,406.2
10,1992,12275.4,4008.8,2840.4,824.8,3680.4,2544.9,3491.1,1095.1,3129.9,425.8
11,1993,13016.5,4273.5,2999.0,886.2,3805.6,2690.7,3784.3,1153.0,3462.0,520.6
12,1994,13698.4,4596.2,3165.5,1021.2,4016.9,2887.6,3977.8,1107.5,3932.7,500.4
13,1995,14378.5,4919.6,3319.2,1168.2,4269.0,3094.4,4143.1,1046.7,4399.4,630.7
14,1996,15131.2,5272.2,3537.3,1273.9,4489.7,3244.6,4343.1,1026.2,4970.2,720.9
15,1997,15968.6,5616.3,3753.2,1344.2,4868.8,3521.8,4406.5,1076.9,5553.5,801.7
16,1998,17015.6,6050.3,4054.7,1441.3,5426.5,3900.4,4395.1,1143.8,6650.5,842.4
17,1999,18173.2,6600.0,4431.6,1553.6,6027.2,4307.3,4365.0,1181.0,7763.8,803.9
18,2000,19056.5,7191.1,4813.9,1741.3,6577.5,4665.2,4090.0,1197.9,8673.9,867.6
19,2001,20142.2,7819.8,5322.0,1891.8,6873.8,4798.1,4145.2,1303.4,9688.0,849.4
20,2002,21494.1,8581.3,6028.0,1997.0,7037.5,4809.9,4427.3,1447.9,10530.5,955.7
21,2003,23188.0,9650.0,6909.8,2102.9,7121.5,4820.0,4848.0,1568.4,11537.2,1156.6
22,2004,26103.1,10807.8,7859.1,2220.1,7561.9,5005.7,5250.9,2482.5,12643.9,1285.2
23,2005,28349.6,11952.9,8912.7,2320.6,8162.4,5264.4,5584.8,2649.4,13705.9,1350.5
24,2006,30781.5,13232.5,9910.3,2456.7,8978.6,5665.2,5803.9,2766.4,15093.3,1657.9
25,2007,33259.7,14151.4,10613.1,2609.9,10100.3,6325.1,6074.3,2933.7,17271.1,1996.6
26,2008,35064.7,14037.8,10595.5,2644.2,10680.3,6586.3,7376.8,2969.8,17987.6,1604.4
27,2009,35937.8,13800.4,10453.6,2555.4,10153.7,6168.4,8882.6,3100.9,16537.5,2005.9
28,2010,37272.2,13563.9,9971.0,2647.2,10003.2,6052.3,10528.6,3176.5,15323.0,2257.9
29,2011,38432.6,13371.4,9756.0,2758.3,10263.8,6377.2,11667.3,3130.0,14908.3,2484.9
30,2012,40185.8,13439.6,9550.1,2920.4,10773.5,6716.0,12847.8,3124.9,14697.2,2834.0
31,2013,41620.2,13592.6,9467.0,3096.2,11253.2,7091.2,13705.1,3069.3,14887.5,2957.8
32,2014,43373.6,13955.9,9454.9,3318.0,11942.4,7499.0,14441.1,3034.2,15191.7,3206.2
33,2015,45252.1,14290.3,9536.2,3535.7,12753.2,8008.8,15165.6,3043.0,15227.1,3079.9
34,2016,47307.3,14756.1,9753.7,3764.7,13470.8,8424.0,16008.3,3072.1,15651.1,3120.5
35,2011:Q1,37488.6,13562.4,9916.6,2672.8,10031.6,6096.5,10739.8,3154.8,15262.6,2348.7
36,2011:Q2,37602.0,13490.8,9866.5,2695.4,10099.9,6182.3,10884.5,3126.9,15144.2,2476.9
37,2011:Q3,38072.1,13383.4,9809.9,2720.5,10181.0,6281.2,11381.0,3126.7,15054.6,2456.8
38,2011:Q4,38432.6,13371.4,9756.0,2758.3,10263.8,6377.2,11667.3,3130.0,14908.3,2484.9
39,2012:Q1,38898.9,13409.7,9707.0,2791.4,10349.5,6420.8,12013.3,3126.4,14821.2,2526.1
40,2012:Q2,39375.4,13433.8,9654.2,2837.0,10434.0,6459.9,12369.5,3138.2,14652.8,2555.3
41,2012:Q3,39745.7,13373.0,9596.7,2873.3,10595.9,6579.2,12637.9,3138.9,14759.6,2718.5
42,2012:Q4,40185.8,13439.6,9550.1,2920.4,10773.5,6716.0,12847.8,3124.9,14697.2,2834.0
43,2013:Q1,40609.6,13454.8,9516.1,2965.7,10869.1,6790.0,13161.0,3124.8,14669.8,2891.2
44,2013:Q2,40785.3,13464.1,9485.0,3003.5,10987.8,6880.5,13223.2,3110.3,14707.0,2826.0
45,2013:Q3,41116.5,13546.9,9480.0,3051.9,11170.3,7036.2,13309.4,3089.9,14690.8,2897.8
46,2013:Q4,41620.2,13592.6,9467.0,3096.2,11253.2,7091.2,13705.1,3069.3,14887.5,2957.8
47,2014:Q1,42049.9,13647.9,9451.4,3148.5,11424.6,7195.2,13925.5,3051.9,14858.8,3035.8
48,2014:Q2,42471.8,13800.7,9444.6,3208.6,11567.6,7268.1,14054.3,3049.3,14934.9,3209.1
49,2014:Q3,42995.5,13885.2,9436.3,3265.3,11750.3,7380.0,14331.1,3028.9,15071.4,3158.7
50,2014:Q4,43373.6,13955.9,9454.9,3318.0,11942.4,7499.0,14441.1,3034.2,15191.7,3206.2
51,2015:Q1,43649.8,14009.4,9445.3,3369.0,12162.3,7657.6,14431.6,3046.5,15135.0,3228.0
52,2015:Q2,44116.2,14131.8,9480.3,3435.6,12404.7,7818.1,14529.4,3050.4,15204.3,3195.4
53,2015:Q3,44400.1,14168.7,9504.3,3496.6,12574.9,7928.1,14604.4,3052.1,15269.4,3118.3
54,2015:Q4,45252.1,14290.3,9536.2,3535.7,12753.2,8008.8,15165.6,3043.0,15227.1,3079.9
55,2016:Q1,45846.3,14365.1,9566.1,3584.9,13054.0,8225.6,15378.6,3048.6,15374.9,3144.2
56,2016:Q2,46334.2,14513.3,9618.9,3642.1,13184.6,8283.2,15571.2,3065.2,15511.7,3174.4
57,2016:Q3,46977.0,14623.6,9683.7,3707.5,13390.2,8411.2,15892.4,3070.8,15641.3,3180.8
58,2016:Q4,47307.3,14756.1,9753.7,3764.7,13470.8,8424.0,16008.3,3072.1,15651.1,3120.5
