, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,"Life insurance companies, separate accounts; total financial assets",FA544090085,-24.2,32.3,-50.1,-51.7,-62.2,-51.1,-69.3,-24.7,-55.0,1
1,"Life insurance companies, separate accounts; checkable deposits and currency; asset",FA543020083,0.2,-1.8,0.3,-2.1,-0.6,-3.3,0.7,0.9,2.8,2
2,"Life insurance companies, separate accounts; variable annuity money market mutual fund shares; asset",FA543034385,-2.1,1.9,-2.6,22.0,-8.2,1.1,-12.9,2.0,-0.5,3
3,"Life insurance companies, separate accounts; debt securities; asset",FA544022085,-13.3,47.8,23.8,8.3,3.9,43.2,16.0,21.1,14.8,4
4,"Life insurance companies, separate accounts; commercial paper; asset",FA543069183,1.5,-2.5,1.2,-3.0,-0.8,-0.1,1.1,1.3,2.5,5
5,"Life insurance companies, separate accounts; Treasury securities; asset",FA543061183,2.8,11.9,3.6,8.0,0.1,6.3,2.4,3.2,2.5,6
6,"Life insurance companies, separate accounts; agency- and GSE-backed securities; asset",FA543061783,-17.6,2.6,4.7,-8.5,1.2,9.3,3.1,4.1,2.4,7
7,"Life insurance companies, separate accounts; municipal securities; asset",FA543062083,0.6,1.5,0.5,1.1,-0.0,1.0,0.3,0.5,0.4,8
8,"Life insurance companies, separate accounts; corporate and foreign bonds; asset",FA543063085,-0.5,34.4,13.7,10.7,3.3,26.8,9.0,12.0,7.1,9
9,"Life insurance companies, separate accounts; loans; asset",FA544023085,1.4,13.4,1.6,1.1,-0.1,0.6,1.5,1.7,2.6,10
10,"Life insurance companies, separate accounts; policy loans; asset",FA543069483,0.0,4.7,0.5,0.1,-0.8,0.7,0.3,0.4,0.6,11
11,"Life insurance companies, separate accounts; total mortgages; asset",FA543065083,1.4,8.8,1.1,1.0,0.7,-0.1,1.2,1.4,2.0,12
12,"Life insurance companies, separate accounts; corporate equities; asset",FA543064183,-10.0,-5.7,-9.7,-14.9,-0.3,-10.7,-9.1,-8.1,-10.9,13
13,"Life insurance companies, separate accounts; mutual fund shares, including variable annuity mutual fund shares; asset",FA543064285,-33.5,-29.1,-55.1,-37.7,-19.2,-57.3,-60.8,-39.4,-63.0,14
14,"Life insurance companies, separate accounts; total miscellaneous assets",FA543090085,33.3,5.6,-8.3,-28.5,-37.7,-24.8,-4.8,-3.0,-0.9,15
15,"Life insurance companies, separate accounts; total liabilities",FA544190085,-26.7,44.5,-49.1,-37.4,-45.0,-49.6,-68.9,-23.4,-54.6,16
16,"Life insurance companies, separate accounts; life insurance reserves; liability",FA543140083,-0.9,42.2,-14.0,14.9,1.9,-39.4,-9.7,-4.3,-2.6,17
17,"Life insurance companies, separate accounts; pension entitlements, excluding unallocated insurance contracts; liability(1)",FA543150085,-23.9,9.1,-31.4,-24.5,17.7,-16.5,-61.2,-26.5,-21.3,18
18,"Life insurance companies, separate accounts; total miscellaneous liabilities",FA543190085,-1.9,-6.8,-3.8,-27.8,-64.5,6.2,1.9,7.3,-30.7,19
