, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Private defined benefit pension funds; total financial assets(1),FA574090045,-20.4,-33.7,-44.4,-35.8,-44.4,-44.4,-44.4,-44.4,-44.4,1
1,Private defined benefit pension funds; checkable deposits and currency; asset,FA573020043,2.1,0.8,0.7,0.8,0.8,0.7,1.1,0.9,0.3,2
2,Private defined benefit pension funds; total time and savings deposits; asset,FA573030043,2.0,0.5,0.7,0.4,0.4,0.9,1.0,0.8,0.2,3
3,Private defined benefit pension funds; money market mutual fund shares; asset,FA573034043,2.3,-0.3,0.7,-0.2,-0.2,1.0,1.0,0.6,0.1,4
4,Private defined benefit pension funds; security repurchase agreements; asset,FA572051043,0.2,-0.2,0.0,-0.3,-0.2,0.1,0.0,-0.0,-0.0,5
5,Private defined benefit pension funds; debt securities; asset,FA574022045,14.5,21.5,9.3,21.1,22.3,10.9,11.1,10.8,4.4,6
6,Private defined benefit pension funds; commercial paper; asset,FA573069143,2.1,1.1,0.9,1.1,1.2,1.0,1.2,1.0,0.3,7
7,Private defined benefit pension funds; Treasury securities; asset,FA573061143,-5.0,5.7,-0.4,6.0,6.1,-1.2,-1.0,0.2,0.5,8
8,Private defined benefit pension funds; agency- and GSE-backed securities; asset,FA573061743,-2.8,-3.3,-1.5,-3.7,-2.9,-1.4,-2.0,-1.9,-0.7,9
9,Private defined benefit pension funds; corporate and foreign bonds; asset,FA573063043,20.3,18.0,10.3,17.7,18.0,12.4,12.9,11.5,4.3,10
10,Private defined benefit pension funds; total mortgages; asset,FA573065043,0.1,-2.0,-0.4,-2.2,-1.6,-0.1,-0.4,-0.6,-0.3,11
11,Private defined benefit pension funds; corporate equities; asset,FA573064143,-141.5,-112.0,-62.6,-114.1,-115.3,-60.0,-86.5,-76.0,-28.0,12
12,Private defined benefit pension funds; mutual fund shares; asset,FA573064243,1.0,-9.5,-1.8,-7.7,-10.6,-0.7,-1.4,-2.9,-2.0,13
13,Private defined benefit pension funds; total miscellaneous assets,FA573090045,98.9,67.5,8.9,66.3,59.9,3.0,29.7,22.1,-19.2,14
14,Private defined benefit pension funds; unallocated insurance contracts; asset(2),FA573095405,-3.0,-5.4,-1.4,-7.0,-5.5,-0.9,-1.7,-2.1,-1.0,15
15,Private defined benefit pension funds; pension fund contributions receivable; asset,FA573074043,-3.9,-4.5,-2.0,-5.2,-3.4,-1.7,-2.7,-2.6,-1.0,16
16,Private defined benefit pension funds; claims of pension fund on sponsor; asset(3),FA573073005,85.4,66.9,4.7,68.9,59.2,-0.8,22.6,17.5,-20.3,17
17,Private defined benefit pension funds; unidentified miscellaneous assets,FA573093043,20.4,10.5,7.6,9.5,9.7,6.4,11.5,9.4,3.2,18
18,Private defined benefit pension funds; pension entitlements (total liabilities)(4),FA574190043,-20.5,-33.7,-44.4,-35.8,-44.4,-44.4,-44.4,-44.4,-44.4,19
