, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Equity real estate investment trusts; total financial assets,FA644090085,15.7,6.4,17.8,26.2,-23.4,35.0,43.1,-4.7,-2.0,1
1,Equity real estate investment trusts; checkable deposits and currency; asset,FA643020083,3.0,-2.3,2.5,11.4,-5.4,2.1,13.5,-1.4,-4.4,2
2,Equity real estate investment trusts; corporate and foreign bonds; asset,FA643063083,0.5,-0.4,-0.4,1.1,-1.2,-0.6,0.5,0.7,-2.1,3
3,Equity real estate investment trusts; total mortgages; asset,FA643065085,2.6,0.1,-0.7,2.1,-3.6,-4.9,4.4,-2.5,0.3,4
4,Equity real estate investment trusts; home mortgages; asset,FA643065183,0.0,0.0,0.0,0.0,-0.0,0.0,0.1,0.1,0.0,5
5,Equity real estate investment trusts; multifamily residential mortgages; asset,FA643065483,-0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,6
6,Equity real estate investment trusts; commercial mortgages; asset,FA643065583,2.7,0.0,-0.8,2.0,-3.8,-5.0,4.1,-2.7,0.2,7
7,Equity real estate investment trusts; unidentified miscellaneous assets,FA643093085,9.7,9.0,16.4,11.5,-13.1,38.3,24.6,-1.4,4.2,8
8,Equity real estate investment trusts; total liabilities,FA644190085,49.6,45.3,17.2,71.4,-28.7,53.6,37.2,-7.6,-14.3,9
9,Equity real estate investment trusts; corporate and foreign bonds; liability,FA643163083,28.8,30.5,27.5,38.9,21.4,33.5,50.9,10.2,15.4,10
10,Equity real estate investment trusts; loans; liability,FA644123085,15.5,11.1,-16.8,21.3,-43.2,19.0,-34.6,-28.5,-22.9,11
11,Equity real estate investment trusts; depository institution loans n.e.c.; liability,FA643168083,6.2,7.1,-10.8,6.9,-15.3,-3.8,-16.7,-2.9,-19.8,12
12,Real estate investment trusts; total mortgages; liability,FA643165005,9.3,4.0,-6.0,14.4,-28.0,22.7,-17.9,-25.6,-3.1,13
13,Equity real estate investment trusts; multifamily residential mortgages; liability,FA643165483,1.4,-0.3,1.1,-2.1,-5.4,0.2,2.2,1.5,0.4,14
14,Equity real estate investment trusts; commercial mortgages; liability,FA643165583,7.9,4.3,-7.0,16.4,-22.6,22.5,-20.1,-27.0,-3.5,15
15,Equity real estate investment trusts; unidentified miscellaneous liabilities,FA643193085,5.3,3.6,6.5,11.2,-6.9,1.2,21.0,10.7,-6.7,16
