, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; capital transfers paid,FA895410005,111.3,97.4,107.7,100.9,96.0,100.0,108.1,101.9,120.9,1
1,Domestic business; capital transfers paid,FA825410005,10.0,0.0,6.5,0.0,0.0,0.0,7.2,0.0,18.7,2
2,Domestic financial sectors; capital transfers paid,FA795410005,10.0,0.0,1.8,0.0,0.0,0.0,7.2,0.0,0.0,3
3,"Property-casualty insurance companies; capital transfers paid, disaster-related insurance benefits",FA515410073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4,"Domestic financial sectors; capital transfers paid, other than for disasters",FA795410003,10.0,0.0,1.8,0.0,0.0,0.0,7.2,0.0,0.0,5
5,Nonfinancial corporate business; capital transfers paid (includes disaster-related payments by BP to state and local governments),FA105410003,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,18.7,6
6,Nonfinancial noncorporate business; capital transfers paid,FA115410003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
7,General government; capital transfers paid,FA365410005,77.3,71.7,75.1,75.0,69.6,73.6,74.0,75.8,77.0,8
8,Federal government; capital transfers paid,FA315410005,77.3,71.7,75.1,75.0,69.6,73.6,74.0,75.8,77.0,9
9,"State and local governments; capital transfers received, investment grants from federal government",FA205400033,65.7,63.9,68.4,66.5,63.6,67.9,68.3,70.2,67.3,10
10,"Federal government; capital transfers paid, disaster-related insurance benefits",FA315410073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11,Federal government; capital transfers paid to financial corporations under the financial stabilization program,FA315410093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
12,Federal government; other capital transfers paid to business,FA315410043,6.7,3.2,2.1,3.7,1.9,1.7,1.6,1.6,3.3,13
13,Federal government; other capital transfers paid to households,FA315410053,4.5,4.1,4.2,4.3,3.6,3.6,3.6,3.6,6.0,14
14,Federal government; capital transfers paid to the rest of the world,FA315410063,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,15
15,"State and local governments; capital transfers paid, disaster-related insurance benefits",FA205410073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
16,"State and local governments; capital transfers paid, disaster-related insurance benefits",FA205410073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
17,Households and nonprofit organizations; capital transfers paid; estate and gift taxes,FA155410035,24.1,25.6,26.2,25.9,26.4,26.4,27.0,26.1,25.1,18
18,"Federal government; capital transfers received, estate and gift taxes paid by persons",FA315400053,18.8,20.2,20.9,20.5,21.0,20.9,21.6,20.9,20.0,19
19,"State and local governments; capital transfers received, estate and gift taxes paid by persons",FA205400053,5.3,5.4,5.3,5.4,5.4,5.5,5.4,5.1,5.1,20
20,Rest of the world; capital transfers paid,FA265410005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
21,"Rest of the world; capital transfers paid, disaster-related insurance benefits",FA265410073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
22,"Rest of the world; capital transfers paid, other than for disasters",FA265410003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
23,All sectors; capital transfers received,FA895400005,111.3,97.4,107.7,100.9,96.0,100.0,108.1,101.9,120.9,24
24,Domestic business; capital transfers received,FA825400005,6.7,3.2,2.1,3.7,1.9,1.7,1.6,1.6,3.3,25
25,Domestic financial sectors; capital transfers received,FA795400005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
