, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,"Life insurance companies, general accounts; total financial assets",FL544090075,4100.0,4052.4,4381.7,4063.1,4052.4,4223.8,4413.4,4453.2,4381.7,1
1,"Life insurance companies, general accounts; checkable deposits and currency; asset",FL543020073,41.7,52.6,67.6,45.6,52.6,51.1,72.2,65.7,67.6,2
2,"Life insurance companies, general accounts; money market mutual fund shares; asset",FL543034073,28.1,28.7,31.0,32.3,28.7,30.7,30.3,30.6,31.0,3
3,"Life insurance companies, general accounts; security repurchase agreements; asset",FL542051073,3.1,2.7,2.9,3.1,2.7,2.8,2.8,2.8,2.9,4
4,"Life insurance companies, general accounts; debt securities; asset",LM544022075,2916.8,2836.3,3036.1,2846.7,2836.3,2967.2,3086.2,3127.7,3036.1,5
5,"Life insurance companies, general accounts; commercial paper; asset",LM543069170,28.2,23.5,26.8,27.3,23.5,24.9,24.8,25.9,26.8,6
6,"Life insurance companies, general accounts; Treasury securities; asset",LM543061173,154.3,155.1,168.0,155.2,155.1,163.1,169.0,170.1,168.0,7
7,"Life insurance companies, general accounts; agency- and GSE-backed securities; asset",LM543061773,293.1,272.8,288.1,276.5,272.8,281.8,289.0,291.7,288.1,8
8,"Life insurance companies, general accounts; municipal securities; asset",LM543062073,157.5,163.4,175.6,161.2,163.4,171.2,177.5,179.2,175.6,9
9,"Life insurance companies, general accounts; corporate and foreign bonds; asset",LM543063075,2283.7,2221.5,2377.7,2226.6,2221.5,2326.2,2426.0,2460.8,2377.7,10
10,"Life insurance companies, general accounts; loans; asset",FL544023075,534.6,560.7,590.3,545.1,560.7,569.5,577.0,585.7,590.3,11
11,"Life insurance companies, general accounts; other loans and advances; asset",FL543069075,161.6,156.5,158.5,156.9,156.5,160.2,158.9,160.1,158.5,12
12,"Life insurance companies, general accounts; total mortgages; asset",FL543065070,373.0,404.2,431.8,388.2,404.2,409.3,418.1,425.6,431.8,13
13,"Life insurance companies, general accounts; corporate equities; asset",LM543064175,83.5,83.6,94.2,85.9,83.6,87.3,90.0,91.8,94.2,14
14,"Life insurance companies, general accounts; mutual fund shares; asset",LM543064273,5.7,5.3,6.0,5.2,5.3,5.3,5.5,5.7,6.0,15
15,"Life insurance companies, general accounts; U.S. direct investment abroad; asset",FL543092073,68.9,60.0,63.6,69.4,60.0,60.7,61.4,62.4,63.6,16
16,"Life insurance companies, general accounts; total miscellaneous assets",FL543090075,417.7,422.5,490.0,429.8,422.5,449.0,487.8,480.6,490.0,17
17,"Life insurance companies, general accounts; total liabilities",FL544190075,3406.8,3475.6,3734.7,3460.9,3475.6,3564.1,3674.9,3704.4,3734.7,18
18,"Life insurance companies, general accounts; security repurchase agreements; liability",FL542151073,21.9,22.8,22.4,22.4,22.8,22.9,22.6,22.7,22.4,19
19,"Life insurance companies, general accounts; FHLB advances; liability",FL543169373,51.9,58.1,67.8,57.2,58.1,60.6,65.2,67.5,67.8,20
20,"Life insurance companies, general accounts; life insurance reserves; liability",FL543140073,1142.7,1146.8,1210.0,1139.7,1146.8,1162.4,1185.6,1196.3,1210.0,21
21,"Life insurance companies, general accounts; pension entitlements, excluding unallocated insurance contracts; liability(1)",FL543150075,1007.7,1063.3,1119.9,1047.5,1063.3,1071.8,1098.4,1107.2,1119.9,22
22,"Life insurance companies, general accounts; taxes payable (net); liability",FL543178073,3.9,3.9,2.1,3.7,3.9,4.6,4.7,3.4,2.1,23
23,"Life insurance companies, general accounts; foreign direct investment in U.S.; liability",FL543192073,97.0,91.8,100.3,105.2,91.8,100.6,101.9,101.5,100.3,24
24,"Life insurance companies, general accounts; total miscellaneous liabilities",FL543190075,1081.6,1088.8,1212.4,1085.1,1088.8,1141.2,1196.6,1205.8,1212.4,25
