, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Private defined contribution pension funds; total financial assets,FL574090055,5239.1,5360.6,5742.5,5194.4,5360.6,5434.8,5532.3,5691.5,5742.5,1
1,Private defined contribution pension funds; checkable deposits and currency; asset,FL573020033,8.0,8.2,9.8,7.8,8.2,8.7,9.1,9.3,9.8,2
2,Private defined contribution pension funds; total time and savings deposits; asset,FL573030033,3.7,4.5,5.3,4.3,4.5,4.7,4.9,5.0,5.3,3
3,"Private defined contribution pension funds, including 403(b) plans; money market mutual fund shares; asset",FL573034055,117.6,113.3,117.3,113.4,113.3,115.3,115.6,115.9,117.3,4
4,Private defined contribution pension funds; security repurchase agreements; asset,FL572051033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5,Private defined contribution pension funds; debt securities; asset,FL574022035,331.1,355.0,376.9,349.3,355.0,359.3,365.4,369.3,376.9,6
6,Private defined contribution pension funds; commercial paper; asset,FL573069133,8.6,10.6,12.3,10.2,10.6,11.1,11.6,11.8,12.3,7
7,Private defined contribution pension funds; Treasury securities; asset,FL573061133,115.0,130.7,139.8,128.8,130.7,132.1,135.1,136.7,139.8,8
8,Private defined contribution pension funds; agency- and GSE-backed securities; asset,FL573061733,61.5,56.0,55.3,55.8,56.0,56.1,55.5,55.4,55.3,9
9,Private defined contribution pension funds; corporate and foreign bonds; asset,FL573063033,146.0,157.6,169.5,154.6,157.6,160.0,163.2,165.4,169.5,10
10,Private defined contribution pension funds; total mortgages; asset,FL573065033,9.3,8.6,9.0,8.5,8.6,8.7,8.8,8.8,9.0,11
11,Private defined contribution pension funds; corporate equities; asset,LM573064133,1146.4,1155.4,1280.9,1090.3,1155.4,1163.5,1188.3,1235.3,1280.9,12
12,"Private defined contribution pension funds, including 403(b) plans; mutual fund shares; asset",LM573064255,2749.8,2811.5,2990.8,2728.7,2811.5,2854.9,2908.1,3004.4,2990.8,13
13,Private defined contribution pension funds; total miscellaneous assets,FL573090055,873.2,904.2,952.6,892.1,904.2,919.8,932.2,943.5,952.6,14
14,Private defined contribution pension funds; unallocated insurance contracts; asset(2),FL573095505,467.6,464.3,489.3,458.1,464.3,474.7,479.8,487.4,489.3,15
15,Private defined contribution pension funds; pension fund contributions receivable; asset,FL573074033,31.7,31.9,32.5,31.9,31.9,32.0,32.2,32.3,32.5,16
16,Private defined contribution pension funds; unidentified miscellaneous assets,FL573093033,374.0,408.1,430.9,402.1,408.1,413.1,420.2,423.8,430.9,17
17,Private defined contribution pension funds; total financial assets,FL574090055,5239.1,5360.6,5742.5,5194.4,5360.6,5434.8,5532.3,5691.5,5742.5,18
