, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,State and local government employee defined benefit retirement funds; total financial assets(1),FL224090045,5077.9,5347.9,5606.3,5283.0,5347.9,5414.8,5479.9,5543.2,5606.3,1
1,State and local government employee defined benefit retirement funds; checkable deposits and currency; asset,FL223020043,4.4,4.5,4.6,4.5,4.5,4.2,4.4,4.6,4.6,2
2,State and local government employee defined benefit retirement funds; total time and savings deposits; asset,FL223030045,37.9,38.1,39.3,38.4,38.1,36.4,37.9,39.1,39.3,3
3,State and local government employee defined benefit retirement funds; money market mutual fund shares; asset,FL223034043,45.3,45.6,47.0,45.9,45.6,43.5,45.4,46.8,47.0,4
4,State and local government employee defined benefit retirement funds; security repurchase agreements; asset,FL222051043,3.6,3.6,3.7,3.6,3.6,3.4,3.6,3.7,3.7,5
5,State and local government employee defined benefit retirement funds retirement funds; debt securities; asset,FL224022045,836.4,855.7,915.4,847.2,855.7,870.2,890.1,910.1,915.4,6
6,State and local government employee defined benefit retirement funds; commercial paper; asset,FL223069143,41.3,41.5,42.9,41.9,41.5,39.6,41.3,42.6,42.9,7
7,State and local government employee defined benefit retirement funds; Treasury securities; asset,FL223061143,181.3,174.8,187.4,173.5,174.8,175.6,182.2,187.3,187.4,8
8,State and local government employee defined benefit retirement funds; agency- and GSE-backed securities; asset,FL223061743,102.2,95.5,101.9,95.1,95.5,95.9,99.6,102.4,101.9,9
9,State and local government employee defined benefit retirement funds; municipal securities; asset,FL223062043,2.2,2.0,2.1,2.0,2.0,2.4,2.4,2.1,2.1,10
10,State and local government employee defined benefit retirement funds; corporate and foreign bonds; asset,FL223063045,509.3,541.9,581.1,534.6,541.9,556.7,564.4,575.6,581.1,11
11,State and local government employee defined benefit retirement funds; total mortgages; asset,FL223065043,10.0,9.6,6.4,9.9,9.6,8.3,8.3,6.8,6.4,12
12,State and local government employee defined benefit retirement funds; corporate equities; asset,LM223064145,2257.8,2157.2,2277.3,2057.7,2157.2,2155.1,2175.8,2241.8,2277.3,13
13,State and local government employee defined benefit retirement funds; mutual fund shares; asset,LM223064243,262.5,284.0,295.7,277.2,284.0,282.5,286.9,292.2,295.7,14
14,State and local government employee defined benefit retirement funds; miscellaneous assets,FL223090045,1620.0,1949.6,2016.9,1998.5,1949.6,2011.1,2027.6,1998.1,2016.9,15
15,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset(2),FL223073045,1503.7,1831.6,1902.9,1878.3,1831.6,1898.4,1915.8,1884.2,1902.9,16
16,State and local government employee defined benefit retirement funds; unidentified miscellaneous assets,FL223093043,116.3,118.0,114.0,120.1,118.0,112.6,111.8,113.9,114.0,17
17,State and local government employee defined benefit retirement funds; pension entitlements (total liabilities)(3),FL224190043,5233.9,5496.0,5763.7,5429.1,5496.0,5562.9,5629.8,5696.8,5763.7,18
