, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Money market mutual funds; total financial assets,FL634090005,2724.6,2754.7,2728.1,2667.7,2754.7,2758.8,2692.2,2671.4,2728.1,1
1,Money market mutual funds; private foreign deposits; asset,FL633091003,24.5,11.1,1.9,12.6,11.1,17.6,12.9,4.4,1.9,2
2,Money market mutual funds; checkable deposits and currency; asset,FL633020000,-4.4,7.6,29.6,1.7,7.6,7.3,13.4,49.4,29.6,3
3,Money market mutual funds; total time and savings deposits; asset,FL633030000,523.4,445.0,146.8,484.1,445.0,493.0,426.1,192.5,146.8,4
4,Money market mutual funds; security repurchase agreements; asset,FL632051000,654.5,699.3,800.2,696.5,699.3,597.1,641.5,855.6,800.2,5
5,Money market mutual funds; debt securities; asset,FL634022005,1509.6,1581.9,1746.1,1458.8,1581.9,1631.5,1589.8,1563.8,1746.1,6
6,Money market mutual funds; open market paper; asset,FL633069175,338.6,298.8,103.8,338.4,298.8,333.4,272.1,113.3,103.8,7
7,Money market mutual funds; Treasury securities; asset,FL633061105,419.0,482.9,796.1,397.1,482.9,545.5,518.3,635.2,796.1,8
8,Money market mutual funds; agency- and GSE-backed securities; asset,FL633061700,390.5,467.4,677.8,399.1,467.4,460.9,565.8,642.7,677.8,9
9,Money market mutual funds; municipal securities; asset,FL633062000,282.0,268.4,162.2,256.9,268.4,239.1,215.8,161.4,162.2,10
10,Money market mutual funds; corporate and foreign bonds; asset,FL633063003,79.5,64.4,6.1,67.2,64.4,52.7,17.8,11.2,6.1,11
11,Money market mutual funds; unidentified miscellaneous assets,FL633093005,17.0,10.0,3.7,14.0,10.0,12.3,8.4,5.7,3.7,12
12,Money market mutual funds; total financial assets,FL634090005,2724.6,2754.7,2728.1,2667.7,2754.7,2758.8,2692.2,2671.4,2728.1,13
13,Variable annuity money market mutual funds; total financial assets,FL634090503,37.1,39.0,35.9,41.2,39.0,39.4,36.0,36.2,35.9,14
