, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Equity real estate investment trusts; total financial assets,FL644090085,157.2,163.6,176.9,169.4,163.6,172.4,183.1,181.9,176.9,1
1,Equity real estate investment trusts; checkable deposits and currency; asset,FL643020083,26.3,24.1,26.5,25.4,24.1,24.6,28.0,27.6,26.5,2
2,Equity real estate investment trusts; corporate and foreign bonds; asset,FL643063083,5.2,4.8,4.4,5.1,4.8,4.7,4.8,5.0,4.4,3
3,Equity real estate investment trusts; total mortgages; asset,FL643065085,25.4,25.5,20.3,26.4,25.5,24.3,25.4,24.8,20.3,4
4,Equity real estate investment trusts; home mortgages; asset,FL643065183,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.3,5
5,Equity real estate investment trusts; multifamily residential mortgages; asset,FL643065483,0.3,0.3,0.5,0.3,0.3,0.4,0.4,0.5,0.5,6
6,Equity real estate investment trusts; commercial mortgages; asset,FL643065583,24.9,24.9,19.5,25.9,24.9,23.7,24.7,24.0,19.5,7
7,Equity real estate investment trusts; unidentified miscellaneous assets,FL643093085,100.2,109.2,125.7,112.5,109.2,118.8,125.0,124.6,125.7,8
8,Equity real estate investment trusts; total liabilities,FL644190085,538.7,583.9,601.2,591.1,583.9,597.3,606.6,604.7,601.2,9
9,Equity real estate investment trusts; corporate and foreign bonds; liability,FL643163083,212.5,243.0,270.4,237.6,243.0,251.3,264.1,266.6,270.4,10
10,Equity real estate investment trusts; loans; liability,FL644123085,261.4,272.5,255.8,283.3,272.5,277.3,268.6,261.5,255.8,11
11,Equity real estate investment trusts; depository institution loans n.e.c.; liability,FL643168083,30.0,37.1,26.3,40.9,37.1,36.2,32.0,31.3,26.3,12
12,Real estate investment trusts; total mortgages; liability,FL643165005,231.4,235.4,229.5,242.4,235.4,241.1,236.6,230.2,229.5,13
13,Equity real estate investment trusts; multifamily residential mortgages; liability,FL643165483,31.1,30.8,31.8,32.1,30.8,30.8,31.4,31.7,31.8,14
14,Equity real estate investment trusts; commercial mortgages; liability,FL643165583,200.4,204.7,197.6,210.3,204.7,210.3,205.3,198.5,197.6,15
15,Equity real estate investment trusts; unidentified miscellaneous liabilities,FL643193085,64.8,68.4,74.9,70.1,68.4,68.7,74.0,76.6,74.9,16
