, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,Mortgage real estate investment trusts; total financial assets,FL644090075,567.5,495.2,492.2,521.4,495.2,506.6,504.7,506.5,492.2,1
1,Mortgage real estate investment trusts; checkable deposits and currency; asset,FL643020073,12.2,11.6,9.9,13.4,11.6,12.9,13.6,12.5,9.9,2
2,Mortgage real estate investment trusts; debt securities; asset,FL644022075,306.8,262.5,244.2,275.3,262.5,261.5,260.7,249.0,244.2,3
3,Mortgage real estate investment trusts; agency- and GSE-backed securities; asset,FL643061773,277.8,228.1,210.0,241.1,228.1,227.3,225.3,212.9,210.0,4
4,Mortgage real estate investment trusts; corporate and foreign bonds; asset,FL643063073,29.0,34.4,34.2,34.2,34.4,34.2,35.4,36.1,34.2,5
5,Mortgage real estate investment trusts; total mortgages; asset,FL643065075,221.9,192.2,201.0,204.0,192.2,203.4,200.4,211.5,201.0,6
6,Mortgage real estate investment trusts; home mortgages; asset,FL643065173,43.8,45.9,58.1,47.8,45.9,48.8,51.3,60.6,58.1,7
7,Mortgage real estate investment trusts; multifamily residential mortgages; asset,FL643065473,4.8,4.5,4.5,4.6,4.5,4.5,4.3,4.5,4.5,8
8,Mortgage real estate investment trusts; commercial mortgages; asset,FL643065573,173.2,141.8,138.5,151.5,141.8,150.1,144.8,146.4,138.5,9
9,Mortgage real estate investment trusts; total miscellaneous assets,FL643090075,26.7,28.8,37.1,28.7,28.8,28.7,30.1,33.5,37.1,10
10,Mortgage real estate investment trusts; total liabilities,FL644190075,482.8,411.6,390.6,435.2,411.6,425.1,422.9,402.8,390.6,11
11,Mortgage real estate investment trusts; security repurchase agreements; liability,FL642151073,265.5,220.0,208.4,229.1,220.0,219.8,216.7,209.4,208.4,12
12,Mortgage real estate investment trusts; debt securities; liability,FL644122075,190.8,152.5,144.5,160.7,152.5,164.9,162.7,154.4,144.5,13
13,Mortgage real estate investment trusts; commercial paper; liability,FL643169173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
14,"Mortgage real estate investment trusts; corporate and foreign bonds, excluding FHLB advances; liability",FL643163075,190.8,152.5,144.5,160.7,152.5,164.9,162.7,154.4,144.5,15
15,Mortgage real estate investment trusts; loans; liability,FL644123075,9.0,27.1,20.5,22.3,27.1,22.2,23.2,21.4,20.5,16
16,Mortgage real estate investment trusts; depository institution loans n.e.c.; liability,FL643168073,3.1,3.3,3.8,3.4,3.3,2.5,4.1,4.0,3.8,17
17,Mortgage real estate investment trusts; FHLB advances; liability,FL643169373,5.9,23.8,16.6,18.9,23.8,19.7,19.1,17.4,16.6,18
18,Mortgage real estate investment trusts; unidentified miscellaneous liabilities,FL643193075,17.5,12.0,17.2,23.1,12.0,18.2,20.3,17.7,17.2,19
19,Real estate investment trusts; securitized assets,FL643065045,172.5,143.0,126.9,150.3,143.0,151.8,147.9,137.8,126.9,20
20,Mortgage real estate investment trusts; securitized agency- and GSE-backed securities; asset,FL643061743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
21,Mortgage real estate investment trusts; securitized home mortgages; asset,FL643065143,23.1,33.1,30.8,32.4,33.1,33.0,34.8,32.5,30.8,22
22,Mortgage real estate investment trusts; securitized multifamily residential mortgages; asset,FL643065443,3.3,3.1,2.9,3.1,3.1,2.9,2.9,3.0,2.9,23
23,Mortgage real estate investment trusts; securitized commercial mortgages; asset,FL643065543,146.2,106.8,93.2,114.8,106.8,116.0,110.2,102.3,93.2,24
