, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,All sectors; total loans; liability,FL894123005,23031.4,23802.9,24764.4,23521.5,23802.9,23977.5,24276.4,24569.3,24764.4,1
1,Domestic financial sectors; depository institution loans n.e.c.; asset,FL793068005,2910.2,3205.8,3359.4,3099.6,3205.8,3284.0,3341.6,3362.0,3359.4,2
2,All sectors; other loans and advances; liability,FL893169005,3323.4,3253.4,3348.8,3230.7,3253.4,3283.4,3337.4,3356.0,3348.8,3
3,All sectors; total mortgages; asset,FL893065005,13479.7,13808.0,14291.5,13709.8,13808.0,13871.3,13993.0,14159.2,14291.5,4
4,All sectors; home mortgages; asset,FL893065105,9938.4,10031.0,10265.7,10001.0,10031.0,10041.9,10103.7,10198.5,10265.7,5
5,All sectors; multifamily residential mortgages; asset,FL893065405,986.1,1080.6,1186.7,1052.7,1080.6,1106.4,1130.2,1157.4,1186.7,6
6,All sectors; commercial mortgages; asset,FL893065505,2358.5,2487.6,2614.8,2450.3,2487.6,2510.4,2542.6,2582.9,2614.8,7
7,All sectors; farm mortgages; asset,FL893065603,196.8,208.8,224.4,205.8,208.8,212.7,216.6,220.5,224.4,8
8,Households and nonprofit organizations; consumer credit; liability,FL153166000,3318.0,3535.7,3764.7,3481.4,3535.7,3538.8,3604.3,3692.2,3764.7,9
9,All sectors; total loans; liability,FL894123005,23031.4,23802.9,24764.4,23521.5,23802.9,23977.5,24276.4,24569.3,24764.4,10
10,Domestic nonfinancial sectors; loans; liability,FL384123005,20563.7,21309.3,22201.4,21022.9,21309.3,21451.7,21681.7,21960.0,22201.4,11
11,Households and nonprofit organizations; loans; liability,FL154123005,13726.4,14068.8,14538.0,13928.6,14068.8,14070.4,14234.7,14388.2,14538.0,12
12,Nonfinancial corporate business; loans; liability,FL104123005,2377.4,2479.3,2598.8,2434.6,2479.3,2540.9,2532.7,2579.9,2598.8,13
13,Nonfinancial noncorporate business; loans; liability,FL114123005,4443.4,4744.4,5046.9,4643.1,4744.4,4823.3,4897.2,4975.0,5046.9,14
14,Federal government; multifamily residential mortgages; liability,FL313165403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
15,"State and local governments, excluding employee retirement funds; U.S. government loans; liability",FL213169203,16.6,16.9,17.8,16.7,16.9,17.1,17.1,16.9,17.8,16
16,Domestic financial sectors; loans; liability,FL794123005,2128.4,2131.0,2216.1,2139.4,2131.0,2162.3,2232.0,2253.0,2216.1,17
17,U.S.-chartered depository institutions; FHLB advances and Sallie Mae loans; liability,FL763169305,468.2,498.7,567.3,460.2,498.7,484.5,549.0,546.2,567.3,18
18,Credit unions; FHLB advances; liability,FL473169333,35.4,44.7,46.7,44.9,44.7,42.9,44.5,46.4,46.7,19
19,Property-casualty insurance companies; FHLB advances; liability,FL513169333,2.2,2.4,3.4,2.1,2.4,2.3,3.5,3.8,3.4,20
20,"Life insurance companies, general accounts; FHLB advances; liability",FL543169373,51.9,58.1,67.8,57.2,58.1,60.6,65.2,67.5,67.8,21
21,Government-sponsored enterprises; U.S. government loans to Sallie Mae; liability,FL403169283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
22,Finance companies; loans; liability,FL614123005,141.2,156.5,156.5,153.2,156.5,157.4,155.9,157.6,156.5,23
23,Real estate investment trusts; loans; liability,FL644123005,270.4,299.6,276.2,305.7,299.6,299.5,291.8,282.9,276.2,24
24,Security brokers and dealers; loans; liability,FL664123005,962.5,913.2,921.3,934.9,913.2,952.3,964.4,942.2,921.3,25
25,Holding companies; depository institution loans n.e.c.; liability,FL733168003,194.2,155.6,174.5,178.8,155.6,160.3,155.2,204.1,174.5,26
26,Funding corporations; loans; liability,FL504123005,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,27
27,Rest of the world; loans; liability,FL264123005,339.2,362.6,346.9,359.1,362.6,363.4,362.8,356.4,346.9,28
