, Description,Series code,2014  ,2015  ,2016  ,2015   Q3,2015   Q4,2016   Q1,2016   Q2,2016   Q3,2016   Q4,Line
0,"Rest of the world; U.S. direct investment abroad, including Netherlands Antillean Financial subsidiaries; liability (current cost)(1)",FL263192005,5457.9,5648.6,5970.8,5593.2,5648.6,5756.7,5836.9,5922.2,5970.8,1
1,Rest of the world; U.S. direct investment abroad: equity; liability (current cost),FL263192101,5277.9,5453.9,5808.6,5424.5,5453.9,5570.8,5665.7,5753.5,5808.6,2
2,"Rest of the world; U.S. direct investment abroad: intercompany debt, including Netherlands Antillean Financial subsidiaries; liability(2)",FL263192305,180.1,194.6,162.2,168.7,194.6,186.0,171.2,168.7,162.2,3
3,"Rest of the world; U.S. direct investment abroad: intercompany debt, U.S. parents' claims; liability",FL263192313,700.4,742.8,768.7,722.4,742.8,748.6,755.8,766.2,768.7,4
4,"Rest of the world; foreign direct investment in U.S.: intercompany debt, U.S. parents' liabilities; asset",FL263092313,520.3,548.2,606.5,553.8,548.2,562.7,584.6,597.6,606.5,5
5,Nonfinancial corporate business; U.S. direct investment abroad; asset,FL103092005,4615.6,4807.2,5090.4,4724.6,4807.2,4903.9,4969.4,5044.4,5090.4,6
6,U.S.-chartered depository institutions; U.S. direct investment abroad; asset,FL763092000,261.0,253.2,237.9,262.1,253.2,254.6,241.2,243.7,237.9,7
7,Property-casualty insurance companies; U.S. direct investment abroad; asset,FL513092003,113.4,111.8,113.8,117.6,111.8,112.2,113.2,113.3,113.8,8
8,"Life insurance companies, general accounts; U.S. direct investment abroad; asset",FL543092073,68.9,60.0,63.6,69.4,60.0,60.7,61.4,62.4,63.6,9
9,Finance companies; U.S. direct investment abroad; asset,FL613092003,228.0,232.8,269.4,239.7,232.8,236.9,261.0,264.6,269.4,10
10,Security brokers and dealers; U.S. direct investment abroad; asset,FL663092003,171.0,183.7,195.7,179.7,183.7,188.4,190.6,193.8,195.7,11
11,Nonfinancial corporate business; foreign direct investment in U.S.; liability,FL103192005,2740.6,2964.8,3313.2,2945.8,2964.8,3012.1,3150.7,3227.5,3313.2,12
12,Nonfinancial noncorporate business; U.S. real estate owned by foreigners; liability,FL115114005,10.2,11.8,12.3,11.6,11.8,12.1,12.0,12.3,12.3,13
13,Foreign banking offices in the U.S.; foreign direct investment in the U.S.; liability,FL753192003,202.8,197.9,203.0,203.7,197.9,199.8,201.5,201.9,203.0,14
14,Property-casualty insurance companies; foreign direct investment in U.S.; liability,FL513192003,67.9,77.0,106.8,71.0,77.0,104.1,104.6,105.9,106.8,15
15,"Life insurance companies, general accounts; foreign direct investment in U.S.; liability",FL543192073,97.0,91.8,100.3,105.2,91.8,100.6,101.9,101.5,100.3,16
16,Finance companies; foreign direct investment in U.S.; liability,FL613192003,82.7,63.8,68.7,75.2,63.8,64.5,66.3,67.2,68.7,17
17,"Security brokers and dealers; foreign direct investment in U.S., adjusted for U.S. Intermediate Holding Companies; liability",FL663192005,131.2,137.5,21.0,136.9,137.5,155.2,157.4,48.7,21.0,18
18,Holding companies; foreign direct investment in U.S.; liability,FL733192003,0.0,17.5,159.1,7.5,17.5,16.9,19.6,131.8,159.1,19
19,Funding corporations; foriegn direct investment in U.S.; liability,FL503192003,13.8,14.4,15.0,14.3,14.4,14.6,14.7,14.9,15.0,20
20,Rest of the world; foreign direct investment in U.S.; asset (current cost)(1),FL263092001,3346.3,3576.4,3999.4,3571.1,3576.4,3679.8,3828.8,3911.7,3999.4,21
21,Rest of the world; foreign direct investment in U.S.: equity; asset (current cost),FL263092101,2788.3,2984.5,3311.2,2968.4,2984.5,3054.2,3156.6,3235.3,3311.2,22
22,Rest of the world; foreign direct investment in U.S.: intercompany debt; asset,FL263092303,558.0,591.9,688.1,602.7,591.9,625.6,672.1,676.4,688.1,23
23,"Rest of the world; foreign direct investment in U.S.: intercompany debt, U.S. affiliates' liabilities; asset",FL263092323,945.7,1016.3,1112.7,1024.9,1016.3,1032.1,1098.7,1098.0,1112.7,24
24,"Rest of the world; U.S. direct investment abroad: intercompany debt, U.S. affiliates' claims; liability",FL263192323,387.7,424.4,424.5,422.1,424.4,406.5,426.6,421.7,424.5,25
