,January,Unnamed: 1
0,3,Foreign Exchange Rates - G.5 Foreign Exchange Rates - H.10
1,5,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
2,6,Assets and Liabilities of Commercial Banks in the U.S. - H.8
3,9,Consumer Credit - G.19 Foreign Exchange Rates - H.10
4,12,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
5,13,Assets and Liabilities of Commercial Banks in the U.S. - H.8
6,17,Foreign Exchange Rates - H.10
7,18,Industrial Production and Capacity Utilization - G.17
8,19,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6 Assets and Liabilities of Commercial Banks in the U.S. - H.8
9,23,Foreign Exchange Rates - H.10
10,26,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
11,27,Assets and Liabilities of Commercial Banks in the U.S. - H.8
12,30,Foreign Exchange Rates - H.10
13,31,Finance Companies - G.20
