,November,Unnamed: 1
0,1,Foreign Exchange Rates - G.5
1,2,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
2,3,Assets and Liabilities of Commercial Banks in the U.S. - H.8
3,6,Foreign Exchange Rates - H.10
4,7,Consumer Credit - G.19
5,9,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6 Assets and Liabilities of Commercial Banks in the U.S. - H.8
6,13,Foreign Exchange Rates - H.10
7,16,Industrial Production and Capacity Utilization - G.17Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
8,17,Assets and Liabilities of Commercial Banks in the U.S. - H.8
9,20,Foreign Exchange Rates - H.10 Charge-Off and Delinquency Rates on Loans and Leases at Commercial Banks - (tentative)
10,24,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6 Assets and Liabilities of Commercial Banks in the U.S. - H.8
11,27,Foreign Exchange Rates - H.10
12,30,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6Finance Companies - G.20
