,March,Unnamed: 1
0,1,Foreign Exchange Rates - G.5
1,2,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
2,3,Assets and Liabilities of Commercial Banks in the U.S. - H.8
3,6,Foreign Exchange Rates - H.10
4,7,Consumer Credit - G.19
5,9,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6 Financial Accounts of the United States - Z.1
6,10,Assets and Liabilities of Commercial Banks in the U.S. - H.8
7,13,Foreign Exchange Rates - H.10
8,16,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
9,17,Industrial Production and Capacity Utilization - G.17 Assets and Liabilities of Commercial Banks in the U.S. - H.8
10,20,Foreign Exchange Rates - H.10
11,23,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
12,24,Assets and Liabilities of Commercial Banks in the U.S. - H.8
13,27,Foreign Exchange Rates - H.10
14,30,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
15,31,Assets and Liabilities of Commercial Banks in the U.S. - H.8 Finance Companies - G.20
