,May,Unnamed: 1
0,1,Foreign Exchange Rates - G.5 Foreign Exchange Rates - H.10
1,4,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
2,5,Consumer Credit - G.19 Assets and Liabilities of Commercial Banks in the U.S. - H.8
3,8,Foreign Exchange Rates - H.10
4,11,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
5,12,Assets and Liabilities of Commercial Banks in the U.S. - H.8
6,15,Foreign Exchange Rates - H.10
7,16,Industrial Production and Capacity Utilization - G.17
8,18,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6 Charge-Off and Delinquency Rates on Loans and Leases at Commercial Banks (tentative)
9,19,Assets and Liabilities of Commercial Banks in the U.S. - H.8
10,22,Foreign Exchange Rates - H.10
11,25,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
12,26,Assets and Liabilities of Commercial Banks in the U.S. - H.8
13,30,Foreign Exchange Rates - H.10
14,31,Finance Companies - G.20
