,June,Unnamed: 1
0,1,Foreign Exchange Rates - G.5 Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
1,2,Assets and Liabilities of Commercial Banks in the U.S. - H.8
2,5,Foreign Exchange Rates - H.10
3,7,Consumer Credit - G.19
4,8,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6 Financial Accounts of the United States - Z.1
5,9,Assets and Liabilities of Commercial Banks in the U.S. - H.8
6,12,Foreign Exchange Rates - H.10
7,15,Industrial Production and Capacity Utilization - G.17Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
8,16,Assets and Liabilities of Commercial Banks in the U.S. - H.8
9,19,Foreign Exchange Rates - H.10
10,22,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
11,23,Assets and Liabilities of Commercial Banks in the U.S. - H.8
12,26,Foreign Exchange Rates - H.10
13,29,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
14,30,Assets and Liabilities of Commercial Banks in the U.S. - H.8 Finance Companies - G.20
