,August,Unnamed: 1
0,1,Foreign Exchange Rates - G.5
1,3,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
2,4,Assets and Liabilities of Commercial Banks in the U.S. - H.8
3,7,Consumer Credit - G.19 Foreign Exchange Rates - H.10
4,10,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
5,11,Assets and Liabilities of Commercial Banks in the U.S. - H.8
6,14,Foreign Exchange Rates - H.10
7,17,Industrial Production and Capacity Utilization - G.17Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
8,18,Assets and Liabilities of Commercial Banks in the U.S. - H.8 Charge-Off and Delinquency Rates on Loans and Leases at Commercial Banks (tentative)
9,21,Foreign Exchange Rates - H.10
10,24,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6
11,25,Assets and Liabilities of Commercial Banks in the U.S. - H.8
12,28,Foreign Exchange Rates - H.10
13,31,Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6 Finance Companies - G.20
