R&D field and fiscal year,All R&D expenditures,Source of funds,Federal government,State and local government,Institution funds,Business,All other sourcesa
"Total, S&E and non-S&Eb",,,,,,,
2003,41470.0,25307.0,na,na,na,na,
2004,44839.0,28304.0,na,na,na,na,
2005,47535.0,29957.0,na,na,na,na,
2006,49645.0,30909.0,na,na,na,na,
2007,51590.0,31241.0,na,na,na,na,
2008,54114.0,32101.0,na,na,na,na,
2009,57288.0,33443.0,na,na,na,na,
2010,61254.0,37475.0,3852,11940,3198,4788,
2011,65274.0,40766.0,3828,12611,3178,4892,
2012,65729.0,40140.0,3694,13633,3270,4992,
2013,67013.0,39444.0,3653,14984,3506,5427,
2014,67200.0,37961.0,3858,15788,3722,5871,
2015,68668.0,37877.0,3812,16712,4001,6266,
"Total, non-S&Eb",,,,,,,
2003,1393.0,554.0,na,na,na,na,
2004,1601.0,677.0,na,na,na,na,
2005,1761.0,770.0,na,na,na,na,
2006,1887.0,777.0,na,na,na,na,
2007,2095.0,810.0,na,na,na,na,
2008,2242.0,829.0,na,na,na,na,
2009,2425.0,866.0,na,na,na,na,
2010,2897.0,967.0,248,1267,81,334,
2011,3286.0,1120.0,257,1481,85,344,
2012,3530.0,1202.0,264,1602,80,382,
2013,3658.0,1182.0,258,1720,75,424,
2014,3428.0,1136.0,269,1483,92,449,
2015,3624.0,1072.0,286,1672,105,488,
"Total, S&E",,,,,,,
1953,255.0,138.0,37,35,19,26,
1954,290.0,160.0,42,38,22,28,
1955,312.0,169.0,47,41,25,30,
1956,372.0,213.0,53,43,29,34,
1957,410.0,229.0,60,49,34,38,
1958,456.0,254.0,68,53,39,42,
1959,526.0,306.0,76,58,39,47,
1960,646.0,405.0,85,64,40,52,
1961,763.0,500.0,95,70,40,58,
1962,904.0,613.0,106,79,40,66,
1963,1081.0,760.0,118,89,41,73,
1964,1275.0,917.0,132,103,40,83,
1965,1474.0,1073.0,143,124,41,93,
1966,1715.0,1261.0,156,148,42,108,
1967,1921.0,1409.0,164,181,48,119,
1968,2149.0,1572.0,172,218,55,132,
1969,2225.0,1600.0,197,223,60,145,
1970,2335.0,1647.0,219,243,61,165,
1971,2500.0,1724.0,255,274,70,177,
1972,2630.0,1795.0,270,305,74,187,
1973,2884.0,1985.0,295,318,84,202,
1974,3023.0,2032.0,307,370,96,218,
1975,3409.0,2288.0,332,417,113,259,
1976,3729.0,2512.0,364,446,123,285,
1977,4067.0,2726.0,374,514,139,314,
1978,4625.0,3059.0,414,623,170,359,
1979,5366.0,3598.0,472,735,193,368,
1980,6063.0,4098.0,491,835,236,403,
1981,6847.0,4571.0,546,1004,291,435,
1982,7324.0,4768.0,616,1111,337,491,
1983,7882.0,4989.0,626,1302,389,576,
1984,8620.0,5431.0,690,1411,475,613,
1985,9687.0,6064.0,752,1617,560,694,
1986,10928.0,6712.0,915,1869,700,732,
1987,12153.0,7343.0,1023,2168,790,828,
1988,13463.0,8193.0,1106,2356,872,935,
1989,14979.0,8993.0,1224,2698,994,1071,
1990,16290.0,9640.0,1324,3006,1127,1191,
1991,17589.0,10238.0,1474,3367,1204,1307,
1992,18821.0,11095.0,1491,3548,1279,1409,
1993,19954.0,11960.0,1559,3589,1360,1486,
1994,21035.0,12654.0,1555,3828,1423,1575,
1995,22179.0,13337.0,1690,4048,1489,1614,
1996,23055.0,13847.0,1812,4172,1606,1619,
1997,24380.0,14321.0,1910,4699,1737,1712,
1998,25867.0,15159.0,1945,5004,1889,1871,
1999,27544.0,16112.0,2022,5382,2033,1995,
2000,30084.0,17548.0,2200,5925,2156,2255,
2001,32800.0,19227.0,2320,6614,2218,2422,
2002,36383.0,21856.0,2504,7133,2191,2698,
2003,40077.0,24753.0,2645,7663,2161,2856,
2004,43238.0,27627.0,2879,7752,2129,2851,
2005,45774.0,29187.0,2940,8265,2291,3092,
2006,47759.0,30132.0,2966,9062,2401,3198,
2007,49495.0,30430.0,3151,9718,2675,3521,
2008,51872.0,31272.0,3438,10378,2869,3916,
2009,54863.0,32576.0,3647,11148,3197,4294,
2010,58357.0,36508.0,3604,10674,3117,4454,
2011,61988.0,39646.0,3571,11130,3094,4548,
2012,62199.0,38938.0,3430,12032,3190,4609,
2013,63355.0,38262.0,3396,13264,3431,5003,
2014,63771.0,36825.0,3589,14305,3630,5422,
2015,65044.0,36805.0,3526,15039,3895,5778,
