Fiscal year,Total,Federal,All R&D expenditures,Basic research,Applied research and development,All federal R&D expenditures,Basic research.1,Applied research and development.1,Amount,Percent
"Total, S&Ea",,,,,,,,,,
1953,255.0,110,43.1,145,56.9,138.0,na,na,na,na
1954,290.0,136,46.9,154,53.1,160.0,na,na,na,na
1955,312.0,159,51.0,153,49.0,169.0,na,na,na,na
1956,372.0,200,53.8,172,46.2,213.0,na,na,na,na
1957,410.0,240,58.5,170,41.5,229.0,na,na,na,na
1958,456.0,281,61.6,175,38.4,254.0,na,na,na,na
1959,526.0,343,65.2,183,34.8,306.0,na,na,na,na
1960,646.0,433,67.0,213,33.0,405.0,na,na,na,na
1961,763.0,536,70.2,227,29.8,500.0,na,na,na,na
1962,904.0,659,72.9,245,27.1,613.0,na,na,na,na
1963,1081.0,814,75.3,267,24.7,760.0,na,na,na,na
1964,1275.0,1003,78.7,272,21.3,917.0,na,na,na,na
1965,1474.0,1138,77.2,336,22.8,1073.0,na,na,na,na
1966,1715.0,1303,76.0,412,24.0,1261.0,na,na,na,na
1967,1921.0,1457,75.8,464,24.2,1409.0,na,na,na,na
1968,2149.0,1650,76.8,499,23.2,1572.0,na,na,na,na
1969,2225.0,1711,76.9,514,23.1,1600.0,na,na,na,na
1970,2335.0,1796,76.9,539,23.1,1647.0,na,na,na,na
1971,2500.0,1914,76.6,586,23.4,1724.0,na,na,na,na
1972,2630.0,2022,76.9,608,23.1,1795.0,1420,79.1,375,20.9
1973,2884.0,2053,71.2,831,28.8,1985.0,1454,73.2,531,26.8
1974,3023.0,2154,71.3,869,28.7,2032.0,1523,74.9,509,25.1
1975,3409.0,2410,70.7,999,29.3,2288.0,1695,74.1,593,25.9
1976,3729.0,2549,68.4,1180,31.6,2512.0,1841,73.3,671,26.7
1977,4067.0,2800,68.8,1267,31.2,2726.0,2007,73.6,720,26.4
1978,4625.0,na,na,na,na,3059.0,na,na,na,na
1979,5366.0,3619,67.4,1747,32.6,3598.0,2577,71.6,1022,28.4
1980,6063.0,4036,66.6,2026,33.4,4098.0,2861,69.8,1237,30.2
1981,6847.0,4594,67.1,2253,32.9,4571.0,3260,71.3,1311,28.7
1982,7324.0,4879,66.6,2445,33.4,4768.0,3402,71.3,1367,28.7
1983,7882.0,5303,67.3,2579,32.7,4989.0,3547,71.1,1442,28.9
1984,8620.0,5733,66.5,2887,33.5,5431.0,3830,70.5,1601,29.5
1985,9687.0,6556,67.7,3131,32.3,6064.0,4343,71.6,1722,28.4
1986,10928.0,7492,68.6,3435,31.4,6712.0,4868,72.5,1844,27.5
1987,12153.0,8393,69.1,3760,30.9,7343.0,5375,73.2,1968,26.8
1988,13463.0,8894,66.1,4569,33.9,8193.0,5678,69.3,2515,30.7
1989,14979.0,9793,65.4,5186,34.6,8993.0,6195,68.9,2797,31.1
1990,16290.0,10645,65.3,5645,34.7,9640.0,6649,69.0,2991,31.0
1991,17589.0,11607,66.0,5982,34.0,10238.0,7128,69.6,3110,30.4
1992,18821.0,12516,66.5,6305,33.5,11095.0,7718,69.6,3377,30.4
1993,19954.0,13303,66.7,6651,33.3,11960.0,8398,70.2,3562,29.8
1994,21035.0,13989,66.5,7046,33.5,12654.0,8878,70.2,3775,29.8
1995,22179.0,14812,66.8,7367,33.2,13337.0,9399,70.5,3938,29.5
1996,23055.0,15481,67.1,7574,32.9,13847.0,9868,71.3,3978,28.7
1997,24380.0,16602,68.1,7778,31.9,14321.0,10316,72.0,4006,28.0
1998,25867.0,19058,73.7,6810,26.3,15159.0,11862,78.2,3298,21.8
1999,27544.0,20450,74.2,7094,25.8,16112.0,12746,79.1,3365,20.9
2000,30084.0,22547,74.9,7537,25.1,17548.0,13936,79.4,3611,20.6
2001,32800.0,24392,74.4,8409,25.6,19227.0,15038,78.2,4188,21.8
2002,36383.0,27363,75.2,9019,24.8,21856.0,17262,79.0,4593,21.0
2003,40077.0,30105,75.1,9973,24.9,24753.0,19627,79.3,5126,20.7
2004,43238.0,31957,73.9,11281,26.1,27627.0,21353,77.3,6274,22.7
2005,45774.0,34353,75.0,11421,25.0,29187.0,22885,78.4,6302,21.6
2006,47759.0,36082,75.5,11677,24.5,30132.0,23697,78.6,6434,21.4
2007,49495.0,37726,76.2,11769,23.8,30430.0,24001,78.9,6429,21.1
2008,51872.0,39322,75.8,12550,24.2,31272.0,24430,78.1,6842,21.9
2009,54863.0,40913,74.6,13950,25.4,32576.0,25025,76.8,7551,23.2
"Total, S&E and non-S&Ea",,,,,,,,,,
2010,61254.0,40406,66.0,20848,34.0,37475.0,25410,67.8,12065,32.2
2011,65274.0,42806,65.6,22469,34.4,40766.0,27338,67.1,13427,32.9
2012,65729.0,42394,64.5,23335,35.5,40140.0,26470,65.9,13670,34.1
2013,67013.0,43291,64.6,23723,35.4,39444.0,26071,66.1,13373,33.9
2014,67200.0,42958,63.9,24241,36.1,37961.0,24897,65.6,13064,34.4
2015,68668.0,43797,63.8,24871,36.2,37877.0,24948,65.9,12929,34.1
