Field,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
All R&D fieldsa,30908742,31240581,32100859,33442570,37475234,40765887,40140077,39443574,37960992,37876879
Science,25823786,25974334,26546800,27541142,30789451,33370864,32494977,31762599,30401803,30349236
Computer sciences,1018483,1025809,1036436,1106879,1175343,1294280,1360430,1552301,1389883,1420628
Environmental sciences,1767996,1807589,1827916,1890417,2013754,2181206,2203399,2094690,2050512,2067030
Atmospheric sciences,406606,354500,337720,322239,338687,383740,389095,397620,389391,455561
Earth sciences,591714,601326,603171,645073,735094,799906,818785,767770,740691,696323
Oceanography,560990,671710,686106,711758,666930,705852,673888,662219,663270,648494
"Environmental sciences, nec",208686,180053,200919,211347,273043,291708,321631,267081,257160,266652
Life sciences,18279831,18326529,18659210,19322794,21700276,23661473,22751699,22225173,21269740,21187061
Agricultural sciences,883383,897109,862443,863378,956744,1041577,1136584,1109312,1083403,1088905
Biological sciences,6246792,6188708,6361302,6621605,7578375,8212822,7740720,7604403,7237982,7107138
Medical sciences,10438130,10563126,10748704,11057535,12068597,13184542,12681477,12287380,11742653,11749252
"Life sciences, nec",711526,677586,686761,780276,1096560,1222532,1192918,1224078,1205702,1241766
Mathematical sciences,374931,408608,447399,368730,417775,458966,490534,464593,441406,424891
Physical sciences,2700154,2688879,2742953,2963115,3384275,3527340,3474586,3311037,3156100,3116233
Astronomy,317423,305545,353111,387905,405954,408959,535180,400440,380884,403025
Chemistry,968134,975723,992275,1037432,1200120,1243708,1213495,1134945,1080299,1095108
Physics,1215517,1219721,1215264,1360805,1557421,1660467,1532612,1567937,1509928,1467687
"Physical sciences, nec",199080,187890,182303,176973,220780,214206,193299,207715,184989,150413
Psychology,629253,603423,634857,656196,758520,835448,859500,776402,750935,763177
Social sciences,712628,762700,816045,854739,900768,946948,915754,897496,919848,919673
Economics,120316,124400,127685,121542,127674,148604,144332,137128,138997,151226
Political science,106991,134811,124970,137282,152542,148626,141265,143375,145735,136575
Sociology,216449,206881,202619,201874,226462,232834,247739,237479,251942,262396
"Social sciences, nec",268872,296608,360771,394041,394090,416884,382418,379514,383174,369476
"Sciences, nec",340510,350797,381984,378272,438740,465203,439075,440907,423379,450543
Engineering,4307793,4455842,4724843,5034998,5718632,6275367,6442873,6499378,6423386,6455847
Aeronautical and astronautical engineering,287578,340102,399378,431389,466991,504536,501722,513134,474613,516080
Bioengineering and biomedical engineering,294830,320808,364144,385536,470212,515430,552442,556522,606952,606394
Chemical engineering,319993,322324,341043,359726,421269,490918,504753,478542,471514,462729
Civil engineering,334655,355597,385333,400280,460880,544992,570303,578390,577958,570786
Electrical engineering,1076684,1065059,1111187,1200129,1373311,1511458,1601917,1642771,1742317,1772453
Mechanical engineering,685716,695961,737220,800903,953244,1032641,1035551,1061270,946889,957792
Metallurgical and materials engineering,386147,377631,376879,389255,429412,455722,462246,465657,494375,496449
"Engineering, nec",922190,978360,1009659,1067780,1143313,1219670,1213939,1203092,1108768,1073164
Non-S&Ea,777163,810405,829216,866430,967151,1119656,1202227,1181597,1135803,1071796
Business and management,52569,54612,65318,67456,86440,99661,96659,95227,77275,69936
"Communications, journalism, and library science",29915,30998,28652,29609,41339,53266,53337,51060,54337,42475
Education,436424,473204,448853,474571,535744,632117,689060,666586,662800,642799
Humanities,56216,60071,56090,60248,57510,61420,67692,76804,75115,60031
Law,28261,29590,28476,23206,19338,27388,24575,22522,23792,24444
Social work,40685,40657,59163,61899,94422,105661,109359,111693,109175,101927
Visual and performing arts,3604,4012,3722,4193,4843,6521,10435,7039,9056,8609
"Non-S&E, nec",129489,117261,138942,145248,127515,133622,151110,150666,124253,121575
