Field,All R&D expenditures,Source of funds,Federal government,State and local government,Institution funds,Business,Nonprofit organizations
All R&D fields,68667801,37876879,3812408,16711730,4000614,4236993,2029177
Science,53973580,30349236,2927906,12749971,2806797,3553239,1586431
Computer sciences,1963572,1420628,42317,334002,90380,43802,32443
Environmental sciences,3249068,2067030,176610,656356,127302,118849,102921
Atmospheric sciences,576460,455561,16494,73102,9234,8393,13676
Earth sciences,1110057,696323,47997,238436,59122,30845,37334
Oceanography,1051652,648494,60107,231140,30502,45753,35656
"Environmental sciences, nec",510899,266652,52012,113678,28444,33858,16255
Life sciences,38820016,21187061,2326550,9000135,2312980,2806284,1187006
Agricultural sciences,3464738,1088905,860524,1118122,147680,144600,104907
Biological sciences,11710677,7107138,552724,2621361,408559,756498,264397
Medical sciences,21347494,11749252,788152,4617387,1691637,1739942,761124
"Life sciences, nec",2297107,1241766,125150,643265,65104,165244,56578
Mathematical sciences,641712,424891,21103,160444,9039,18488,7747
Physical sciences,4711297,3116233,89656,1066094,137354,173139,128821
Astronomy,672838,403025,1410,168356,9009,35241,55797
Chemistry,1758127,1095108,42480,429930,81715,74889,34005
Physics,2052860,1467687,40161,417461,37243,54593,35715
"Physical sciences, nec",227472,150413,5605,50347,9387,8416,3304
Psychology,1184016,763177,38062,275638,14657,72602,19880
Social sciences,2321892,919673,169623,847335,51422,253240,80599
Economics,461574,151226,52368,176893,10325,53213,17549
Political science,460196,136575,19717,198639,11112,67747,26406
Sociology,524867,262396,26649,158131,11684,55332,10675
"Social sciences, nec",875255,369476,70889,313672,18301,76948,25969
"Sciences, nec",1082007,450543,63985,409967,63663,66835,27014
Engineering,11070258,6455847,598002,2289474,1088357,329351,309227
Aeronautical and astronautical engineering,734144,516080,23221,107812,67391,10324,9316
Bioengineering and biomedical engineering,1003803,606394,42012,244307,39293,53092,18705
Chemical engineering,914713,462729,31492,195012,145763,53352,26365
Civil engineering,1288098,570786,200543,355288,90302,35976,35203
Electrical engineering,2493901,1772453,50740,398568,154480,47719,69941
Mechanical engineering,1515893,957792,59730,261016,168179,26526,42650
Metallurgical and materials engineering,1096021,496449,63059,204220,258435,49228,24630
"Engineering, nec",2023685,1073164,127205,523251,164514,53134,82417
Non-S&E,3623963,1071796,286500,1672285,105460,354403,133519
Business and management,571483,69936,44134,345264,48353,34600,29196
"Communications, journalism, and library science",168496,42475,9889,82462,4092,25634,3944
Education,1292225,642799,100043,374802,25623,128131,20827
Humanities,430284,60031,11100,280888,3316,55391,19558
Law,174524,24444,11620,97626,6081,27995,6758
Social work,215652,101927,32853,55560,2487,19050,3775
Visual and performing arts,100716,8609,5800,74989,2055,6345,2918
"Non-S&E, nec",670583,121575,71061,360694,13453,57257,46543
