Field,All federal R&D expenditures,DOD,DOE,HHS,NASA,NSF,USDA,Othera
All R&D fields,37876879,5094978,1712658,20024751,1418699,5113701,1113764,3398328
Science,30349236,2608628,960268,19215758,925782,3601970,1047481,1989349
Computer sciences,1420628,559747,51491,75315,19429,579996,4466,130184
Environmental sciences,2067030,210485,111192,72321,322637,736294,53006,561095
Atmospheric sciences,455561,41922,24632,2617,118549,99326,4342,164173
Earth sciences,696323,73953,52918,11397,158275,269424,29146,101210
Oceanography,648494,80843,8542,10027,30842,290154,2008,226078
"Environmental sciences, nec",266652,13767,25100,48280,14971,77390,17510,69634
Life sciences,21187061,1053189,164779,17571596,89270,728953,893267,686007
Agricultural sciences,1088905,23341,48357,70094,8745,110770,630679,196919
Biological sciences,7107138,274127,83820,5787277,39375,508440,213433,200666
Medical sciences,11749252,698973,16889,10685919,35248,68105,28173,215945
"Life sciences, nec",1241766,56748,15713,1028306,5902,41638,20982,72477
Mathematical sciences,424891,91073,11700,42604,3323,235898,4696,35597
Physical sciences,3116233,471586,592315,514103,450071,973218,4985,109955
Astronomy,403025,7165,7979,375,288132,88853,0,10521
Chemistry,1095108,143995,134334,442652,12343,328070,3550,30164
Physics,1467687,292220,423079,58612,123642,514677,1313,54144
"Physical sciences, nec",150413,28206,26923,12464,25954,41618,122,15126
Psychology,763177,63269,161,506476,19878,70905,5363,97125
Social sciences,919673,83399,8844,308035,16254,143251,70722,289168
Economics,151226,9444,2891,40935,202,21889,35480,40385
Political science,136575,17668,2867,35885,381,23668,3157,52949
Sociology,262396,17474,1060,102889,975,47753,15592,76653
"Social sciences, nec",369476,38813,2026,128326,14696,49941,16493,119181
"Sciences, nec",450543,75880,19786,125308,4920,133455,10976,80218
Engineering,6455847,2432320,742678,611892,485462,1275289,52341,855865
Aeronautical and astronautical engineering,516080,259623,17413,1912,159961,20432,340,56399
Bioengineering and biomedical engineering,606394,110529,31924,352557,5403,72863,11538,21580
Chemical engineering,462729,87665,121161,75398,6612,144304,5091,22498
Civil engineering,570786,53667,57084,16902,15381,133519,8726,285507
Electrical engineering,1772453,949232,101533,52134,104081,391669,738,173066
Mechanical engineering,957792,405499,178336,45651,63704,177029,1716,85857
Metallurgical and materials engineering,496449,204707,111891,20377,10710,104287,1105,43372
"Engineering, nec",1073164,361398,123336,46961,119610,231186,23087,167586
Non-S&E,1071796,54030,9712,197101,7455,236442,13942,553114
Business and management,69936,14693,1636,4697,346,14687,1580,32297
"Communications, journalism, and library science",42475,2882,117,13928,157,8675,1180,15536
Education,642799,9666,2244,63349,6067,159204,3967,398302
Humanities,60031,4613,510,8856,367,18347,645,26693
Law,24444,1067,649,3665,6,1559,73,17425
Social work,101927,4851,36,85495,204,670,482,10189
Visual and performing arts,8609,97,1179,635,105,2663,145,3785
"Non-S&E, nec",121575,16161,3341,16476,203,30637,5870,48887
