Fiscal year and type of institution,All R&D expenditures,Direct costs,Indirect costs,Total,"Salaries, wages, and fringe benefits",Software purchases,Capitalized equipment,Passed through to subrecipients,Other direct costs,Total.1,Recovered,Unrecovered
2011,,,,,,,,,,,,
All institutions,65274305.0,49309701.0,27863315.0,113395.0,95417.0,17978.0,2255995.0,5436841.0,13640155.0,15964604.0,11354093.0,4610511.0
Doctorate,64064133.0,48282499.0,27357645.0,110285.0,92808.0,17477.0,2192296.0,5371178.0,13251095.0,15781634.0,11236113.0,4545521.0
Nondoctorate,1210172.0,1027202.0,505670.0,3110.0,2609.0,501.0,63699.0,65663.0,389060.0,182970.0,117980.0,64990.0
Public,43915872.0,33920696.0,19638800.0,93472.0,77672.0,15800.0,1555049.0,3418696.0,9214679.0,9995176.0,6587237.0,3407939.0
Private,21358433.0,15389005.0,8224515.0,19923.0,17745.0,2178.0,700946.0,2018145.0,4425476.0,5969428.0,4766856.0,1202572.0
2012,,,,,,,,,,,,
All institutions,65729006.0,49895497.0,28341395.0,100980.0,90778.0,10202.0,2040476.0,5531421.0,13881225.0,15833509.0,11223980.0,4609529.0
Doctorate,64700200.0,49022846.0,27906909.0,95627.0,86115.0,9512.0,1995345.0,5469627.0,13555338.0,15677354.0,11125166.0,4552188.0
Nondoctorate,1028806.0,872651.0,434486.0,5353.0,4663.0,690.0,45131.0,61794.0,325887.0,156155.0,98814.0,57341.0
Public,44162594.0,34337486.0,19951685.0,80994.0,72387.0,8607.0,1476328.0,3502384.0,9326095.0,9825108.0,6556653.0,3268455.0
Private,21566412.0,15558011.0,8389710.0,19986.0,18391.0,1595.0,564148.0,2029037.0,4555130.0,6008401.0,4667327.0,1341074.0
2013,,,,,,,,,,,,
All institutions,67013137.0,51086707.0,28801472.0,105242.0,93211.0,12031.0,2254800.0,5689087.0,14236106.0,15926430.0,11222933.0,4703497.0
Doctorate,66217716.0,50398361.0,28462741.0,102546.0,90684.0,11862.0,2219549.0,5647933.0,13965592.0,15819355.0,11148081.0,4671274.0
Nondoctorate,795421.0,688346.0,338731.0,2696.0,2527.0,169.0,35251.0,41154.0,270514.0,107075.0,74852.0,32223.0
Public,44849696.0,35004399.0,20233366.0,82693.0,74065.0,8628.0,1655615.0,3608137.0,9424588.0,9845297.0,6541177.0,3304120.0
Private,22163441.0,16082308.0,8568106.0,22549.0,19146.0,3403.0,599185.0,2080950.0,4811518.0,6081133.0,4681756.0,1399377.0
2014,,,,,,,,,,,,
All institutions,67199635.0,51560682.0,29114863.0,93772.0,81547.0,12225.0,2036547.0,5707505.0,14607995.0,15638953.0,10877220.0,4761733.0
Doctorate,66450487.0,50916455.0,28784143.0,91825.0,80143.0,11682.0,2010973.0,5667770.0,14361744.0,15534032.0,10809374.0,4724658.0
Nondoctorate,749148.0,644227.0,330720.0,1947.0,1404.0,543.0,25574.0,39735.0,246251.0,104921.0,67846.0,37075.0
Public,44678490.0,35017533.0,20442511.0,71133.0,61736.0,9397.0,1468560.0,3560116.0,9475213.0,9660957.0,6341947.0,3319010.0
Private,22521145.0,16543149.0,8672352.0,22639.0,19811.0,2828.0,567987.0,2147389.0,5132782.0,5977996.0,4535273.0,1442723.0
2015,,,,,,,,,,,,
All institutions,68667801.0,52735522.0,29922572.0,113783.0,89874.0,23909.0,2166234.0,5644202.0,14888731.0,15932279.0,11075601.0,4856678.0
Doctorate,68007358.0,52165984.0,29632985.0,111825.0,88156.0,23669.0,2141915.0,5618264.0,14660995.0,15841374.0,11013410.0,4827964.0
Nondoctorate,660443.0,569538.0,289587.0,1958.0,1718.0,240.0,24319.0,25938.0,227736.0,90905.0,62191.0,28714.0
Public,45481635.0,35714272.0,20811997.0,89636.0,71100.0,18536.0,1555088.0,3544343.0,9713208.0,9767363.0,6382482.0,3384881.0
Private,23186166.0,17021250.0,9110575.0,24147.0,18774.0,5373.0,611146.0,2099859.0,5175523.0,6164916.0,4693119.0,1471797.0
