Fiscal year and type of institution,Institutions with clinical trials expenditures (number),All sources,Federal,Nonfederal,All R&D expenditures,Clinical trials,All R&D expenditures.1,Clinical trials.1,All R&D expenditures.2,Clinical trials.2
2011,,,,,,,,,,
All institutions,178.0,46154746.0,1590664.0,29713888.0,631663.0,16440858.0,959001.0,,,
Doctorate,150.0,46058907.0,1580435.0,29661779.0,624516.0,16397128.0,955919.0,,,
Nondoctorate,28.0,95839.0,10229.0,52109.0,7147.0,43730.0,3082.0,,,
Public,101.0,29082206.0,600223.0,17251379.0,197401.0,11830827.0,402822.0,,,
Private,77.0,17072540.0,990441.0,12462509.0,434262.0,4610031.0,556179.0,,,
2012,,,,,,,,,,
All institutions,167.0,46183651.0,1669813.0,28974950.0,659382.0,17208701.0,1010431.0,,,
Doctorate,150.0,46080032.0,1660925.0,28916411.0,651885.0,17163621.0,1009040.0,,,
Nondoctorate,17.0,103619.0,8888.0,58539.0,7497.0,45080.0,1391.0,,,
Public,97.0,28994875.0,634195.0,16778507.0,217475.0,12216368.0,416720.0,,,
Private,70.0,17188776.0,1035618.0,12196443.0,441907.0,4992333.0,593711.0,,,
2013,,,,,,,,,,
All institutions,169.0,47500613.0,1755338.0,28816770.0,739698.0,18683843.0,1015640.0,,,
Doctorate,153.0,47441784.0,1748622.0,28780000.0,733796.0,18661784.0,1014826.0,,,
Nondoctorate,16.0,58829.0,6716.0,36770.0,5902.0,22059.0,814.0,,,
Public,101.0,29833806.0,709563.0,16829001.0,237849.0,13004805.0,471714.0,,,
Private,68.0,17666807.0,1045775.0,11987769.0,501849.0,5679038.0,543926.0,,,
2014,,,,,,,,,,
All institutions,175.0,48817159.0,2007748.0,28238359.0,795923.0,20578800.0,1211825.0,,,
Doctorate,159.0,48764898.0,1999428.0,28214054.0,789250.0,20550844.0,1210178.0,,,
Nondoctorate,16.0,52261.0,8320.0,24305.0,6673.0,27956.0,1647.0,,,
Public,106.0,30724372.0,762521.0,16415222.0,237469.0,14309150.0,525052.0,,,
Private,69.0,18092787.0,1245227.0,11823137.0,558454.0,6269650.0,686773.0,,,
2015,,,,,,,,,,
All institutions,176.0,50620299.0,2145428.0,28240838.0,842485.0,22379461.0,1302943.0,,,
Doctorate,163.0,50562182.0,2139842.0,28215479.0,838352.0,22346703.0,1301490.0,,,
Nondoctorate,13.0,58117.0,5586.0,25359.0,4133.0,32758.0,1453.0,,,
Public,110.0,32035384.0,810699.0,16460523.0,246770.0,15574861.0,563929.0,,,
Private,66.0,18584915.0,1334729.0,11780315.0,595715.0,6804600.0,739014.0,,,
