Rank,Institution,All R&D expenditures,Unnamed: 3,Source of funds,Federal government,Unnamed: 6,State and local government,Unnamed: 8,Institution funds,Unnamed: 10,Business,Unnamed: 12,Nonprofit organizations,Unnamed: 14,All other sources,Unnamed: 16,shift
All institutions,68667801,,37876879,,3812408,,16711730.0,,4000614.0,,4236993.0,,2029177,,,,-1
1.0,Johns Hopkins U.a,2305679.0,,1992837.0,,6038.0,,97914.0,,66221.0,,136259.0,,6410.0,,,0
2.0,"U. Michigan, Ann Arbor",1369278.0,,735447.0,,1696.0,,497063.0,,60408.0,,58478.0,,16186.0,,,0
3.0,"U. Washington, Seattle",1180563.0,,906768.0,,19617.0,,69690.0,,42081.0,,97136.0,,45271.0,,,0
4.0,"U. California, San Francisco",1126620.0,,535457.0,,36907.0,,237843.0,,69101.0,,143974.0,,103338.0,,,0
5.0,"U. California, San Diego",1101466.0,,603343.0,,41983.0,,185660.0,,84672.0,,77616.0,,108192.0,,,0
6.0,U. Wisconsin-Madison,1069077.0,,533286.0,,68250.0,,371776.0,,23708.0,,47200.0,,24857.0,,,0
7.0,Duke U.,1036698.0,,559217.0,,779.0,,141999.0,,240640.0,,73928.0,,20135.0,,,0
8.0,Stanford U.,1022551.0,,675930.0,,34996.0,,103448.0,,90177.0,,105454.0,,12546.0,,,0
9.0,"U. California, Los Angeles",1021227.0,,489404.0,,42674.0,,212532.0,,55613.0,,149027.0,,71977.0,,,0
10.0,Harvard U.,1013753.0,,545202.0,,3805.0,,284058.0,,48177.0,,111192.0,,21319.0,,,0
11.0,"U. North Carolina, Chapel Hill",966781.0,,585758.0,,26104.0,,246490.0,,28998.0,,62736.0,,16695.0,,,0
12.0,Cornell U.,954412.0,,446360.0,,79146.0,,233532.0,,40690.0,,123102.0,,31582.0,,,0
13.0,Massachusetts Institute of Technology,930719.0,,488421.0,,631.0,,92551.0,,150001.0,,98397.0,,100718.0,,,0
14.0,"U. Minnesota, Twin Cities",880618.0,,476029.0,,54156.0,,273869.0,,25520.0,,10590.0,,40454.0,,,0
15.0,Columbia U. in the City of New York,868159.0,,592545.0,,11144.0,,117648.0,,39629.0,,80911.0,,26282.0,,,0
16.0,"Texas A&M U., College Station and Health Science Center",866678.0,,304437.0,,180289.0,,247330.0,,71559.0,,44519.0,,18544.0,,,0
17.0,U. Pennsylvania,864068.0,,611620.0,,10798.0,,81050.0,,97755.0,,60165.0,,2680.0,,,0
18.0,"U. Pittsburgh, Pittsburgh",861205.0,,561210.0,,8330.0,,149256.0,,16531.0,,51596.0,,74282.0,,,0
19.0,U. Texas M. D. Anderson Cancer Center,833406.0,,161171.0,,244316.0,,174431.0,,81076.0,,37030.0,,135382.0,,,0
20.0,Ohio State U.,817881.0,,446048.0,,71902.0,,113918.0,,119272.0,,34977.0,,31764.0,,,0
21.0,Yale U.,803004.0,,477143.0,,6160.0,,210029.0,,43666.0,,57627.0,,8379.0,,,0
22.0,"Pennsylvania State U., University Park and Hershey Medical Center",791031.0,,513410.0,,44324.0,,162251.0,,33715.0,,35448.0,,1883.0,,,0
23.0,"U. California, Berkeley",788505.0,,346262.0,,50655.0,,174007.0,,75480.0,,88823.0,,53278.0,,,0
