Rank,Institution,All federal R&D expenditures,Unnamed: 3,DOD,Unnamed: 5,DOE,Unnamed: 7,HHS,Unnamed: 9,NASA,Unnamed: 11,NSF,Unnamed: 13,USDA,Unnamed: 15,Othera,Unnamed: 17,shift
All institutions,37876879,,5094978,,1712658,,20024751,,1418699,,5113701,,1113764,,3398328,,,-1
1.0,Johns Hopkins U.b,1992837.0,,794397.0,,8003.0,,584834.0,,213697.0,,33967.0,,1111.0,,356828.0,,0
2.0,"U. Washington, Seattle",906768.0,,77099.0,,29302.0,,579916.0,,15411.0,,125221.0,,14029.0,,65790.0,,0
3.0,"U. Michigan, Ann Arbor",735447.0,,74028.0,,38612.0,,466611.0,,43172.0,,78520.0,,2437.0,,32067.0,,0
4.0,Stanford U.,675930.0,,83093.0,,26853.0,,444739.0,,19166.0,,86631.0,,220.0,,15228.0,,0
5.0,U. Pennsylvania,611620.0,,64987.0,,11406.0,,481614.0,,3659.0,,36768.0,,1276.0,,11910.0,,0
6.0,"U. California, San Diego",603343.0,,75438.0,,20159.0,,365739.0,,6977.0,,100820.0,,306.0,,33904.0,,0
7.0,Columbia U. in the City of New York,592545.0,,35513.0,,11406.0,,408376.0,,20831.0,,91560.0,,345.0,,24514.0,,0
8.0,"U. North Carolina, Chapel Hill",585758.0,,14903.0,,7475.0,,442746.0,,732.0,,38809.0,,913.0,,80180.0,,0
9.0,"U. Pittsburgh, Pittsburgh",561210.0,,39566.0,,9269.0,,472159.0,,824.0,,25861.0,,107.0,,13424.0,,0
10.0,Duke U.,559217.0,,58455.0,,9832.0,,423827.0,,2912.0,,40136.0,,1121.0,,22934.0,,0
11.0,Georgia Institute of Technology,551084.0,,374009.0,,28501.0,,35225.0,,15931.0,,68749.0,,850.0,,27819.0,,0
12.0,Harvard U.,545202.0,,48037.0,,19398.0,,398983.0,,11047.0,,51204.0,,225.0,,16308.0,,0
13.0,"U. California, San Francisco",535457.0,,20657.0,,246.0,,504874.0,,848.0,,4633.0,,1.0,,4198.0,,0
14.0,U. Wisconsin-Madison,533286.0,,24840.0,,60023.0,,273732.0,,12688.0,,89464.0,,25228.0,,47311.0,,0
15.0,"Pennsylvania State U., University Park and Hershey Medical Center",513410.0,,207510.0,,37744.0,,118760.0,,12093.0,,66835.0,,27691.0,,42777.0,,0
16.0,"U. California, Los Angeles",489404.0,,41408.0,,22215.0,,335761.0,,15612.0,,66953.0,,328.0,,7127.0,,0
17.0,Massachusetts Institute of Technology,488421.0,,130035.0,,81902.0,,119114.0,,43401.0,,95326.0,,0.0,,18643.0,,0
18.0,Yale U.,477143.0,,26401.0,,12294.0,,391369.0,,3591.0,,36063.0,,1759.0,,5666.0,,0
19.0,"U. Minnesota, Twin Cities",476029.0,,23500.0,,21423.0,,298257.0,,7627.0,,78575.0,,24844.0,,21803.0,,0
20.0,Cornell U.,446360.0,,30165.0,,19336.0,,212344.0,,8700.0,,124886.0,,35559.0,,15370.0,,0
21.0,Ohio State U.,446048.0,,34606.0,,17698.0,,230792.0,,6157.0,,52197.0,,31120.0,,73478.0,,0
22.0,"Washington U., Saint Louis",432228.0,,8185.0,,11820.0,,385426.0,,7987.0,,15281.0,,282.0,,3247.0,,0
23.0,U. Southern California,421227.0,,75197.0,,10334.0,,258428.0,,4189.0,,43569.0,,310.0,,29200.0,,0
24.0,Vanderbilt U.,401738.0,,31704.0,,10422.0,,317534.0,,1316.0,,21474.0,,207.0,,19081.0,,0
25.0,Northwestern U.,393186.0,,35124.0,,21359.0,,280136.0,,1818.0,,45979.0,,8.0,,8762.0,,0
26.0,U. Colorado Boulder,353341.0,,29814.0,,22271.0,,45700.0,,97729.0,,76939.0,,906.0,,79982.0,,0
27.0,Emory U.,348071.0,,6384.0,,1229.0,,319313.0,,2231.0,,11575.0,,316.0,,7023.0,,0
28.0,"U. California, Berkeley",346262.0,,33946.0,,19137.0,,107469.0,,69122.0,,80546.0,,4669.0,,31373.0,,0
29.0,"U. Texas, Austin",346215.0,,135342.0,,40546.0,,64126.0,,11862.0,,77160.0,,557.0,,16622.0,,0
30.0,New York U.,344570.0,,15203.0,,4187.0,,284089.0,,529.0,,32510.0,,979.0,,7073.0,,0
31.0,"U. Illinois, Urbana-Champaign",338178.0,,43262.0,,45962.0,,61359.0,,6750.0,,132673.0,,18067.0,,30105.0,,0
32.0,"U. Maryland, College Park",332393.0,,69595.0,,16573.0,,53214.0,,47159.0,,55269.0,,24158.0,,66425.0,,0
33.0,Icahn School of Medicine at Mt. Sinai,329641.0,,3738.0,,0.0,,323877.0,,185.0,,727.0,,0.0,,1114.0,,0
34.0,"U. Alabama, Birmingham",328531.0,,21996.0,,7027.0,,275414.0,,11159.0,,6978.0,,77.0,,5880.0,,0
