Rank,Institution,All R&D expenditures,Unnamed: 3,Environmental sciences,Unnamed: 5,Life sciences,Unnamed: 7,Math and computer sciences,Unnamed: 9,Physical sciences,Unnamed: 11,Psychology,Unnamed: 13,Social sciences,Unnamed: 15,"Sciences, nec",Unnamed: 17,Engineering,Unnamed: 19,All non-S&E fields,Unnamed: 21
,All institutions,3812408,,176610,,2326550,,63420,,89656,,38062,,169623,,63985,,598002,,286500,
1.0,U. Texas M. D. Anderson Cancer Center,244316,,0,,225371,,7922,,4221,,3408,,3394,,0,,0,,0,
2.0,"Texas A&M U., College Station and Health Science Center",180289,,6933,,97876,,1446,,4127,,56,,3959,,1471,,56058,,8363,
3.0,U. Florida,121694,,3002,,98221,,31,,1507,,227,,4180,,342,,8585,,5599,
4.0,North Carolina State U.,99165,,3571,,62728,,2438,,973,,536,,2133,,1802,,24302,,682,
5.0,"Rutgers, State U. New Jersey, New Brunswick",79931,,8578,,38875,,2596,,3392,,1559,,10000,,3242,,4141,,7548,
6.0,Cornell U.,79146,,6561,,56796,,0,,420,,3138,,9031,,0,,3046,,154,
7.0,U. Texas Southwestern Medical Center,78617,,0,,78617,,0,,0,,0,,0,,0,,0,,0,
8.0,Mississippi State U.,77189,,700,,41600,,3432,,4182,,793,,6568,,2274,,10734,,6906,
9.0,"Purdue U., West Lafayette",74782,,155,,45277,,60,,788,,50,,5256,,2791,,11154,,9251,
10.0,"Louisiana State U., Baton Rouge",73766,,4497,,51722,,622,,2251,,14,,2472,,66,,11150,,972,
11.0,Ohio State U.,71902,,487,,34849,,5063,,859,,210,,437,,2783,,9850,,17364,
12.0,U. Wisconsin-Madison,68250,,3197,,39316,,451,,2261,,358,,4043,,1796,,4373,,12455,
13.0,"U. California, Davis",59438,,3679,,36948,,35,,14,,0,,912,,0,,13638,,4212,
14.0,Washington State U.,56775,,2403,,36353,,0,,769,,79,,2791,,761,,10577,,3042,
15.0,"U. Minnesota, Twin Cities",54156,,2754,,38769,,8,,272,,90,,3239,,0,,8235,,789,
16.0,Virginia Polytechnic Institute and State U.,52475,,205,,37660,,292,,122,,18,,1359,,34,,12666,,119,
17.0,"U. Arkansas, Fayetteville",52041,,421,,45942,,5,,876,,34,,2414,,0,,2287,,62,
18.0,North Dakota State U.,51839,,37,,45273,,69,,604,,30,,1829,,629,,3340,,28,
19.0,"U. California, Berkeley",50655,,170,,21103,,0,,2328,,186,,1849,,2867,,18029,,4123,
20.0,U. Kentucky,45761,,215,,35546,,38,,71,,3,,2842,,216,,6830,,0,
21.0,"Pennsylvania State U., University Park and Hershey Medical Center",44324,,1595,,33690,,115,,187,,1368,,1975,,0,,5202,,192,
22.0,Iowa State U.,44056,,37,,30543,,566,,96,,0,,2236,,335,,9571,,672,
23.0,Oregon State U.,43165,,1442,,33865,,560,,553,,0,,1708,,559,,4478,,0,
24.0,"U. California, Los Angeles",42674,,1604,,35031,,3275,,402,,84,,744,,14,,1464,,56,
25.0,"U. California, San Diego",41983,,8191,,28512,,349,,836,,28,,144,,9,,3693,,221,
26.0,Kansas State U.,39492,,28,,31745,,405,,91,,274,,2430,,447,,2173,,1899,
27.0,"U. Texas Health Science Center, Houston",39270,,0,,39270,,0,,0,,0,,0,,0,,0,,0,
28.0,Michigan State U.,38158,,7,,30721,,27,,0,,3,,2809,,464,,2200,,1927,
29.0,"U. California, San Francisco",36907,,0,,35811,,0,,1096,,0,,0,,0,,0,,0,
