Rank,Institution,All R&D expenditures,Unnamed: 3,Source of funds,Federal government,Unnamed: 6,State and local government,Unnamed: 8,Institution funds,Unnamed: 10,Business,Unnamed: 12,Nonprofit organizations,Unnamed: 14,All other sources,Unnamed: 16,shift
All HBCUs,548364,,424516,,32024,,73873.0,,4280,,6447,,7224,,,,-1
1.0,Howard U.,47322.0,,38820.0,,1318.0,,4839.0,,1018.0,,1287.0,,40.0,,,0
2.0,Florida A&M U.,46522.0,,36975.0,,1079.0,,7955.0,,474.0,,39.0,,0.0,,,0
3.0,North Carolina Agricultural and Technical State U.,35172.0,,22413.0,,94.0,,12068.0,,55.0,,542.0,,0.0,,,0
4.0,Morehouse School of Medicine,33367.0,,30012.0,,114.0,,2016.0,,302.0,,923.0,,0.0,,,0
5.0,Alabama A&M U.,29202.0,,21982.0,,607.0,,4347.0,,158.0,,0.0,,2108.0,,,0
6.0,Tuskegee U.,25652.0,i,14166.0,i,2898.0,i,5358.0,i,429.0,i,194.0,i,2607.0,i,,0
7.0,Jackson State U.,23908.0,,19656.0,,1313.0,,2011.0,,0.0,,898.0,,30.0,,,0
8.0,U. of the Virgin Islands,20630.0,,19456.0,,254.0,,0.0,,0.0,,0.0,,920.0,,,0
9.0,Tennessee State U.,19955.0,,11145.0,,783.0,,7533.0,,470.0,,24.0,,0.0,,,0
10.0,Delaware State U.,15980.0,,12091.0,,173.0,,3342.0,,369.0,,5.0,,0.0,,,0
11.0,Hampton U.,14895.0,,14735.0,,148.0,,12.0,,0.0,,0.0,,0.0,,,0
12.0,Meharry Medical C.,13998.0,,13068.0,,0.0,,391.0,,5.0,,534.0,,0.0,,,0
13.0,Fayetteville State U.,13746.0,,9243.0,,596.0,,3643.0,,163.0,,101.0,,0.0,,,0
14.0,Morgan State U.,13577.0,,12805.0,,553.0,,,,93.0,,108.0,,18.0,,,0
15.0,Prairie View A&M U.,13123.0,,7994.0,,2938.0,,1957.0,,7.0,,60.0,,167.0,,,0
16.0,South Carolina State U.,12607.0,,4456.0,,4852.0,,3290.0,,0.0,,0.0,,9.0,,,0
17.0,North Carolina Central U.,12448.0,,10874.0,,371.0,,,,158.0,,781.0,,264.0,,,0
18.0,Clark Atlanta U.,9945.0,,7455.0,,0.0,,2307.0,,58.0,,125.0,,0.0,,,0
19.0,"U. Maryland, Eastern Shore",9700.0,,9284.0,,174.0,,0.0,,5.0,,5.0,,232.0,,,0
20.0,Xavier U. Louisiana,9588.0,,7735.0,,817.0,,792.0,,0.0,,244.0,,0.0,,,0
21.0,Alcorn State U.,9396.0,,6784.0,,121.0,,2261.0,,178.0,,52.0,,0.0,,,0
22.0,Dillard U.,9387.0,,8853.0,,37.0,,345.0,,0.0,,91.0,,61.0,,,0
23.0,Fisk U.,8758.0,i,7901.0,i,857.0,i,0.0,i,0.0,i,0.0,i,0.0,i,,0
24.0,"U. Arkansas, Pine Bluff",8425.0,,3912.0,,1978.0,,2459.0,,0.0,,76.0,,0.0,,,0
25.0,Langston U.,8126.0,,5621.0,,2505.0,,0.0,,0.0,,0.0,,0.0,,,0
26.0,Virginia State U.,7808.0,,4951.0,,85.0,,2749.0,,0.0,,0.0,,23.0,,,0
27.0,West Virginia State U.,7365.0,,5562.0,,1438.0,,193.0,,0.0,,0.0,,172.0,,,0
28.0,"Lincoln U., Jefferson City",6296.0,,5492.0,,804.0,,0.0,,0.0,,0.0,,0.0,,,0
29.0,Morehouse C.,6180.0,,5944.0,,236.0,,0.0,,0.0,,0.0,,0.0,,,0
30.0,Kentucky State U.,6017.0,,4590.0,,1391.0,,0.0,,34.0,,2.0,,0.0,,,0
31.0,Norfolk State U.,5348.0,,5104.0,,11.0,,0.0,,0.0,,26.0,,207.0,,,0
32.0,Texas Southern U.,5005.0,,3458.0,,284.0,,926.0,,84.0,,253.0,,0.0,,,0
33.0,"Southern U. and A&M C., Baton Rouge",4766.0,,3258.0,,92.0,,1359.0,,57.0,,0.0,,0.0,,,0
34.0,"Southern U. and A&M C., Agricultural Research and Extension Center",4761.0,,2514.0,,2214.0,,33.0,,0.0,,0.0,,0.0,,,0
35.0,Fort Valley State U.,4320.0,,4079.0,,0.0,,241.0,,0.0,,0.0,,0.0,,,0
36.0,Tougaloo C.,2689.0,,2689.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0
