Rank,Institution,All R&D expenditures,Unnamed: 3,Environmental sciences,Unnamed: 5,Life sciences,Unnamed: 7,Math and computer sciences,Unnamed: 9,Physical sciences,Unnamed: 11,Psychology,Unnamed: 13,Social sciences,Unnamed: 15,"Sciences, nec",Unnamed: 17,Engineering,Unnamed: 19,All non-S&E fields,Unnamed: 21,shift
All HBCUs,548364,,31839,,289294,,19108,,62713,,3037,,19215,,12795,,59411,,50952,,,-1
1.0,Howard U.,47322.0,,2502.0,,20950.0,,909.0,,9113.0,,1117.0,,425.0,,0.0,,10748.0,,1558.0,,0
2.0,Florida A&M U.,46522.0,,3288.0,,20497.0,,701.0,,834.0,,175.0,,266.0,,3056.0,,2859.0,,14846.0,,0
3.0,North Carolina Agricultural and Technical State U.,35172.0,,392.0,,17509.0,,2706.0,,503.0,,29.0,,278.0,,466.0,,12631.0,,658.0,,0
4.0,Morehouse School of Medicine,33367.0,,0.0,,33367.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
5.0,Alabama A&M U.,29202.0,,1813.0,i,15979.0,i,1262.0,i,2234.0,i,617.0,i,993.0,i,0.0,i,4957.0,i,1347.0,i,0
6.0,Tuskegee U.,25652.0,i,0.0,i,16742.0,i,973.0,i,1723.0,i,380.0,i,732.0,i,0.0,i,3891.0,i,1211.0,i,0
7.0,Jackson State U.,23908.0,,1732.0,,2861.0,,2015.0,,7213.0,,0.0,,752.0,,4591.0,,2999.0,,1745.0,,0
8.0,U. of the Virgin Islands,20630.0,,0.0,,19415.0,,0.0,,41.0,,0.0,,0.0,,0.0,,0.0,,1174.0,,0
9.0,Tennessee State U.,19955.0,,0.0,,14963.0,,484.0,,874.0,,122.0,,96.0,,0.0,,2669.0,,747.0,,0
10.0,Delaware State U.,15980.0,,725.0,,10849.0,,1381.0,,3009.0,,0.0,,0.0,,0.0,,0.0,,16.0,,0
11.0,Hampton U.,14895.0,,4977.0,,1323.0,,720.0,,4769.0,,0.0,,2108.0,,0.0,,870.0,,128.0,,0
12.0,Meharry Medical C.,13998.0,,0.0,,13998.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
13.0,Fayetteville State U.,13746.0,,300.0,,862.0,,325.0,,298.0,,0.0,,143.0,,36.0,,128.0,,11654.0,,0
14.0,Morgan State U.,13577.0,,5119.0,,1902.0,,739.0,,1184.0,,0.0,,193.0,,0.0,,4269.0,,171.0,,0
15.0,Prairie View A&M U.,13123.0,,0.0,,8074.0,,404.0,,1929.0,,25.0,,3.0,,0.0,,2497.0,,191.0,,0
16.0,South Carolina State U.,12607.0,,504.0,i,4754.0,i,66.0,i,589.0,i,115.0,i,385.0,i,0.0,i,2589.0,i,3605.0,i,0
17.0,North Carolina Central U.,12448.0,,226.0,,6308.0,,0.0,,3932.0,,5.0,,500.0,,0.0,,0.0,,1477.0,,0
18.0,Clark Atlanta U.,9945.0,,0.0,,6718.0,,222.0,,2938.0,,0.0,,0.0,,0.0,,51.0,,16.0,,0
19.0,"U. Maryland, Eastern Shore",9700.0,,4724.0,,4594.0,,0.0,,0.0,,0.0,,0.0,,0.0,,313.0,,69.0,,0
20.0,Xavier U. Louisiana,9588.0,,0.0,,4371.0,,359.0,,4442.0,,16.0,,31.0,,0.0,,369.0,,0.0,,0
21.0,Alcorn State U.,9396.0,,6.0,,6005.0,,311.0,,0.0,,0.0,,3074.0,,0.0,,0.0,,0.0,,0
22.0,Dillard U.,9387.0,,74.0,,133.0,,0.0,,748.0,,0.0,,8430.0,,0.0,,0.0,,2.0,,0
23.0,Fisk U.,8758.0,i,0.0,i,830.0,i,53.0,i,5918.0,i,0.0,i,0.0,i,0.0,i,0.0,i,1957.0,i,0
24.0,"U. Arkansas, Pine Bluff",8425.0,,0.0,,7126.0,,341.0,,336.0,,0.0,,3.0,,619.0,,0.0,,0.0,,0
25.0,Langston U.,8126.0,,0.0,,7963.0,,0.0,,163.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
26.0,Virginia State U.,7808.0,,48.0,,5152.0,,200.0,,58.0,,203.0,,24.0,,0.0,,1972.0,,151.0,,0
27.0,West Virginia State U.,7365.0,,830.0,,5552.0,,145.0,,745.0,,0.0,,0.0,,0.0,,92.0,,1.0,,0
28.0,"Lincoln U., Jefferson City",6296.0,,1450.0,,4161.0,,98.0,,9.0,,0.0,,163.0,,415.0,,0.0,,0.0,,0
29.0,Morehouse C.,6180.0,,0.0,,455.0,,135.0,,2632.0,,0.0,,38.0,,2576.0,,0.0,,344.0,,0
30.0,Kentucky State U.,6017.0,,0.0,,5950.0,,36.0,,0.0,,11.0,,0.0,,0.0,,20.0,,0.0,,0
31.0,Norfolk State U.,5348.0,,0.0,,155.0,,836.0,,1000.0,,0.0,,0.0,,0.0,,3131.0,,226.0,,0
32.0,Texas Southern U.,5005.0,,130.0,,1596.0,,746.0,,512.0,,0.0,,0.0,,0.0,,105.0,,1916.0,,0
33.0,"Southern U. and A&M C., Baton Rouge",4766.0,,831.0,,359.0,,235.0,,640.0,,0.0,,0.0,,281.0,,1708.0,,712.0,,0
34.0,"Southern U. and A&M C., Agricultural Research and Extension Center",4761.0,,206.0,,4555.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
35.0,Fort Valley State U.,4320.0,,0.0,,4149.0,,57.0,,114.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
36.0,Tougaloo C.,2689.0,,0.0,,1868.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,821.0,,0
37.0,Alabama State U.,2303.0,,0.0,,2303.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
38.0,Elizabeth City State U.,2277.0,,205.0,,12.0,,873.0,,746.0,,0.0,,1.0,,0.0,,0.0,,440.0,,0
39.0,Wiley C.,2176.0,,0.0,,22.0,,74.0,,0.0,,0.0,,7.0,,0.0,,0.0,,2073.0,,0
