Rank,Institution,All R&D expenditures,Environmental sciences,Life sciences,Math and computer sciences,Physical sciences,Psychology,Social sciences,"Sciences, nec",Engineering,All non-S&E fields
,All HHE institutions,2753104,109837,1549066,94123,201807,94900,77333,39875,395002,191161
1.0,U. Texas M. D. Anderson Cancer Center,833406,0,773837,17797,16214,17786,7772,0,0,0
2.0,U. New Mexico,232271,5528,141878,5492,8853,8354,9401,10281,34534,7950
3.0,"U. Texas Health Science Center, San Antonio",170277,0,170277,0,0,0,0,0,0,0
4.0,Florida International U.,163033,6785,41709,13377,8314,9741,7068,0,37637,38402
5.0,"U. California, Santa Cruz",151713,22232,22706,3980,30254,614,3622,3272,60838,4195
6.0,U. Houston,150628,5656,24341,8026,25141,11221,3951,82,47555,24655
7.0,"U. California, Riverside",144511,8129,75624,5437,14759,2695,5067,1401,23381,8018
8.0,New Mexico State U.,132377,1800,38212,2066,16454,115,106,3713,64534,5377
9.0,San Diego State U.,93572,1983,34173,6269,8216,12298,5068,1731,6393,17441
10.0,"U. Texas, El Paso",89418,5357,25094,6963,6990,4280,4141,165,24525,11903
11.0,"U. Texas, San Antonio",54949,1519,18852,4648,6646,911,3664,2389,11383,4937
12.0,"CUNY, City C.",53223,1599,9841,2165,9361,920,184,0,27835,1318
13.0,Texas State U.,47694,2808,7816,2314,3007,93,3961,5037,4898,17760
14.0,"U. Puerto Rico, Medical Sciences Campus",43316,0,43316,0,0,0,0,0,0,0
15.0,"CUNY, Hunter C.",36368,1205,13586,585,5585,10997,1525,0,0,2885
16.0,"U. California, Merced",29688,2286,5903,868,5714,1548,2181,0,9778,1410
17.0,"U. Puerto Rico, Rio Piedras",28579,5079,4170,763,9100,1600,1864,1380,2588,2035
18.0,"U. Puerto Rico, Mayaguez",28100,6988,3207,895,3514,0,128,139,12115,1114
19.0,Texas A&M U.-Corpus Christi,24507,14531,3600,1612,297,6,355,462,2122,1522
20.0,Texas A&M U.-Kingsville,20894,1615,14062,0,166,173,0,73,2081,2724
21.0,"CUNY, Queens C.",19092,754,10353,1197,1804,1515,640,2069,0,760
22.0,"California State U., Sacramento",17930,357,1599,331,86,52,1858,3943,8359,1345
23.0,"California State U., San Bernardino",15317,54,2288,2283,1496,2540,5444,95,142,975
24.0,"California State U., Northridge",13333,1885,2025,894,3441,1011,904,1432,461,1280
25.0,U. Texas Pan American,11266,58,2794,583,1231,193,125,31,4529,1722
26.0,Humboldt State U.,11218,4118,4444,0,69,0,263,94,2185,45
27.0,St. Edward's U.,9515,250,3100,0,850,0,0,0,0,5315
28.0,"California State U., Long Beach",8830,435,2916,78,1321,1995,146,263,954,722
29.0,"CUNY, John Jay C. of Criminal Justice",8689,0,260,405,24,2086,740,0,0,5174
30.0,"California State U., Fresno",8624,145,5540,363,556,18,275,0,351,1376
31.0,Azusa Pacific U.,7521,4,2302,139,196,990,313,0,9,3568
32.0,Ponce Health Sciences U.,7520,0,7520,0,0,0,0,0,0,0
33.0,U. Central del Caribe,6964,0,6964,0,0,0,0,0,0,0
34.0,"California State U., San Marcos",6432,87,3811,490,49,3,76,0,121,1795
35.0,U. Metropolitana,6361,128,394,419,3642,0,0,0,164,1614
36.0,"CUNY, Graduate Center",6175,15,603,218,0,362,2946,0,0,2031
37.0,"U. Texas, Brownsville",5827,120,2476,634,2410,0,137,15,10,25
38.0,"California State U., Fullerton",5611,93,3178,35,1118,134,248,38,474,293
39.0,"California State U., Monterey Bay",5492,1963,2990,454,0,0,52,0,0,33
40.0,"California State U., Los Angeles",5010,87,940,0,1129,283,171,0,1851,549
41.0,"California State Polytechnic U., Pomona",4611,444,2648,28,254,0,21,0,1118,98
42.0,"California State U., Bakersfield",3192,1339,405,653,342,8,17,0,93,335
43.0,"CUNY, Lehman C.",3130,12,843,169,657,0,932,0,0,517
44.0,Texas A&M International U.,2917,72,304,213,80,177,15,64,0,1992
45.0,"California State U., Dominguez Hills",2557,20,205,120,581,0,109,0,0,1522
46.0,U. del Turabo,2473,101,388,101,158,0,67,0,965,693
47.0,U. Houston-Downtown,2459,114,27,486,214,13,15,0,147,1443
48.0,Sul Ross State U.,2204,6,1534,0,0,0,647,0,0,17
49.0,"California State U., Channel Islands",1949,311,353,229,384,52,98,213,0,309
50.0,"California State U., Chico",1837,330,907,39,1,1,46,17,335,161
51.0,"U. Texas, Permian Basin",1725,614,30,0,20,2,0,210,256,593
52.0,"U. Puerto Rico, Cayey",1521,107,0,0,99,0,142,1173,0,0
53.0,U. del Este,1174,0,912,0,0,66,195,0,0,1
54.0,La Sierra U.,1165,0,124,0,109,47,0,0,0,885
55.0,Sonoma State U.,1163,527,329,87,118,0,40,0,45,17
56.0,"California State U., Stanislaus",1080,0,924,0,0,0,132,22,0,2
57.0,Kean U.,1064,187,127,218,0,0,461,71,0,0
58.0,U. of the Incarnate Word,848,0,305,0,35,0,0,0,236,272
59.0,"U. Puerto Rico, Humacao",784,0,0,0,748,0,0,0,0,36
