Rank,Institution,All non-medical school R&D expenditures,Unnamed: 3,All medical school R&D expenditures,Unnamed: 5,All R&D expenditures,Unnamed: 7,shift
All institutions,45127441,,23540360,,68667801,,,-1
1.0,Johns Hopkins U.a,1679859.0,,625820.0,,2305679.0,,0
2.0,Massachusetts Institute of Technology,930719.0,,0.0,,930719.0,,0
3.0,U. Texas M. D. Anderson Cancer Center,833406.0,,0.0,,833406.0,,0
4.0,"Texas A&M U., College Station and Health Science Center",814620.0,,52058.0,,866678.0,,0
5.0,"U. Michigan, Ann Arbor",805834.0,,563444.0,,1369278.0,,0
6.0,"U. California, Berkeley",788505.0,,0.0,,788505.0,,0
7.0,Harvard U.,776420.0,,237333.0,,1013753.0,,0
8.0,Georgia Institute of Technology,765370.0,,0.0,,765370.0,,0
9.0,U. Wisconsin-Madison,763051.0,,306026.0,,1069077.0,,0
10.0,"Pennsylvania State U., University Park and Hershey Medical Center",698465.0,,92566.0,,791031.0,,0
11.0,"U. Texas, Austin",646273.0,,4335.0,,650608.0,,0
12.0,"U. Washington, Seattle",645304.0,,535259.0,,1180563.0,,0
13.0,"U. Illinois, Urbana-Champaign",639817.0,,0.0,,639817.0,,0
14.0,"U. Minnesota, Twin Cities",635400.0,,245218.0,,880618.0,,0
15.0,Cornell U.,599566.0,,354846.0,,954412.0,,0
16.0,"U. California, San Diego",561519.0,,539947.0,,1101466.0,,0
17.0,"Purdue U., West Lafayette",558611.0,,0.0,,558611.0,,0
18.0,"U. California, Davis",554564.0,,166513.0,,721077.0,,0
19.0,"Rutgers, State U. New Jersey, New Brunswick",509678.0,,118935.0,,628613.0,,0
20.0,"U. Maryland, College Park",505699.0,,0.0,,505699.0,,0
21.0,Michigan State U.,505654.0,,52594.0,,558248.0,,0
22.0,Virginia Polytechnic Institute and State U.,504282.0,,0.0,,504282.0,,0
23.0,Ohio State U.,479769.0,,338112.0,,817881.0,,0
24.0,"U. California, Los Angeles",472843.0,,548384.0,,1021227.0,,0
25.0,North Carolina State U.,468293.0,,0.0,,468293.0,,0
26.0,U. Florida,465988.0,,273534.0,,739522.0,,0
27.0,Arizona State U.,458412.0,,0.0,,458412.0,,0
28.0,Stanford U.,442417.0,,580134.0,,1022551.0,,0
29.0,U. Arizona,434135.0,,172084.0,,606219.0,,0
30.0,"U. North Carolina, Chapel Hill",432593.0,,534188.0,,966781.0,,0
31.0,Columbia U. in the City of New York,428198.0,,439961.0,,868159.0,,0
32.0,U. Colorado Boulder,420775.0,,0.0,,420775.0,,0
33.0,Scripps Research Institute,384161.0,,0.0,,384161.0,,0
34.0,California Institute of Technology,374424.0,,0.0,,374424.0,,0
35.0,U. Georgia,374264.0,,0.0,,374264.0,,0
36.0,U. Southern California,340311.0,,350720.0,,691031.0,,0
37.0,Washington State U.,333134.0,,0.0,,333134.0,,0
38.0,Rockefeller U.,323932.0,,0.0,,323932.0,,0
39.0,"Colorado State U., Fort Collins",317219.0,,0.0,,317219.0,,0
40.0,"U. South Florida, Tampa",315737.0,,169617.0,,485354.0,,0
41.0,Iowa State U.,306125.0,,0.0,,306125.0,,0
42.0,U. Utah,298410.0,,220518.0,,518928.0,,0
43.0,"SUNY, Polytechnic Institute",295313.0,,0.0,,295313.0,,0
44.0,"U. Hawaii, Manoa",287170.0,,29327.0,,316497.0,,0
45.0,"U. Nebraska, Lincoln",284438.0,,0.0,,284438.0,,0
46.0,"Louisiana State U., Baton Rouge",281154.0,,0.0,,281154.0,,0
47.0,Princeton U.,279851.0,,0.0,,279851.0,,0
48.0,U. Pennsylvania,262703.0,,601365.0,,864068.0,,0
49.0,Brown U.,259953.0,,82087.0,,342040.0,,0
50.0,Vanderbilt U.,251773.0,,396043.0,,647816.0,,0
51.0,Boston U.,248310.0,,140026.0,,388336.0,,0
52.0,Florida State U.,246589.0,,9860.0,,256449.0,,0
53.0,Oregon State U.,245317.0,,0.0,,245317.0,,0
54.0,Emory U.,244532.0,,340678.0,,585210.0,,0
55.0,New York U.,244515.0,,357526.0,,602041.0,,0
56.0,Carnegie Mellon U.,242004.0,,0.0,,242004.0,,0
57.0,"U. Pittsburgh, Pittsburgh",240100.0,,621105.0,,861205.0,,0
58.0,"U. California, San Francisco",232957.0,,893663.0,,1126620.0,,0
59.0,Mississippi State U.,226359.0,,0.0,,226359.0,,0
60.0,"U. California, Santa Barbara",222870.0,,0.0,,222870.0,,0
61.0,"U. Missouri, Columbia",222677.0,,24007.0,,246684.0,,0
62.0,Duke U.,218423.0,,818275.0,,1036698.0,,0
63.0,Woods Hole Oceanographic Institution,216592.0,,0.0,,216592.0,,0
64.0,U. Central Florida,214843.0,,676.0,,215519.0,,0
65.0,"U. Massachusetts, Amherst",213902.0,,0.0,,213902.0,,0
66.0,U. Iowa,208523.0,,234695.0,,443218.0,,0
67.0,U. Kentucky,204321.0,,127384.0,,331705.0,,0
68.0,George Washington U.,203497.0,,37620.0,,241117.0,,0
69.0,"U. California, Irvine",198226.0,,131572.0,,329798.0,,0
70.0,"Indiana U., Bloomington",198150.0,,286926.0,,485076.0,,0
71.0,"U. Illinois, Chicago",197118.0,,157442.0,,354560.0,,0
72.0,"U. South Carolina, Columbia",196536.0,,12200.0,,208736.0,,0
73.0,"SUNY, U. Buffalo",193651.0,,189284.0,,382935.0,,0
74.0,U. Kansas,192766.0,,118617.0,,311383.0,,0
75.0,U. Notre Dame,190954.0,,0.0,,190954.0,,0
76.0,Yale U.,190234.0,,612770.0,,803004.0,,0
77.0,Kansas State U.,188721.0,,0.0,,188721.0,,0
78.0,U. Delaware,175724.0,,0.0,,175724.0,,0
79.0,Utah State U.,175353.0,,0.0,,175353.0,,0
80.0,"U. Tennessee, Knoxville",173533.0,,0.0,,173533.0,,0
81.0,Clemson U.,171215.0,,0.0,,171215.0,,0
82.0,"U. Alabama, Birmingham",171174.0,,345055.0,,516229.0,,0
83.0,U. Connecticut,165959.0,,93438.0,,259397.0,,0
84.0,Texas Tech U.,163897.0,,0.0,,163897.0,,0
85.0,"U. Virginia, Charlottesville",154425.0,,218793.0,,373218.0,,0
86.0,Florida International U.,154243.0,,8790.0,,163033.0,,0
87.0,North Dakota State U.,153542.0,,0.0,,153542.0,,0
88.0,"U. California, Santa Cruz",151713.0,,0.0,,151713.0,,0
89.0,U. Houston,150628.0,,0.0,,150628.0,,0
90.0,"U. Oklahoma, Norman and Health Science Center",150026.0,,92341.0,,242367.0,,0
91.0,Northwestern U.,146345.0,,509822.0,,656167.0,,0
92.0,U. Chicago,146054.0,,275007.0,,421061.0,,0
93.0,U. New Hampshire,144735.0,,0.0,,144735.0,,0
94.0,Rice U.,144679.0,,0.0,,144679.0,,0
95.0,"U. Alaska, Fairbanks",142742.0,,0.0,,142742.0,,0
96.0,Oregon Health and Science U.,142283.0,,184632.0,,326915.0,,0
97.0,Temple U.,142157.0,,85311.0,,227468.0,,0
98.0,West Virginia U.,141783.0,,28362.0,,170145.0,,0
99.0,Georgia State U.,139596.0,,0.0,,139596.0,,0
100.0,U. New Mexico,138931.0,,93340.0,,232271.0,,0
101.0,"U. California, Riverside",138775.0,,5736.0,,144511.0,,0
102.0,"Auburn U., Auburn",135899.0,,0.0,,135899.0,,0
103.0,"U. Arkansas, Fayetteville",133660.0,,0.0,,133660.0,,0
104.0,New Mexico State U.,132377.0,,0.0,,132377.0,,0
105.0,"Oklahoma State U., Stillwater",129968.0,,0.0,,129968.0,,0
106.0,U. Miami,127361.0,,238213.0,,365574.0,,0
107.0,U. Rochester,125058.0,,221874.0,,346932.0,,0
108.0,"SUNY, Stony Brook U.",124600.0,,95980.0,,220580.0,,0
109.0,Northeastern U.,122915.0,,0.0,,122915.0,,0
110.0,Virginia Commonwealth U.,118483.0,,100442.0,,218925.0,,0
111.0,Tufts U.,117822.0,,50492.0,,168314.0,,0
112.0,"SUNY, U. Albany",111705.0,,0.0,,111705.0,,0
113.0,New Jersey Institute of Technology,110512.0,,0.0,,110512.0,,0
114.0,"Montana State U., Bozeman",108414.0,,0.0,,108414.0,,0
115.0,U. Colorado Denver and Anschutz Medical Campus,107520.0,,302561.0,,410081.0,,0
116.0,George Mason U.,106410.0,,0.0,,106410.0,,0
117.0,"U. Texas Health Science Center, Houston",103450.0,,130849.0,,234299.0,,0
118.0,Rensselaer Polytechnic Institute,102841.0,,0.0,,102841.0,,0
119.0,Tulane U.,101777.0,,50881.0,,152658.0,,0
120.0,"U. Texas, Dallas",98551.0,,0.0,,98551.0,,0
121.0,U. Cincinnati,98196.0,,337832.0,,436028.0,,0
122.0,U. Dayton,98182.0,,0.0,,98182.0,,0
123.0,U. Idaho,97493.0,,0.0,,97493.0,,0
124.0,U. Rhode Island,93828.0,,0.0,,93828.0,,0
125.0,San Diego State U.,93572.0,,0.0,,93572.0,,0
126.0,"U. Texas, El Paso",89418.0,,0.0,,89418.0,,0
127.0,Naval Postgraduate School,89170.0,,0.0,,89170.0,,0
128.0,Case Western Reserve U.,88717.0,,312810.0,,401527.0,,0
129.0,"U. Alabama, Huntsville",88439.0,,0.0,,88439.0,,0
130.0,"Washington U., Saint Louis",84714.0,,609355.0,,694069.0,,0
131.0,Cold Spring Harbor Laboratory,84653.0,,0.0,,84653.0,,0
132.0,Drexel U.,80660.0,,47367.0,,128027.0,,0
133.0,"SUNY, Binghamton U.",79895.0,,0.0,,79895.0,,0
134.0,U. Oregon,79698.0,,0.0,,79698.0,,0
135.0,U. Maine,79500.0,,0.0,,79500.0,,0
136.0,"U. Texas, Arlington",77798.0,,0.0,,77798.0,,0
137.0,"U. Louisiana, Lafayette",77300.0,,0.0,,77300.0,,0
138.0,Wayne State U.,74876.0,,139002.0,,213878.0,,0
139.0,Brandeis U.,74700.0,,0.0,,74700.0,,0
140.0,"U. Massachusetts, Lowell",70384.0,,0.0,,70384.0,,0
141.0,Syracuse U.,69896.0,,0.0,,69896.0,,0
142.0,Michigan Technological U.,69607.0,,0.0,,69607.0,,0
143.0,"U. Nevada, Reno",69571.0,,20567.0,,90138.0,,0
