Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17,2015.1,Unnamed: 19,shift
All institutions,1822318,,2068518,,1927125,,1963572,,1360430,,1552301,,1389883,,1420628,,,,,-1
1.0,Johns Hopkins U.a,96331,i,107516,i,117178,i,123653.0,i,90806,,102719,,112544,,117126.0,,,,0
2.0,"U. Illinois, Urbana-Champaign",93722,,224941,,99611,,109661.0,,72010,,188085,,75491,,78506.0,,,,0
3.0,Georgia Institute of Technology,86061,,100747,,98562,,106675.0,,66408,,78398,,73372,,80409.0,,,,0
4.0,Carnegie Mellon U.,109069,,124962,,110795,,103328.0,,95071,,101598,,90710,,82868.0,,,,0
5.0,U. Southern California,99828,,102538,,98832,,92058.0,,95438,,97694,,90985,,84298.0,,,,0
6.0,Massachusetts Institute of Technology,58932,,68138,,76633,,76428.0,,37146,,46744,,50174,,46239.0,,,,0
7.0,"U. Texas, Austin",64639,,90972,,59311,,68999.0,,51173,,79773,,50981,,60781.0,,,,0
8.0,"Pennsylvania State U., University Park and Hershey Medical Center",39534,,56267,,52372,,55400.0,,34877,,50593,,46692,,49354.0,,,,0
9.0,"U. Maryland, College Park",45399,,38053,,36838,,40010.0,,31209,,28354,,23655,,25529.0,,,,0
10.0,"U. California, San Diego",48703,,37929,,34501,,39791.0,,25486,,17755,,14187,,25139.0,,,,0
11.0,U. Utah,23463,,28992,,31500,,30756.0,,15420,,19934,,22882,,21908.0,,,,0
12.0,"Indiana U., Bloomington",17055,,24010,,28934,,27418.0,,9879,,15183,,18090,,20066.0,,,,0
13.0,Virginia Polytechnic Institute and State U.,12914,,19897,,21151,,24646.0,,5356,,10588,,10766,,13496.0,,,,0
14.0,"U. Alabama, Huntsville",21689,,25767,,22533,,24366.0,,21105,,23852,,21401,,22729.0,,,,0
15.0,Columbia U. in the City of New York,21261,,17385,,24548,,22684.0,,16822,,16276,,19528,,18375.0,,,,0
16.0,U. Wisconsin-Madison,22368,,22366,,21284,,22416.0,,16899,,16298,,15147,,16093.0,,,,0
17.0,"U. Tennessee, Knoxville",25476,,31816,,27808,,22210.0,,21538,,19920,,21888,,17162.0,,,,0
18.0,U. Chicago,31354,,19676,,20217,,22185.0,,30256,,18462,,17571,,19608.0,,,,0
19.0,"U. Hawaii, Manoa",20456,,22378,,17555,,22000.0,,19070,,22109,,16551,,20834.0,,,,0
20.0,Ohio State U.,33704,,29977,,26820,,21449.0,,9478,,12399,,9208,,8831.0,,,,0
21.0,Stanford U.,21031,,24841,,24788,,20349.0,,16957,,19292,,19677,,17134.0,,,,0
22.0,U. Central Florida,409,,1099,,12988,,20058.0,,281,,359,,9825,,16767.0,,,,0
23.0,"Purdue U., West Lafayette",21381,,22175,,21108,,19824.0,,15067,,16677,,15028,,13718.0,,,,0
24.0,Cornell U.,19222,,23138,,19179,,19462.0,,16222,,18168,,13506,,13530.0,,,,0
25.0,"U. Massachusetts, Amherst",18798,,18661,,18447,,19313.0,,12617,,12797,,13028,,13371.0,,,,0
26.0,"U. Washington, Seattle",9830,,15774,,18988,,18954.0,,4525,,11819,,14170,,13177.0,,,,0
27.0,"U. North Carolina, Chapel Hill",14607,,22587,,23145,,17225.0,,12191,,13557,,14062,,14324.0,,,,0
28.0,"U. California, Los Angeles",16333,,17795,,15970,,16731.0,,10572,,11154,,9745,,9561.0,,,,0
29.0,"U. Minnesota, Twin Cities",15120,,15943,,15447,,15498.0,,9882,,10573,,10674,,10871.0,,,,0
30.0,Brown U.,11327,,11641,,11845,i,15387.0,i,5316,,4910,,4229,,5686.0,,,,0
31.0,Arizona State U.,10269,,10539,,12516,,15193.0,,6880,,7542,,8366,,10344.0,,,,0
32.0,North Carolina State U.,11073,,12031,,12695,,14218.0,,8568,,8945,,10256,,11622.0,,,,0
33.0,"U. Alabama, Tuscaloosa",8889,,10692,,11756,,14145.0,,3655,,5153,,5854,,6934.0,,,,0
34.0,U. Pennsylvania,16562,,18373,,15453,,13751.0,,14660,,16089,,13804,,12081.0,,,,0
35.0,"SUNY, U. Buffalo",15975,,14032,,13402,,13215.0,,9894,,8255,,6804,,6135.0,,,,0
36.0,"U. California, Irvine",14278,,14687,,13891,,13204.0,,9052,,8980,,7064,,7310.0,,,,0
37.0,New York U.,7436,,6147,,12446,,13123.0,,6371,,5324,,8530,,9746.0,,,,0
38.0,George Mason U.,10646,,11361,,11988,,12781.0,,9953,,10604,,11153,,11667.0,,,,0
39.0,Florida International U.,7240,,8111,,10975,,12227.0,,4218,,4414,,6645,,5342.0,,,,0
40.0,Princeton U.,12263,,14774,,11856,,11508.0,,9320,,8028,,8041,,6957.0,,,,0
41.0,Michigan State U.,10721,,9859,,12124,,11478.0,,6566,,6242,,6315,,6365.0,,,,0
42.0,"Texas A&M U., College Station and Health Science Center",8224,,9368,,8686,,11444.0,,4573,,5484,,5053,,7151.0,,,,0
43.0,Rensselaer Polytechnic Institute,7795,,9431,,9103,,10392.0,,5885,,7453,,6010,,7075.0,,,,0
44.0,"U. Illinois, Chicago",10953,,12027,,10533,,10225.0,,7198,,7721,,6281,,5985.0,,,,0
45.0,"SUNY, Stony Brook U.",7366,,7194,,6879,,10219.0,,6398,,5834,,5001,,6421.0,,,,0
46.0,Northeastern U.,7394,,8380,,8708,,10062.0,,6248,,7096,,7792,,8628.0,,,,0
47.0,"U. California, Santa Barbara",13479,,10060,,12482,,9989.0,,5680,,6986,,7085,,7339.0,,,,0
48.0,Rice U.,9098,,8148,,8680,,9717.0,,7373,,6595,,6737,,7939.0,,,,0
49.0,Mississippi State U.,10003,,7113,,5739,,9534.0,,6089,,4160,,3047,,6270.0,,,,0
50.0,"Rutgers, State U. New Jersey, New Brunswick",6979,,10487,,17097,,8820.0,,4883,,6602,,9560,,5937.0,,,,0
51.0,U. Florida,6442,,5921,,4426,,8648.0,,4858,,4014,,3632,,5015.0,,,,0
52.0,Yale U.,6432,,13443,,9508,,8220.0,,5414,,6194,,6578,,5070.0,,,,0
53.0,"U. Louisiana, Lafayette",9377,,8376,,11301,,8219.0,,1409,,1546,,2796,,4130.0,,,,0
54.0,"U. California, Davis",9158,,9411,,8155,,8007.0,,6522,,7060,,6058,,6299.0,,,,0
55.0,Oregon State U.,3608,,5666,,6528,,7865.0,,3325,,4830,,5502,,6659.0,,,,0
55.0,U. Colorado Boulder,13339,,11391,,8191,,7865.0,,12866,,11022,,8004,,7140.0,,,,0
57.0,U. Notre Dame,6026,,6754,,6892,,7817.0,,4186,,3451,,3347,,3735.0,,,,0
58.0,Rockefeller U.,6361,,6211,,6211,,7667.0,,0,,0,,0,,0.0,,,,0
59.0,"U. Michigan, Ann Arbor",5674,,6755,,9123,,7631.0,,4182,,5103,,6281,,4354.0,,,,0
60.0,"U. Maryland, Baltimore County",6728,,6483,,6328,,7620.0,,5738,,5354,,5593,,6586.0,,,,0
61.0,"SUNY, U. Albany",5182,,5949,,6624,,7617.0,,3948,,4586,,5090,,5693.0,,,,0
62.0,"U. Texas, Dallas",6681,,8334,,7719,,7490.0,,4444,,5071,,5224,,4038.0,,,,0
63.0,U. Arizona,9227,,9664,,8587,,7292.0,,8439,,8248,,7094,,6299.0,,,,0
64.0,"U. Nebraska, Lincoln",8145,,5264,,10559,,7266.0,,4141,,3107,,5165,,3988.0,,,,0
65.0,"U. California, Berkeley",0,,1322,,5567,,7014.0,,0,,0,,50,,55.0,,,,0
66.0,"U. Pittsburgh, Pittsburgh",6951,,6800,,6769,,6745.0,,4632,,4453,,4136,,4280.0,,,,0
67.0,"U. Virginia, Charlottesville",7815,,6872,,6461,,6623.0,,6475,,5723,,5150,,5163.0,,,,0
68.0,"U. South Florida, Tampa",2359,,5573,,6636,,6575.0,,1387,,1443,,1339,,1293.0,,,,0
69.0,George Washington U.,3061,,5168,,5594,,6508.0,,2277,,3142,,3098,,3905.0,,,,0
70.0,Florida State U.,5670,,6548,,5727,,6293.0,,3773,,3497,,3796,,2920.0,,,,0
71.0,"U. Texas, El Paso",8119,,7436,,6616,,6097.0,,6879,,5542,,4723,,4622.0,,,,0
72.0,Duke U.,5214,,5188,,4639,,5693.0,,4365,,4261,,4107,,5237.0,,,,0
73.0,U. Houston,7273,,5405,,5019,,5682.0,,3978,,2834,,2156,,2467.0,,,,0
74.0,New Jersey Institute of Technology,3923,,5100,,5132,,5641.0,,794,,727,,727,,1144.0,,,,0
75.0,Clemson U.,5098,,8288,,8879,,5608.0,,2599,,5134,,5466,,2818.0,,,,0
75.0,Drexel U.,3275,,5713,,6480,,5608.0,,2406,,4643,,4882,,4000.0,,,,0
77.0,Harvard U.,895,,1224,,1787,,5603.0,,768,,936,,1305,,4854.0,,,,0
78.0,Washington State U.,412,,1391,,6226,i,5201.0,,104,,91,,856,,2494.0,,,,0
79.0,"U. North Carolina, Charlotte",6053,,5407,,5253,,5091.0,,5315,,4880,,4746,,4584.0,,,,0
80.0,"SUNY, Binghamton U.",5185,,4833,,5199,,4998.0,,1647,,1652,,1562,,1300.0,,,,0
81.0,DePaul U.,1596,,1479,,2078,,4995.0,,1411,,1289,,1783,,1703.0,,,,0
82.0,U. Delaware,5991,,5619,,5542,,4930.0,,4845,,4485,,4492,,4270.0,,,,0
83.0,Worcester Polytechnic Institute,3231,,3664,,4605,,4924.0,,2377,,2987,,4014,,4248.0,,,,0
84.0,Naval Postgraduate School,16202,,13262,,11634,,4918.0,,15925,,12777,,11360,,4540.0,,,,0
85.0,"U. North Texas, Denton",3101,,3210,,5002,,4856.0,,1341,,1855,,2816,,2445.0,,,,0
86.0,Kansas State U.,3796,,4170,,4442,,4803.0,,2983,,2636,,2869,,3114.0,,,,0
