Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All environmental sciences,Unnamed: 10,Atmospheric sciences,Unnamed: 12,Earth sciences,Unnamed: 14,Oceanography,Unnamed: 16,"Environmental sciences, nec"
,All institutions,3172919,,3195421,,3230001,,3249068,,576460,,1110057,,1051652,,510899,
1.0,"U. California, San Diego",149669,,165376,,181434,,169678,,22947,,35276,,111455,,0,
2.0,Woods Hole Oceanographic Institution,153685,,139428,,141788,,130315,,0,,0,,130315,,0,
3.0,U. Colorado Boulder,97316,,94826,,96539,,128421,,101233,,14405,,678,,12105,
4.0,"Colorado State U., Fort Collins",136976,,99295,,107032,,120232,,39077,,76494,,0,,4661,
5.0,"Texas A&M U., College Station and Health Science Center",106883,,128322,,123796,,113175,,5704,,14467,,79993,,13011,
6.0,Columbia U. in the City of New York,92143,,115408,,115826,,112052,,19257,,32789,,43810,,16196,
7.0,"U. Washington, Seattle",161274,,114222,,112403,,111208,,45128,,7123,,55665,,3292,
8.0,"U. Hawaii, Manoa",78775,,88330,,85355,,89563,,4247,,23547,,58799,,2970,
9.0,"U. Texas, Austin",66811,,72067,,68589,,71843,,0,,60245,,10260,,1338,
10.0,U. Miami,55139,,55796,,64103,,63293,,46175,,102,,14628,,2388,
11.0,"U. Alaska, Fairbanks",59597,,58322,,75267,,63289,,6394,,27301,,23613,,5981,
12.0,Massachusetts Institute of Technology,42606,,51264,,56763,,59351,,10441,,18371,,8260,,22279,
13.0,"Pennsylvania State U., University Park and Hershey Medical Center",53605,,51449,,59370,,54902,,21533,,27304,,6065,,0,
14.0,U. New Hampshire,65215,,61051,,58766,,53596,,21556,,14333,,17707,,0,
15.0,U. Wisconsin-Madison,48186,,49364,,48810,,50144,,28589,,8769,,4232,,8554,
16.0,"U. Maryland, Center for Environmental Science",48224,,53683,,50814,,48363,,430,,5658,,41858,,417,
17.0,Oregon State U.,51768,,46535,,46468,,43631,,3247,,6371,,21084,,12929,
