Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All physical sciences,Unnamed: 10,Astronomy,Unnamed: 12,Chemistry,Unnamed: 14,Physics,Unnamed: 16,"Physical sciences, nec"
,All institutions,4709976,,4646802,,4616558,,4711297,,672838,,1758127,,2052860,,227472,
1.0,"U. California, Berkeley",93216,,90346,,120047,,169149,,114051,,31324,,20320,,3454,
2.0,U. Arizona,179182,,186349,,164784,,167875,,131350,,12932,,23593,,0,
3.0,Johns Hopkins U.a,166713,i,179519,i,191456,i,167009,i,27879,i,21871,i,97805,i,19454,i
4.0,California Institute of Technology,229670,i,202125,i,210234,,164339,,39943,,40577,,83819,,0,
5.0,Michigan State U.,91204,,100521,,119461,,132049,,0,,9126,,122923,,0,
6.0,"U. Texas, Austin",93305,,86197,,82699,,130105,,59011,,19934,,50124,,1036,
7.0,Massachusetts Institute of Technology,114500,,107399,,107134,,119516,,34508,,24143,,51854,,9011,
8.0,Cornell U.,98460,,104856,,110963,,105562,,12223,,21596,,67962,,3781,
9.0,Stanford U.,93156,,101122,,90544,,96039,,0,,21619,,8271,,66149,
10.0,"U. Maryland, College Park",104428,,95244,,85573,,91974,,24521,,11774,,55096,,583,
11.0,U. Colorado Boulder,93929,,91830,,94410,,82039,,13600,,22995,,43349,,2095,
12.0,U. Wisconsin-Madison,85285,,81295,,71503,,73139,,6193,,23673,,28531,,14742,
13.0,Harvard U.,66036,,77203,,67753,,72929,,11337,,32068,,28073,,1451,
14.0,"U. California, San Diego",64399,,66614,,70812,,71434,,0,,34573,,36065,,796,
15.0,Princeton U.,48271,,58339,,70098,,69410,,8620,,24018,,36772,,0,
16.0,"U. Illinois, Urbana-Champaign",62345,,60210,,65359,,67182,,3701,,32678,,30803,,0,
17.0,Florida State U.,65891,,71387,,73918,,64275,,12,,19396,,44613,,254,
18.0,"U. California, Los Angeles",75534,,66097,,54623,,58445,,0,,16327,,40301,,1817,
19.0,"Texas A&M U., College Station and Health Science Center",45463,,45768,,45493,,53824,,1646,,28293,,18750,,5135,
20.0,"U. Michigan, Ann Arbor",50310,,49588,,52496,,52449,,5132,,24714,,22603,,0,
21.0,U. Chicago,58668,,56485,,54449,,52019,,16220,,17195,,13705,,4899,
22.0,"Pennsylvania State U., University Park and Hershey Medical Center",62077,,56482,,51811,,51598,,10696,,18141,,22761,,0,
23.0,"U. California, San Francisco",14192,,11858,,31272,,50985,,0,,50957,,28,,0,
24.0,Georgia Institute of Technology,51432,,56660,,50518,,47279,,0,,28610,,18669,,0,
25.0,"U. Washington, Seattle",49507,,45294,,45040,,46940,,8147,,20420,,18373,,0,
26.0,Columbia U. in the City of New York,46859,,42358,,39586,,46022,,8631,,11298,,26093,,0,
27.0,Yale U.,31633,,40795,,42760,,45565,,6277,,22674,,16614,,0,
28.0,Washington State U.,19859,,22262,,26015,i,43737,,255,,10312,,27556,,5614,
29.0,Northwestern U.,44884,,46695,,42499,,43551,,0,,34334,,7521,,1696,
30.0,"Rutgers, State U. New Jersey, New Brunswick",52319,,46195,,48127,,43460,,920,,23254,,17290,,1996,
31.0,Vanderbilt U.,24926,,25026,,29773,,42365,,0,,28687,,13678,,0,
32.0,Ohio State U.,34256,,31990,,35413,,41311,,2303,,20443,,18287,,278,
33.0,"U. Minnesota, Twin Cities",37258,,45720,,46377,,40497,,2117,,19700,,18680,,0,
34.0,U. Notre Dame,37572,,37832,,39593,,39464,,0,,23201,,16263,,0,
35.0,"U. California, Santa Barbara",40195,,43333,,42284,,37981,,2301,,9269,,25565,,846,
36.0,"U. California, Irvine",39731,,38331,,35260,,35628,,0,,22280,,13348,,0,
