Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17
,All institutions,1985828,,2097064,,2056085,,2052860,,1532612,,1567937,,1509928,,1467687,
1.0,Michigan State U.,81441,,87308,,110915,,122923,,52879,,52638,,71797,,81095,
2.0,Johns Hopkins U.a,85201,i,95183,i,107003,i,97805,i,81436,,90092,,100962,,91712,
3.0,California Institute of Technology,52987,i,150043,i,143637,,83819,,42383,,138815,,129626,,75635,
4.0,Cornell U.,39398,,44107,,47840,,67962,,36597,,35959,,43299,,56813,
5.0,"U. Maryland, College Park",68427,,62112,,50345,,55096,,52933,,46885,,35718,,39798,
6.0,Massachusetts Institute of Technology,59670,,55135,,52226,,51854,,53987,,48425,,46053,,42408,
7.0,"U. Texas, Austin",47692,,46290,,47140,,50124,,39981,,37742,,39268,,41267,
8.0,Florida State U.,52503,,57367,,57233,,44613,,26768,,27853,,25942,,20634,
9.0,U. Colorado Boulder,32061,,35367,,38424,,43349,,28797,,30850,,32712,,37316,
10.0,"U. California, Los Angeles",55033,,45413,,38446,,40301,,42765,,32147,,28060,,28175,
11.0,Princeton U.,23839,,34528,,36866,,36772,,17060,,23056,,22932,,24019,
12.0,"U. California, San Diego",34842,,33540,,34221,,36065,,26929,,23465,,21984,,21614,
13.0,"U. Illinois, Urbana-Champaign",30126,,28297,,30233,,30803,,24590,,21724,,21529,,21623,
14.0,U. Wisconsin-Madison,37337,,33093,,30135,,28531,,31398,,26459,,25348,,23456,
15.0,U. Central Florida,15368,,18531,,22472,,28273,,10754,,11342,,12590,,17445,
16.0,Harvard U.,25181,,29481,,25304,,28073,,23090,,19441,,17550,,19255,
17.0,Washington State U.,11937,,12170,,14955,i,27556,,9773,,9382,,11166,,9036,
18.0,Columbia U. in the City of New York,27132,,22870,,21920,,26093,,26008,,21573,,19569,,21725,
19.0,"U. California, Santa Barbara",24559,,29616,,23505,,25565,,19266,,21382,,12940,,15775,
20.0,U. Arizona,26239,,30142,,24942,,23593,,17519,,21111,,17077,,16138,
21.0,"Pennsylvania State U., University Park and Hershey Medical Center",31133,,28851,,24322,,22761,,25242,,22889,,18517,,16560,
22.0,"U. Michigan, Ann Arbor",20548,,20295,,21189,,22603,,13091,,13020,,13322,,13903,
23.0,Boston U.,19731,,15275,,21036,,20456,,17528,,11804,,15722,,13975,
24.0,"U. California, Berkeley",18879,,17500,,18028,,20320,,14295,,12601,,12256,,12597,
25.0,"Texas A&M U., College Station and Health Science Center",20853,,20022,,17113,,18750,,12894,,11128,,7703,,8260,
26.0,"U. Minnesota, Twin Cities",21979,,27225,,24999,,18680,,17613,,22237,,20226,,14523,
27.0,Georgia Institute of Technology,16461,,18700,,17848,,18669,,12028,,13443,,13317,,14299,
