Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All social sciences,Unnamed: 10,Economics,Unnamed: 12,Political science,Unnamed: 14,Sociology,Unnamed: 16,"Social sciences, nec",Unnamed: 18,shift
All institutions,2053639,,2173148,,2215748,,2321892,,461574,,460196,,524867,,875255,,,,-1
1.0,"U. Michigan, Ann Arbor",153279,,157990,,149442,,149805.0,,32144.0,,23457.0,,28126.0,,66078.0,,,0
2.0,Harvard U.,47182,,83825,,64713,,97165.0,,8400.0,,51126.0,,1366.0,,36273.0,,,0
3.0,"U. North Carolina, Chapel Hill",84837,,93515,,94306,,88667.0,,573.0,,5078.0,,69202.0,,13814.0,,,0
4.0,"U. Maryland, College Park",87641,,84186,,93496,,76855.0,,1633.0,,7700.0,,6146.0,,61376.0,,,0
5.0,Arizona State U.,35223,,41366,,50746,,62729.0,,5293.0,,17238.0,,20809.0,,19389.0,,,0
6.0,"U. California, Berkeley",43292,,48318,,52023,,52303.0,,27059.0,,4609.0,,4551.0,,16084.0,,,0
7.0,U. Wisconsin-Madison,51313,,45731,,49188,,45158.0,,7961.0,,4089.0,,10980.0,,22128.0,,,0
8.0,Cornell U.,28813,,34466,,37480,,41127.0,,21703.0,,733.0,,16644.0,,2047.0,,,0
9.0,Michigan State U.,34601,,34101,,32907,,39171.0,,21923.0,,2636.0,,3470.0,,11142.0,,,0
10.0,"Rutgers, State U. New Jersey, New Brunswick",38782,,58636,,49107,,38668.0,,2264.0,,4306.0,,2921.0,,29177.0,,,0
11.0,"Pennsylvania State U., University Park and Hershey Medical Center",27422,,27684,,34659,,37747.0,,3008.0,,4683.0,,30056.0,,0.0,,,0
12.0,"U. California, Los Angeles",33654,,40452,,35182,,36206.0,,340.0,,1466.0,,5090.0,,29310.0,,,0
13.0,"U. Minnesota, Twin Cities",29866,,33061,,33191,,35718.0,,6903.0,,7779.0,,17859.0,,3177.0,,,0
14.0,"Indiana U., Bloomington",30759,,29449,,29396,,32235.0,,2679.0,,10582.0,,5356.0,,13618.0,,,0
15.0,U. Southern California,15911,,22835,,26657,,27941.0,,9255.0,,839.0,,1752.0,,16095.0,,,0
16.0,"U. California, Davis",25931,,23813,,23559,,26728.0,,11087.0,,1298.0,,1214.0,,13129.0,,,0
17.0,"U. South Florida, Tampa",8632,,8037,,24257,,26006.0,,822.0,,851.0,,4626.0,,19707.0,,,0
18.0,U. Pennsylvania,20183,,23945,,24786,,25956.0,,1242.0,,4512.0,,5378.0,,14824.0,,,0
19.0,Duke U.,21499,,21251,,23453,,25672.0,,5641.0,,11543.0,,6031.0,,2457.0,,,0
20.0,George Mason U.,23063,,23916,,26673,,25335.0,,15461.0,,3011.0,,1429.0,,5434.0,,,0
21.0,Brown U.,17215,,15463,,17243,i,25252.0,i,7478.0,i,2649.0,i,3840.0,i,11285.0,i,,0
22.0,Mississippi State U.,20529,,23508,,22546,,25207.0,,1483.0,,655.0,,1549.0,,21520.0,,,0
23.0,U. Chicago,2796,,14927,,20044,,24650.0,,5168.0,,2874.0,,1651.0,,14957.0,,,0
24.0,Princeton U.,24701,,24443,,27603,,24524.0,,1315.0,,21285.0,,1222.0,,702.0,,,0
25.0,"Purdue U., West Lafayette",30134,,25159,,22446,,24246.0,,12016.0,,582.0,,9688.0,,1960.0,,,0
26.0,Massachusetts Institute of Technology,15227,,16580,,21542,,24159.0,,14939.0,,2466.0,,0.0,,6754.0,,,0
27.0,Brandeis U.,17526,,17816,,21705,i,22872.0,i,38.0,i,302.0,i,22532.0,i,0.0,i,,0
28.0,U. Arizona,23138,,21984,,22303,,22698.0,,6675.0,,2746.0,,7330.0,,5947.0,,,0
29.0,"U. Illinois, Urbana-Champaign",10540,,18473,,17432,,21340.0,,8438.0,,6525.0,,1090.0,,5287.0,,,0
30.0,George Washington U.,29100,,25111,,22066,,20534.0,,2207.0,,11634.0,,2091.0,,4602.0,,,0
31.0,Washington State U.,30674,,24058,,14162,i,20322.0,,7700.0,,682.0,,1677.0,,10263.0,,,0
32.0,New York U.,8008,,10878,,12952,,20193.0,,904.0,,4772.0,,1121.0,,13396.0,,,0
33.0,Ohio State U.,20030,,19784,,18106,,20138.0,,4416.0,,4104.0,,3461.0,,8157.0,,,0
34.0,"Texas A&M U., College Station and Health Science Center",10024,,13425,,17125,,19796.0,,1899.0,,4534.0,,1465.0,,11898.0,,,0
35.0,Northwestern U.,13366,,16386,,18806,,19787.0,,1797.0,,14427.0,,1842.0,,1721.0,,,0
36.0,U. Georgia,17577,,17605,,17153,,19553.0,,5716.0,,4958.0,,3799.0,,5080.0,,,0
37.0,Georgetown U.,15778,,16470,,19454,,19086.0,,15.0,,17989.0,,167.0,,915.0,,,0
38.0,"U. California, San Diego",14807,,17421,,17809,,17581.0,,2088.0,,11012.0,,3103.0,,1378.0,,,0
39.0,North Dakota State U.,13761,,14883,,15425,,16906.0,,4748.0,,370.0,,785.0,,11003.0,,,0
40.0,U. Florida,18075,,13818,,12981,,16428.0,,4726.0,,339.0,,2943.0,,8420.0,,,0
41.0,Stanford U.,19141,,21511,,16777,,16111.0,,2600.0,,223.0,,11016.0,,2272.0,,,0
42.0,U. Central Florida,3733,,3732,,14923,,15970.0,,7401.0,,2415.0,,2449.0,,3705.0,,,0
43.0,U. Delaware,8410,,11860,,14465,,15872.0,,2789.0,,27.0,,1864.0,,11192.0,,,0
44.0,"U. Oklahoma, Norman and Health Science Center",6743,,7291,,6891,,15493.0,,666.0,,2758.0,,525.0,,11544.0,,,0
45.0,"Columbia U., Teachers C.",12537,,11270,,11741,,14915.0,,11331.0,,0.0,,0.0,,3584.0,,,0
46.0,"U. Washington, Seattle",7363,,13729,,12341,,14591.0,,89.0,,6706.0,,6099.0,,1697.0,,,0
47.0,"U. Texas, Austin",18040,,16270,,14937,,14473.0,,373.0,,597.0,,8791.0,,4712.0,,,0
48.0,Texas Tech U.,12483,,15676,,15818,,14273.0,,4307.0,,780.0,,666.0,,8520.0,,,0
49.0,"U. Illinois, Chicago",10614,,11815,,12959,,14077.0,,464.0,,360.0,,467.0,,12786.0,,,0
