Rank,Institution,2013,Unnamed: 3,2014,Unnamed: 5,2015,All engineering,Unnamed: 8,Aeronautical and astronautical engineering,Unnamed: 10,Bioengineering and biomedical engineering,Unnamed: 12,Chemical engineering,Unnamed: 14,Civil engineering,Unnamed: 16,Electrical engineering,Unnamed: 18,Mechanical engineering,Unnamed: 20,Metallurgical and materials engineering,Unnamed: 22,"Engineering, nec  "
,All institutions,6499378,,6423386,,6455847,,516080,,606394,,462729,,570786,,1772453,,957792,,496449,,1073164,
1.0,Johns Hopkins U.a,846427,,903522,,954967,,81935,,34067,,10914,,17102,,445916,,145819,,10754,,208460,
2.0,Georgia Institute of Technology,362464,,363149,,390188,,41055,,21021,,22175,,14875,,184242,,84811,,16543,,5466,
3.0,Massachusetts Institute of Technology,224582,,214215,,217641,,15643,,56667,,14204,,7129,,35645,,24130,,16651,,47572,
4.0,"Pennsylvania State U., University Park and Hershey Medical Center",246100,,223559,,215629,,13166,,4196,,6141,,10074,,76027,,60118,,45907,,0,
5.0,"U. Michigan, Ann Arbor",169484,,174530,,177975,,8405,,10398,,8422,,9401,,48837,,17985,,8927,,65600,
6.0,"U. Texas, Austin",119326,,121270,,124036,,10619,,4740,,18558,,5196,,33880,,4598,,12327,,34118,
7.0,"U. Washington, Seattle",94004,,97986,,97657,,5832,,21060,,6872,,9290,,24399,,5199,,4437,,20568,
8.0,"Purdue U., West Lafayette",119990,,106014,,95217,,10962,,6362,,6292,,15754,,26557,,11258,,2760,,15272,
9.0,"U. Illinois, Urbana-Champaign",103806,,105600,,94980,,5888,,4568,,3866,,16018,,32154,,12017,,12917,,7552,
10.0,Stanford U.,99464,,99915,,94297,,12482,,16144,,3583,,7584,,24447,,17956,,3090,,9011,
11.0,Virginia Polytechnic Institute and State U.,88451,,93842,,88097,,4108,,3366,,1583,,19884,,23029,,16659,,5233,,14235,
12.0,U. Wisconsin-Madison,82463,,96970,,86245,,0,,24829,,6097,,6484,,7852,,3380,,6829,,30774,
13.0,U. Colorado Boulder,72416,,68179,,79337,,34561,,1799,,14461,,11117,,8755,,7418,,0,,1226,
14.0,U. Rochester,83030,,76444,,78524,,0,,3851,,629,,0,,2419,,67242,,0,,4383,
15.0,Utah State U.,65987,,72740,,78303,,69832,,357,,0,,2699,,2564,,2447,,0,,404,
16.0,Woods Hole Oceanographic Institution,52885,,66853,,75538,,0,,0,,0,,0,,0,,0,,0,,75538,
17.0,U. Dayton,62946,,59665,,70530,,6857,,0,,4127,,1975,,5753,,1760,,36482,,13576,
18.0,"U. California, Berkeley",71703,,70618,,70191,,0,,0,,2298,,2324,,55973,,0,,0,,9596,
19.0,"U. Maryland, College Park",74909,,68007,,69378,,9193,,3501,,2952,,4732,,16808,,10245,,12365,,9582,
20.0,Duke U.,62722,,67173,,68947,,0,,19849,,0,,4049,,27669,,4898,,8677,,3805,
21.0,North Carolina State U.,59044,,61176,,67465,,2054,,3581,,8068,,4016,,22286,,4574,,9235,,13651,
22.0,Ohio State U.,69963,,69839,,66722,,4,,952,,4373,,2996,,17458,,24160,,10590,,6189,
23.0,Carnegie Mellon U.,72720,,69149,,65506,,2155,,3868,,4689,,4953,,16546,,6708,,6670,,19917,
24.0,"Texas A&M U., College Station and Health Science Center",74703,,72752,,65348,,5793,,7871,,3533,,15543,,7963,,4768,,1708,,18169,
25.0,"U. Minnesota, Twin Cities",53524,,55884,,63625,,6633,,13870,,11178,,6891,,10283,,11254,,0,,3516,
26.0,"U. California, San Diego",59086,,65001,,62771,,0,,21356,,0,,0,,29989,,7924,,0,,3502,
27.0,Cornell U.,61662,,59890,,60549,,92,,7534,,6187,,3376,,10919,,7133,,5512,,19796,
28.0,Arizona State U.,46594,,47620,,53395,,0,,5756,,2186,,4424,,33284,,0,,3759,,3986,
29.0,New Mexico State U.,61255,,55834,,50218,,6524,,821,,890,,1351,,2436,,816,,0,,37380,
30.0,"SUNY, U. Buffalo",57786,,54660,,49338,,70,,1939,,20208,,5500,,3677,,6233,,0,,11711,
31.0,Northwestern U.,56278,,57273,,49278,,0,,9112,,4807,,3496,,5225,,6875,,13073,,6690,
32.0,"U. California, Santa Barbara",57603,,50259,,48652,,0,,15522,,6889,,1,,11444,,3865,,10931,,0,
33.0,U. Florida,46988,,47166,,46690,,3378,,7699,,3123,,385,,9664,,8320,,5844,,8277,
34.0,Princeton U.,47900,,50626,,46280,,4316,,2873,,3866,,6574,,7211,,4529,,15703,,1208,
35.0,"U. California, Los Angeles",42541,,41440,,45457,,0,,4338,,7248,,1256,,14747,,8412,,5569,,3887,
