Rank,Institution,2013,Unnamed: 3,2014,Unnamed: 5,2015,All non-S&E fields,Unnamed: 8,Business and management,Unnamed: 10,"Communication, journalism, and library science",Unnamed: 12,Education,Unnamed: 14,Humanities,Unnamed: 16,Law,Unnamed: 18,Social work,Unnamed: 20,Visual and performing arts,Unnamed: 22,Other
,All institutions,1181597,,1135803,,1071796,,69936,,42475,,642799,,60031,,24444,,101927,,8609,,121575,
1.0,"U. Washington, Seattle",58570,,59321,,55195,,197,,5424,,33316,,1450,,3618,,11085,,105,,0,
2.0,Ohio State U.,31043,,38307,,39107,,376,,1961,,33703,,2085,,13,,826,,87,,56,
3.0,Stanford U.,27328,,29388,,30297,,314,,216,,28055,,1027,,685,,0,,0,,0,
4.0,U. Kansas,26464,,34256,,27461,,148,,7,,18230,,311,,121,,8644,,0,,0,
5.0,U. Wisconsin-Madison,22655,,26137,,26376,,969,,474,,22433,,888,,69,,64,,0,,1479,
6.0,"U. South Florida, Tampa",17973,,17635,,22123,,1737,,19,,18832,,172,,0,,53,,61,,1249,
7.0,Virginia Commonwealth U.,16511,,19052,,18782,,85,,81,,15650,,890,,0,,532,,26,,1518,
8.0,New York U.,17348,,15772,,17879,,281,,0,,11332,,283,,292,,5068,,110,,513,
9.0,"U. Virginia, Charlottesville",13516,,12958,,16725,,51,,0,,13385,,1551,,89,,0,,0,,1649,
10.0,Michigan State U.,14479,,13856,,16610,,668,,2395,,9788,,633,,0,,104,,68,,2954,
11.0,"U. Texas, Austin",19845,,18803,,14827,,1020,,1514,,6291,,146,,0,,3092,,0,,2764,
12.0,Harvard U.,18524,,17974,,14820,,0,,558,,13119,,283,,860,,0,,0,,0,
13.0,Columbia U. in the City of New York,16430,,17065,,14712,,1290,,315,,0,,4746,,137,,8224,,0,,0,
14.0,U. Pennsylvania,12650,,14281,,13829,,597,,5956,,4765,,270,,120,,1749,,372,,0,
15.0,Georgia State U.,9305,,12789,,13279,,449,,1098,,9045,,0,,422,,2255,,10,,0,
16.0,U. Oregon,13567,,11779,,13275,,86,,80,,11249,,168,,0,,0,,0,,1692,
17.0,Washington State U.,14408,,14387,,13262,,882,,1562,,9946,,141,,59,,618,,10,,44,
18.0,"U. Massachusetts, Boston",11453,,13171,,13189,,0,,0,,12882,,60,,0,,247,,0,,0,
19.0,U. Southern California,14105,,9543,,13122,,1134,,1491,,1928,,0,,379,,5984,,1722,,484,
20.0,"Texas A&M U., College Station and Health Science Center",11748,,13431,,12723,,306,,0,,11256,,752,,0,,0,,0,,409,
21.0,Old Dominion U.,9485,,10702,,12145,,149,,0,,11137,,104,,0,,0,,0,,755,
22.0,U. Colorado Boulder,10797,,12013,,11513,,1979,,47,,8933,,446,,90,,18,,0,,0,
23.0,Vanderbilt U.,12292,,13705,,11037,,233,,238,,10346,,66,,0,,0,,0,,154,
24.0,Florida A&M U.,11229,,11257,,10275,,666,,1813,,834,,14,,265,,0,,0,,6683,
25.0,U. West Florida,12281,,10710,,9874,,7627,,124,,2015,,2,,0,,61,,0,,45,
26.0,Arizona State U.,11297,,10144,,9638,,293,,85,,5150,,156,,556,,420,,0,,2978,
27.0,Temple U.,7108,,7911,,9554,,715,,58,,3612,,0,,422,,1374,,4,,3369,
28.0,George Mason U.,7942,,8102,,9487,,0,,117,,8745,,424,,0,,110,,0,,91,
29.0,Florida International U.,14499,,10015,,9235,,838,,169,,5846,,2158,,0,,224,,0,,0,
30.0,U. New Hampshire,9275,,11485,,8934,,672,,55,,6875,,90,,212,,1030,,0,,0,
31.0,"Purdue U., West Lafayette",12908,,9003,,8325,,444,,98,,1835,,332,,0,,0,,2,,5614,
32.0,U. Colorado Denver and Anschutz Medical Campus,6489,,7808,,8198,,162,,68,,6546,,134,,0,,121,,0,,1167,
33.0,"U. North Carolina, Chapel Hill",8610,,8731,,8184,,599,,1152,,148,,1150,,0,,568,,957,,3610,
34.0,Clemson U.,4177,,5214,,7844,,317,,195,,314,,3,,0,,0,,0,,7015,
35.0,"U. Illinois, Urbana-Champaign",9007,,7103,,7699,,537,,1153,,1941,,1228,,52,,705,,15,,2068,
36.0,"U. Minnesota, Twin Cities",4888,,6225,,7547,,304,,0,,5616,,122,,0,,369,,311,,825,
37.0,Texas Tech U.,3674,,6976,,7529,,376,,31,,7111,,1,,0,,0,,10,,0,
38.0,"Washington U., Saint Louis",8597,,9007,,7505,,23,,0,,0,,14,,23,,7445,,0,,0,
39.0,Fayetteville State U.,10216,,8001,,7451,,135,,0,,6919,,117,,0,,80,,0,,200,
40.0,Northwestern U.,6381,,6058,,7318,,241,,1326,,5087,,54,,229,,0,,7,,374,
41.0,U. Central Florida,7842,,6393,,7026,,3009,,42,,3527,,114,,0,,49,,2,,283,
42.0,Texas State U.,3820,,4547,,6971,,20,,0,,2844,,52,,3843,,0,,0,,212,
43.0,Naval Postgraduate School,4596,,7289,,6793,,4318,,169,,0,,0,,0,,0,,0,,2306,
44.0,"U. Michigan, Ann Arbor",12053,,8381,,6735,,265,,253,,5031,,133,,28,,944,,0,,81,
45.0,"U. California, Los Angeles",11548,,7013,,6633,,291,,133,,4760,,17,,40,,0,,970,,422,
46.0,Portland State U.,12478,,7376,,6598,,0,,51,,995,,38,,0,,5514,,0,,0,
47.0,"U. Pittsburgh, Pittsburgh",20874,,16727,,6552,,715,,0,,3048,,179,,0,,863,,0,,1747,
48.0,Rhode Island C.,7983,,6109,,6532,,0,,0,,5472,,0,,0,,1057,,0,,3,
49.0,"Montana State U., Bozeman",7168,,6007,,6309,,20,,0,,2281,,43,,0,,0,,0,,3965,
50.0,"U. Massachusetts, Amherst",8215,,7507,,6211,,254,,0,,5010,,60,,0,,107,,6,,774,
51.0,Florida State U.,15830,,10706,,6028,,82,,290,,5030,,15,,0,,132,,2,,477,
52.0,Boston C.,5195,,5653,,5943,,2033,,0,,3466,,0,,0,,444,,0,,0,
53.0,U. Florida,10421,,9407,,5913,,2432,,2,,3087,,103,,68,,0,,77,,144,
54.0,Yale U.,788,,4799,,5762,,169,,0,,12,,5313,,268,,0,,0,,0,
55.0,"U. South Carolina, Columbia",4050,,4046,,5730,,385,,51,,960,,165,,0,,4158,,11,,0,
56.0,"Colorado State U., Fort Collins",6501,,5096,,5636,,319,,1145,,816,,69,,0,,0,,0,,3287,
57.0,Syracuse U.,5165,,5241,,5609,,362,,305,,1641,,0,,2761,,540,,0,,0,
58.0,"Pennsylvania State U., University Park and Hershey Medical Center",2686,,4274,,5521,,1998,,32,,2155,,1336,,0,,0,,0,,0,
59.0,"U. Louisiana, Lafayette",1083,,1616,,5484,,731,,2,,4603,,25,,0,,0,,0,,123,
60.0,C. of William and Mary and Virginia Institute of Marine Science,7009,,6088,,5407,,64,,0,,4863,,29,,211,,0,,0,,240,
61.0,Winthrop U.,6800,,7361,,5126,,0,,0,,1058,,0,,0,,3661,,0,,407,
62.0,Virginia Polytechnic Institute and State U.,4184,,6216,,5016,,3,,36,,4281,,149,,0,,68,,161,,318,
63.0,U. Chicago,5856,,5227,,5005,,150,,3,,0,,446,,0,,2924,,0,,1482,
64.0,U. Delaware,5708,,4407,,4987,,552,,0,,4101,,216,,0,,0,,0,,118,
65.0,"U. Maryland, Baltimore",4359,,4102,,4914,,0,,0,,0,,0,,302,,4433,,0,,179,
66.0,"U. Oklahoma, Norman and Health Science Center",12694,,10569,,4791,,164,,743,,357,,425,,0,,32,,0,,3070,
67.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,4775,,4149,,4653,,0,,0,,3830,,39,,0,,731,,0,,53,
68.0,"Indiana U., Bloomington",3847,,4483,,4636,,89,,647,,3777,,0,,0,,0,,9,,114,
69.0,New Jersey Institute of Technology,2449,,2802,,4540,,85,,0,,4455,,0,,0,,0,,0,,0,
70.0,U. Georgia,4337,,4019,,4293,,0,,67,,3225,,128,,0,,0,,0,,873,
71.0,Brown U.,5582,,4243,,4256,,35,,0,,2123,,246,,0,,0,,0,,1852,
72.0,"U. California, Irvine",2474,,2154,,4253,,75,,0,,3848,,330,,0,,0,,0,,0,
73.0,"U. California, Berkeley",5877,,4085,,4220,,116,,1096,,2809,,20,,177,,0,,2,,0,
74.0,U. Arizona,4110,,3775,,4081,,13,,579,,3193,,296,,0,,0,,0,,0,
75.0,U. Utah,3946,,4389,,4064,,579,,219,,1610,,1282,,374,,0,,0,,0,
76.0,U. Houston,3469,,3380,,3942,,35,,0,,3589,,113,,56,,0,,0,,149,
77.0,U. Denver,5007,,5408,,3914,,0,,0,,2906,,0,,449,,559,,0,,0,
78.0,"U. North Carolina, Greensboro",3138,,2900,,3872,,0,,11,,3100,,1,,0,,276,,0,,484,
79.0,Johns Hopkins U.a,16968,,13063,,3844,,0,,244,,0,,3600,,0,,0,,0,,0,
80.0,"U. Tennessee, Knoxville",13278,,5423,,3809,,1490,,14,,817,,222,,35,,0,,0,,1231,
81.0,North Carolina State U.,2678,,3727,,3804,,496,,0,,3306,,2,,0,,0,,0,,0,
82.0,St. Edward's U.,2860,,617,,3800,,0,,0,,1995,,0,,0,,0,,0,,1805,
83.0,U. Rhode Island,3970,,3879,,3626,,693,,247,,618,,113,,0,,0,,0,,1955,
84.0,"U. Alabama, Birmingham",3209,,4221,,3523,,45,,17,,599,,0,,0,,19,,0,,2843,
