Rank,Institution,DOE R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
All institutions,1712658,,51491,,111192,,164779,,11700,,592315,,161,,8844,,19786,,742678,,9712,,,-1
1.0,Massachusetts Institute of Technology,81902.0,,2724.0,,4212.0,,0.0,,0.0,,40090.0,,0.0,,50.0,,133.0,,34681.0,,12.0,,0
2.0,Michigan State U.,75168.0,,18.0,,174.0,,12050.0,,0.0,,56203.0,,0.0,,286.0,,0.0,,6284.0,,153.0,,0
3.0,U. Rochester,70098.0,,0.0,,0.0,,20.0,,0.0,,3118.0,,0.0,,0.0,,0.0,,66960.0,,0.0,,0
4.0,U. Wisconsin-Madison,60023.0,,845.0,,1857.0,,1933.0,,0.0,,15076.0,,0.0,,0.0,,750.0,,39562.0,,0.0,,0
5.0,"U. Illinois, Urbana-Champaign",45962.0,,2563.0,,704.0,,17064.0,,23.0,,8950.0,,23.0,,50.0,,0.0,,16572.0,,13.0,,0
6.0,"U. Texas, Austin",40546.0,,899.0,,8909.0,,581.0,,551.0,,11939.0,,0.0,,0.0,,0.0,,17160.0,,507.0,,0
7.0,"U. Michigan, Ann Arbor",38612.0,,19.0,,420.0,,2340.0,,0.0,,6833.0,,0.0,,127.0,,0.0,,28817.0,,56.0,,0
8.0,"Pennsylvania State U., University Park and Hershey Medical Center",37744.0,,264.0,,6218.0,,3327.0,,375.0,,2131.0,,0.0,,0.0,,0.0,,25414.0,,15.0,,0
9.0,"U. Tennessee, Knoxville",36010.0,,3717.0,,90.0,,3198.0,,172.0,,8248.0,,0.0,,380.0,,3733.0,,16222.0,,250.0,,0
10.0,"U. Washington, Seattle",29302.0,,167.0,,2173.0,,3828.0,,0.0,,12987.0,,0.0,,0.0,,0.0,,9919.0,,228.0,,0
11.0,California Institute of Technology,28922.0,,0.0,,1152.0,,383.0,,906.0,,18370.0,,0.0,,0.0,,0.0,,8111.0,,0.0,,0
12.0,Georgia Institute of Technology,28501.0,,1128.0,,706.0,,322.0,,0.0,,1328.0,,0.0,,867.0,,12.0,,24138.0,,0.0,,0
13.0,Stanford U.,26853.0,,952.0,,1734.0,,968.0,,130.0,,10408.0,,0.0,,96.0,,0.0,,10795.0,,1770.0,,0
14.0,"Texas A&M U., College Station and Health Science Center",26653.0,,2015.0,,2584.0,,1591.0,,393.0,,9428.0,,0.0,,245.0,,10.0,,9878.0,,509.0,,0
15.0,U. Colorado Boulder,22271.0,,404.0,,3043.0,,51.0,,490.0,,9342.0,,0.0,,46.0,,0.0,,8812.0,,83.0,,0
16.0,"U. California, Los Angeles",22215.0,,0.0,,1394.0,,2595.0,,114.0,,7801.0,,0.0,,0.0,,103.0,,10208.0,,0.0,,0
17.0,"U. Minnesota, Twin Cities",21423.0,,356.0,,156.0,,1441.0,,50.0,,12169.0,,0.0,,0.0,,0.0,,7251.0,,0.0,,0
18.0,Northwestern U.,21359.0,,0.0,,45.0,,4535.0,,0.0,,7141.0,,0.0,,0.0,,4340.0,,5298.0,,0.0,,0
19.0,"U. California, San Diego",20159.0,,457.0,,1399.0,,636.0,,0.0,,11883.0,,0.0,,276.0,,1618.0,,3890.0,,0.0,,0
20.0,"Purdue U., West Lafayette",20072.0,,194.0,,411.0,,2664.0,,0.0,,5200.0,,3.0,,95.0,,0.0,,11368.0,,137.0,,0
21.0,Harvard U.,19398.0,,0.0,,643.0,,4346.0,,0.0,,9274.0,,0.0,,0.0,,1001.0,,4134.0,,0.0,,0
22.0,Cornell U.,19336.0,,473.0,,383.0,,3573.0,,0.0,,11373.0,,0.0,,315.0,,0.0,,3219.0,,0.0,,0
23.0,"U. California, Berkeley",19137.0,,0.0,,1364.0,,1978.0,,0.0,,5161.0,,0.0,,0.0,,1462.0,,9172.0,,0.0,,0
24.0,Arizona State U.,18565.0,,136.0,,376.0,,3672.0,,0.0,,3260.0,,0.0,,0.0,,162.0,,10959.0,,0.0,,0
25.0,Washington State U.,18549.0,,419.0,,1305.0,,1572.0,,0.0,,10416.0,,0.0,,0.0,,6.0,,4483.0,,348.0,,0
26.0,U. Utah,18115.0,,3265.0,,595.0,,442.0,,0.0,,1450.0,,0.0,,0.0,,0.0,,12363.0,,0.0,,0
27.0,Ohio State U.,17698.0,,936.0,,576.0,,604.0,,0.0,,6144.0,,0.0,,7.0,,0.0,,9431.0,,0.0,,0
28.0,"U. Maryland, College Park",16573.0,,1189.0,,525.0,,142.0,,0.0,,5570.0,,0.0,,388.0,,0.0,,8759.0,,0.0,,0
29.0,Princeton U.,16454.0,,21.0,,1428.0,,472.0,,293.0,,7077.0,,0.0,,0.0,,0.0,,7163.0,,0.0,,0
30.0,North Carolina State U.,15773.0,,211.0,,405.0,,1977.0,,157.0,,3026.0,,0.0,,249.0,,34.0,,9714.0,,0.0,,0
31.0,Colorado School of Mines,15434.0,,0.0,,569.0,,0.0,,113.0,,2167.0,,0.0,,40.0,,0.0,,12545.0,,0.0,,0
32.0,"SUNY, Stony Brook U.",15338.0,,672.0,,1592.0,,172.0,,923.0,,9760.0,,0.0,,40.0,,0.0,,2179.0,,0.0,,0
33.0,Oregon State U.,14856.0,,10.0,,1624.0,,1878.0,,114.0,,680.0,,0.0,,0.0,,471.0,,10079.0,,0.0,,0
34.0,U. North Dakota,14217.0,,0.0,,23.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,14194.0,,0.0,,0
35.0,U. Florida,14107.0,,138.0,,0.0,,2744.0,,0.0,,4084.0,,0.0,,0.0,,0.0,,7141.0,,0.0,,0
36.0,U. Notre Dame,13372.0,,248.0,,0.0,,0.0,,0.0,,4942.0,,3.0,,0.0,,0.0,,8179.0,,0.0,,0
37.0,Virginia Polytechnic Institute and State U.,12857.0,,92.0,,319.0,,1050.0,,36.0,,1815.0,,0.0,,0.0,,0.0,,9545.0,,0.0,,0
38.0,U. Arizona,12628.0,,196.0,,532.0,,2255.0,,0.0,,5922.0,,0.0,,144.0,,0.0,,3579.0,,0.0,,0
39.0,Yale U.,12294.0,,0.0,,146.0,,2261.0,,0.0,,8199.0,,0.0,,57.0,,0.0,,1631.0,,0.0,,0
40.0,"Colorado State U., Fort Collins",11936.0,,139.0,,3295.0,,2075.0,,532.0,,2824.0,,0.0,,0.0,,63.0,,2994.0,,14.0,,0
41.0,"Washington U., Saint Louis",11820.0,,0.0,,603.0,,3009.0,,0.0,,2734.0,,0.0,,0.0,,0.0,,5474.0,,0.0,,0
42.0,U. Georgia,11811.0,,0.0,,125.0,,10872.0,,36.0,,644.0,,0.0,,21.0,,0.0,,113.0,,0.0,,0
43.0,"U. California, Davis",11440.0,,1446.0,,137.0,,2016.0,,0.0,,4354.0,,0.0,,0.0,,0.0,,3487.0,,0.0,,0
44.0,Columbia U. in the City of New York,11406.0,,0.0,,1116.0,,151.0,,0.0,,7102.0,,0.0,,73.0,,0.0,,2964.0,,0.0,,0
44.0,U. Pennsylvania,11406.0,,0.0,,0.0,,1327.0,,0.0,,6105.0,,0.0,,0.0,,0.0,,3727.0,,247.0,,0
46.0,Carnegie Mellon U.,11176.0,,1523.0,,0.0,,0.0,,0.0,,3215.0,,0.0,,0.0,,0.0,,6438.0,,0.0,,0
47.0,"Montana State U., Bozeman",11153.0,,0.0,,7987.0,,236.0,,0.0,,1834.0,,0.0,,0.0,,234.0,,862.0,,0.0,,0
48.0,"U. Hawaii, Manoa",10497.0,,0.0,,2206.0,,258.0,,0.0,,3661.0,,0.0,,0.0,,4223.0,,149.0,,0.0,,0
49.0,Vanderbilt U.,10422.0,,0.0,,0.0,,151.0,,0.0,,2836.0,,0.0,,0.0,,0.0,,7435.0,,0.0,,0
50.0,U. Southern California,10334.0,,3080.0,,421.0,,1125.0,,0.0,,1697.0,,0.0,,0.0,,0.0,,3521.0,,490.0,,0
51.0,Mississippi State U.,10236.0,,3192.0,,0.0,,336.0,,21.0,,817.0,,0.0,,0.0,,0.0,,5870.0,,0.0,,0
52.0,West Virginia U.,10100.0,,0.0,,1621.0,,3080.0,,0.0,,405.0,,0.0,,87.0,,1.0,,4882.0,,24.0,,0
53.0,Duke U.,9832.0,,0.0,,557.0,,304.0,,0.0,,7216.0,,0.0,,0.0,,0.0,,1755.0,,0.0,,0
54.0,U. Delaware,9807.0,,130.0,,292.0,,60.0,,181.0,,1940.0,,0.0,,0.0,,77.0,,7127.0,,0.0,,0
55.0,New Mexico Institute of Mining and Technology,9727.0,,0.0,,103.0,,0.0,,18.0,,22.0,,0.0,,172.0,,0.0,,9369.0,,43.0,,0
56.0,"U. Pittsburgh, Pittsburgh",9269.0,,214.0,,383.0,,1099.0,,143.0,,2887.0,,0.0,,0.0,,0.0,,4543.0,,0.0,,0
