Rank,Institution,NSF R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23
,All institutions,5113701,,579996,,736294,,728953,,235898,,973218,,70905,,143251,,133455,,1275289,,236442,
1.0,"U. Illinois, Urbana-Champaign",132673,,66142,,3760,,9810,,3265,,16438,,1583,,3514,,13,,24978,,3170,
2.0,"U. Washington, Seattle",125221,,6588,,43933,,13202,,3393,,12655,,526,,1852,,0,,30007,,13065,
3.0,Cornell U.,124886,,7805,,4633,,23652,,2347,,46196,,806,,3269,,46,,35199,,933,
4.0,Woods Hole Oceanographic Institution,112665,,0,,53334,,0,,0,,0,,0,,0,,0,,59331,,0,
5.0,"U. California, San Diego",100820,,22327,,29258,,4311,,2640,,12124,,5483,,1020,,0,,22114,,1543,
6.0,"Texas A&M U., College Station and Health Science Center",98772,,3808,,62102,,5146,,2773,,6305,,202,,812,,232,,15284,,2108,
7.0,Massachusetts Institute of Technology,95326,,16123,,12639,,6289,,5214,,16354,,249,,986,,3333,,33107,,1032,
8.0,California Institute of Technology,93167,,0,,11303,,2483,,4045,,67874,,0,,0,,0,,6463,,999,
9.0,Columbia U. in the City of New York,91560,,5689,,44687,,3145,,1920,,20849,,511,,1361,,0,,9303,,4095,
10.0,U. Wisconsin-Madison,89464,,13289,,11441,,14296,,3430,,19712,,921,,1928,,1047,,14690,,8710,
11.0,Stanford U.,86631,,4160,,5796,,5644,,4214,,16443,,0,,1973,,0,,24041,,24360,
12.0,"U. California, Berkeley",80546,,50,,2502,,10228,,5183,,16121,,761,,1793,,9954,,31857,,2097,
13.0,"U. Minnesota, Twin Cities",78575,,7823,,6281,,13730,,8612,,6183,,587,,6299,,0,,26757,,2303,
14.0,"U. Michigan, Ann Arbor",78520,,2810,,3544,,9345,,4714,,10255,,1693,,7604,,4,,34465,,4086,
15.0,"U. Texas, Austin",77160,,23220,,8417,,6978,,2855,,6334,,428,,3177,,671,,23066,,2014,
16.0,U. Colorado Boulder,76939,,5116,,20623,,2467,,1123,,15844,,1157,,2477,,7467,,17736,,2929,
17.0,"Purdue U., West Lafayette",72962,,11104,,1632,,7508,,3558,,6738,,359,,170,,0,,38138,,3755,
18.0,Carnegie Mellon U.,69088,,36529,,229,,1122,,3649,,3526,,903,,1920,,354,,20856,,0,
19.0,Georgia Institute of Technology,68749,,12147,,3210,,2536,,2238,,12460,,599,,2004,,1833,,31121,,601,
20.0,Michigan State U.,68535,,4818,,472,,14438,,4145,,25884,,785,,1495,,1092,,7132,,8274,
21.0,"U. California, Los Angeles",66953,,6019,,8795,,6840,,4625,,8950,,1047,,1150,,8347,,16517,,4663,
22.0,"Pennsylvania State U., University Park and Hershey Medical Center",66835,,2275,,11732,,9819,,2588,,12533,,2111,,2870,,0,,22130,,777,
23.0,U. Arizona,56864,,2785,,8471,,18805,,1512,,16017,,217,,2051,,2371,,3473,,1162,
24.0,"U. Maryland, College Park",55269,,8270,,3044,,7906,,3537,,16785,,229,,4912,,0,,10581,,5,
25.0,Arizona State U.,54630,,4282,,6355,,5096,,2561,,4205,,1020,,8349,,4344,,15525,,2893,
26.0,Princeton U.,53196,,4418,,5879,,2717,,3263,,20426,,991,,703,,127,,14632,,40,
27.0,Florida State U.,52982,,1904,,2497,,3527,,1179,,28074,,584,,395,,295,,14032,,495,
28.0,Ohio State U.,52197,,6277,,3163,,7908,,5659,,8677,,745,,3623,,1419,,13647,,1079,
29.0,Harvard U.,51204,,383,,4031,,6555,,2436,,11477,,881,,1997,,3523,,14521,,5400,
30.0,U. Chicago,51133,,9518,,2957,,5508,,3299,,23752,,1692,,1201,,21,,2653,,532,
31.0,North Carolina State U.,50773,,4994,,3219,,7447,,4560,,4170,,379,,773,,106,,22959,,2166,
