Rank,Institution,USDA R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
All institutions,1113764,,4466,,53006,,893267,,4696,,4985,,5363,,70722,,10976,,52341,,13942,,,-1
1.0,"Colorado State U., Fort Collins",37450.0,,6.0,,17828.0,,15228.0,,226.0,,0.0,,15.0,,1826.0,,0.0,,1936.0,,385.0,,0
2.0,Iowa State U.,37273.0,,12.0,,0.0,,27230.0,,3864.0,,33.0,,0.0,,4131.0,,16.0,,1601.0,,386.0,,0
3.0,Cornell U.,35559.0,,0.0,,1002.0,,29276.0,,0.0,,32.0,,1185.0,,3631.0,,0.0,,433.0,,0.0,,0
4.0,Washington State U.,35338.0,,80.0,,318.0,,29978.0,,13.0,,0.0,,4.0,,1431.0,,1.0,,2990.0,,523.0,,0
5.0,Oregon State U.,32882.0,,2233.0,,358.0,,23822.0,,0.0,,45.0,,0.0,,914.0,,4548.0,,957.0,,5.0,,0
6.0,Michigan State U.,32593.0,,68.0,,82.0,,27483.0,,0.0,,0.0,,0.0,,2684.0,,0.0,,1367.0,,909.0,,0
7.0,"U. California, Davis",31478.0,,23.0,,976.0,,27678.0,,0.0,,20.0,,0.0,,1541.0,,0.0,,1160.0,,80.0,,0
8.0,Ohio State U.,31120.0,,0.0,,0.0,,20190.0,,0.0,,36.0,,146.0,,6364.0,,56.0,,2846.0,,1482.0,,0
9.0,"Texas A&M U., College Station and Health Science Center",30677.0,,6.0,,2546.0,,27195.0,,0.0,,30.0,,0.0,,226.0,,46.0,,128.0,,500.0,,0
10.0,"Purdue U., West Lafayette",27960.0,,23.0,,174.0,,21091.0,,11.0,,2.0,,0.0,,3247.0,,0.0,,2802.0,,610.0,,0
11.0,"Pennsylvania State U., University Park and Hershey Medical Center",27691.0,,0.0,,1998.0,,19230.0,,0.0,,0.0,,29.0,,6257.0,,0.0,,161.0,,16.0,,0
12.0,U. Florida,27545.0,,0.0,,15.0,,25569.0,,89.0,,26.0,,0.0,,547.0,,0.0,,1027.0,,272.0,,0
13.0,Kansas State U.,25574.0,,38.0,,495.0,,18909.0,,0.0,,0.0,,1623.0,,2366.0,,29.0,,735.0,,1379.0,,0
14.0,U. Wisconsin-Madison,25228.0,,0.0,,72.0,,20966.0,,0.0,,0.0,,0.0,,2046.0,,0.0,,1908.0,,236.0,,0
15.0,"U. Minnesota, Twin Cities",24844.0,,43.0,,0.0,,16831.0,,7.0,,76.0,,0.0,,2443.0,,0.0,,5254.0,,190.0,,0
16.0,"U. Maryland, College Park",24158.0,,15.0,,177.0,,21390.0,,46.0,,241.0,,0.0,,1926.0,,0.0,,363.0,,0.0,,0
17.0,Mississippi State U.,21982.0,,0.0,,36.0,,20343.0,,0.0,,12.0,,0.0,,1450.0,,0.0,,103.0,,38.0,,0
18.0,U. Georgia,21512.0,,0.0,,0.0,,19321.0,,85.0,,64.0,,182.0,,1004.0,,0.0,,599.0,,257.0,,0
19.0,Virginia Polytechnic Institute and State U.,21408.0,,0.0,,158.0,,20513.0,,0.0,,0.0,,133.0,,0.0,,49.0,,550.0,,5.0,,0
20.0,North Carolina State U.,20325.0,,36.0,,251.0,,18625.0,,17.0,,78.0,,0.0,,540.0,,0.0,,778.0,,0.0,,0
21.0,"U. Nebraska, Lincoln",19631.0,,233.0,,0.0,,18318.0,,63.0,,0.0,,0.0,,348.0,,17.0,,651.0,,1.0,,0
22.0,"U. Illinois, Urbana-Champaign",18067.0,,52.0,,0.0,,15050.0,,0.0,,1.0,,699.0,,968.0,,0.0,,1259.0,,38.0,,0
23.0,"U. Missouri, Columbia",17792.0,,0.0,,0.0,,13649.0,,30.0,,0.0,,0.0,,3924.0,,0.0,,189.0,,0.0,,0
24.0,Baylor C. of Medicine,16280.0,,0.0,,0.0,,16280.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
25.0,"Rutgers, State U. New Jersey, New Brunswick",16233.0,,0.0,,540.0,,15155.0,,0.0,,0.0,,0.0,,431.0,,55.0,,52.0,,0.0,,0
26.0,U. Idaho,16201.0,,52.0,,573.0,,13647.0,,4.0,,0.0,,0.0,,1021.0,,0.0,,869.0,,35.0,,0
27.0,Tufts U.,15922.0,,0.0,,0.0,,15922.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
28.0,"U. Hawaii, Manoa",14776.0,,0.0,,0.0,,12938.0,,0.0,,0.0,,0.0,,65.0,,298.0,,1475.0,,0.0,,0
29.0,"U. Washington, Seattle",14029.0,,0.0,,136.0,,13306.0,,5.0,,12.0,,0.0,,0.0,,0.0,,530.0,,40.0,,0
30.0,U. Kentucky,12636.0,,0.0,,36.0,,10745.0,,0.0,,97.0,,0.0,,263.0,,0.0,,1495.0,,0.0,,0
31.0,"Louisiana State U., Baton Rouge",11843.0,,0.0,,23.0,,8654.0,,0.0,,0.0,,0.0,,700.0,,0.0,,2466.0,,0.0,,0
32.0,Utah State U.,11816.0,,69.0,,66.0,,11166.0,,32.0,,0.0,,311.0,,46.0,,0.0,,126.0,,0.0,,0
33.0,"Auburn U., Auburn",11597.0,,0.0,,802.0,,8257.0,,0.0,,0.0,,0.0,,69.0,,37.0,,2432.0,,0.0,,0
34.0,"U. Arkansas, Fayetteville",11154.0,,0.0,,75.0,,9815.0,,0.0,,0.0,,0.0,,32.0,,0.0,,1167.0,,65.0,,0
35.0,North Dakota State U.,10634.0,,0.0,,0.0,,9493.0,,0.0,,30.0,,0.0,,442.0,,0.0,,620.0,,49.0,,0
36.0,U. Arizona,9666.0,,0.0,,255.0,,8099.0,,0.0,,0.0,,0.0,,1060.0,,0.0,,252.0,,0.0,,0
37.0,U. New Hampshire,9453.0,,30.0,,380.0,,8742.0,,0.0,,2.0,,0.0,,132.0,,0.0,,47.0,,120.0,,0
38.0,"Oklahoma State U., Stillwater",9387.0,,2.0,,0.0,,8067.0,,0.0,,28.0,,0.0,,1290.0,,0.0,,0.0,,0.0,,0
39.0,U. Maine,9276.0,,0.0,,400.0,,8712.0,,0.0,,0.0,,0.0,,9.0,,0.0,,155.0,,0.0,,0
40.0,"U. Tennessee, Knoxville, Institute of Agriculture",9211.0,,0.0,,0.0,,4068.0,,0.0,,0.0,,0.0,,1358.0,,3407.0,,378.0,,0.0,,0
41.0,"U. Massachusetts, Amherst",9003.0,,0.0,,140.0,,7833.0,,0.0,,79.0,,0.0,,65.0,,886.0,,0.0,,0.0,,0
42.0,South Dakota State U.,8572.0,,0.0,,499.0,,6501.0,,0.0,,26.0,,0.0,,1397.0,,0.0,,7.0,,142.0,,0
43.0,West Virginia U.,8549.0,,0.0,,172.0,,8066.0,,0.0,,55.0,,0.0,,137.0,,0.0,,44.0,,75.0,,0
44.0,U. Delaware,7762.0,,118.0,,0.0,,7209.0,,0.0,,0.0,,0.0,,315.0,,0.0,,119.0,,1.0,,0
45.0,Florida A&M U.,7543.0,,0.0,,0.0,,7543.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
46.0,Tennessee State U.,7217.0,,0.0,,0.0,,7217.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
47.0,"U. California, Riverside",6752.0,,0.0,,779.0,,5520.0,,0.0,,73.0,,0.0,,28.0,,0.0,,352.0,,0.0,,0
48.0,"Montana State U., Bozeman",6416.0,,0.0,,88.0,,5974.0,,0.0,,0.0,,0.0,,306.0,,0.0,,28.0,,20.0,,0
49.0,New Mexico State U.,6319.0,,0.0,,0.0,,6048.0,,0.0,,0.0,,5.0,,26.0,,34.0,,206.0,,0.0,,0
50.0,"U. Montana, Missoula",5952.0,,0.0,,181.0,,4929.0,,0.0,,166.0,,0.0,,676.0,,0.0,,0.0,,0.0,,0
51.0,Alcorn State U.,5906.0,,0.0,,0.0,,3686.0,,0.0,,0.0,,0.0,,2220.0,,0.0,,0.0,,0.0,,0
52.0,U. Connecticut,5680.0,,0.0,,151.0,,4953.0,,0.0,,0.0,,88.0,,484.0,,0.0,,4.0,,0.0,,0
53.0,U. Mississippi,5676.0,,0.0,,100.0,,3813.0,,0.0,,699.0,,0.0,,2.0,,0.0,,1002.0,,60.0,,0
54.0,U. Vermont,5565.0,,0.0,,0.0,,5565.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
55.0,Prairie View A&M U.,5464.0,,0.0,,0.0,,5337.0,,0.0,,67.0,,0.0,,0.0,,0.0,,60.0,,0.0,,0
56.0,Langston U.,5458.0,,0.0,,0.0,,5458.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
57.0,U. Rhode Island,5446.0,,0.0,,2448.0,,1753.0,,0.0,,0.0,,0.0,,21.0,,525.0,,0.0,,699.0,,0
58.0,North Carolina Agricultural and Technical State U.,5383.0,,0.0,,18.0,,5253.0,,0.0,,0.0,,0.0,,112.0,,0.0,,0.0,,0.0,,0
59.0,"Lincoln U., Jefferson City",4933.0,,0.0,,1270.0,,3390.0,,0.0,,0.0,,0.0,,163.0,,110.0,,0.0,,0.0,,0
60.0,"U. California, Berkeley",4669.0,,0.0,,0.0,,4667.0,,0.0,,0.0,,0.0,,2.0,,0.0,,0.0,,0.0,,0
61.0,Kentucky State U.,4559.0,,0.0,,0.0,,4559.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
62.0,"U. Nevada, Reno",4259.0,,0.0,,416.0,,2703.0,,0.0,,4.0,,0.0,,151.0,,0.0,,344.0,,641.0,,0
63.0,Fort Valley State U.,3888.0,,0.0,,0.0,,3888.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
64.0,Tarleton State U.,3880.0,,0.0,,4.0,,3797.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,79.0,,0
65.0,Virginia State U.,3639.0,,0.0,,48.0,,3541.0,,0.0,,0.0,,0.0,,24.0,,0.0,,26.0,,0.0,,0
66.0,West Virginia State U.,3592.0,,0.0,,485.0,,3107.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
67.0,U. of the Virgin Islands,3353.0,,0.0,,0.0,,3353.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
68.0,"U. Maryland, Eastern Shore",3261.0,,0.0,,0.0,,3242.0,,0.0,,0.0,,0.0,,0.0,,0.0,,19.0,,0.0,,0
69.0,"U. Arkansas, Pine Bluff",3250.0,,0.0,,0.0,,3250.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
70.0,"U. Alaska, Fairbanks",3104.0,,0.0,,1440.0,,930.0,,0.0,,44.0,,0.0,,0.0,,114.0,,21.0,,555.0,,0
71.0,Clemson U.,2917.0,,113.0,,0.0,,1517.0,,0.0,,0.0,,0.0,,190.0,,0.0,,2.0,,1095.0,,0
72.0,U. Wyoming,2909.0,,0.0,,120.0,,2256.0,,7.0,,21.0,,0.0,,418.0,,0.0,,36.0,,51.0,,0
73.0,Northern Arizona U.,2784.0,,0.0,,1433.0,,1314.0,,0.0,,0.0,,0.0,,37.0,,0.0,,0.0,,0.0,,0
74.0,Texas Tech U.,2738.0,,0.0,,187.0,,1962.0,,0.0,,0.0,,0.0,,423.0,,0.0,,10.0,,156.0,,0
75.0,Delaware State U.,2661.0,,0.0,,0.0,,2575.0,,0.0,,86.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
76.0,"Southern U. and A&M C., Agricultural Research and Extension Center",2514.0,,0.0,,0.0,,2514.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
