Rank,Institution,Other agency R&D expendituresa,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
All institutions,3398328,,130184,,561095,,686007,,35597,,109955,,97125,,289168,,80218,,855865,,553114,,,-1
1.0,Johns Hopkins U.a,356828.0,,41457.0,,6113.0,,26833.0,,17790.0,,29200.0,,0.0,,3022.0,,27532.0,,201694.0,,3187.0,,0
2.0,"U. North Carolina, Chapel Hill",80180.0,,87.0,,5605.0,,9673.0,,167.0,,231.0,,12402.0,,48798.0,,0.0,,0.0,,3217.0,,0
3.0,U. Colorado Boulder,79982.0,,199.0,,46024.0,,778.0,,0.0,,8246.0,,119.0,,525.0,,10249.0,,5676.0,,8166.0,,0
4.0,Ohio State U.,73478.0,,186.0,,81.0,,17450.0,,0.0,,446.0,,597.0,,2923.0,,4892.0,,13306.0,,33597.0,,0
5.0,North Carolina State U.,66459.0,,1147.0,,10552.0,,23127.0,,2537.0,,3550.0,,468.0,,2626.0,,28.0,,21305.0,,1119.0,,0
6.0,"U. Maryland, College Park",66425.0,,850.0,,21549.0,,6316.0,,306.0,,5035.0,,0.0,,13124.0,,0.0,,18936.0,,309.0,,0
7.0,"U. Washington, Seattle",65790.0,,181.0,,23480.0,,17012.0,,25.0,,297.0,,399.0,,3234.0,,0.0,,6222.0,,14940.0,,0
8.0,"U. South Florida, Tampa",54461.0,,16.0,,3329.0,,11279.0,,0.0,,99.0,,254.0,,3899.0,,14.0,,15477.0,,20094.0,,0
9.0,"Texas A&M U., College Station and Health Science Center",48308.0,,496.0,,8534.0,,11591.0,,0.0,,33.0,,204.0,,940.0,,347.0,,18283.0,,7880.0,,0
10.0,Virginia Polytechnic Institute and State U.,48258.0,,6856.0,,134.0,,12632.0,,107.0,,188.0,,0.0,,552.0,,293.0,,23706.0,,3790.0,,0
11.0,U. Wisconsin-Madison,47311.0,,0.0,,13704.0,,6141.0,,191.0,,672.0,,0.0,,1741.0,,235.0,,9613.0,,15014.0,,0
12.0,"Rutgers, State U. New Jersey, New Brunswick",45724.0,,286.0,,8709.0,,4210.0,,4508.0,,135.0,,3902.0,,6032.0,,0.0,,16019.0,,1923.0,,0
13.0,"Colorado State U., Fort Collins",45347.0,,870.0,,26575.0,,10359.0,,259.0,,109.0,,90.0,,766.0,,0.0,,3591.0,,2728.0,,0
14.0,"Pennsylvania State U., University Park and Hershey Medical Center",42777.0,,5031.0,,3419.0,,4793.0,,559.0,,803.0,,2516.0,,1762.0,,0.0,,22587.0,,1307.0,,0
15.0,"U. California, Davis",40648.0,,289.0,,861.0,,26189.0,,0.0,,3864.0,,103.0,,3660.0,,0.0,,4544.0,,1138.0,,0
16.0,Florida State U.,40348.0,,357.0,,2435.0,,1715.0,,890.0,,67.0,,18135.0,,2157.0,,5087.0,,4141.0,,5364.0,,0
17.0,"U. California, San Diego",33904.0,,307.0,,24425.0,,5833.0,,0.0,,84.0,,13.0,,1637.0,,0.0,,1545.0,,60.0,,0
