"State, institutional control, and institution",All R&D expenditures,Unnamed: 2,Medical school R&D expenditures,Unnamed: 4
Alabama,,,,
Public,,,,
"U. Alabama, Birmingham",516229.0,,345055.0,
U. South Alabama,43722.0,,29785.0,
Arizona,,,,
Public,,,,
U. Arizona,606219.0,,172084.0,
Arkansas,,,,
Public,,,,
U. Arkansas for Medical Sciences,132451.0,,132451.0,
California,,,,
Public,,,,
"U. California, Davis",721077.0,,166513.0,
"U. California, Irvine",329798.0,,131572.0,
"U. California, Los Angeles",1021227.0,,548384.0,
"U. California, Riverside",144511.0,,5736.0,
"U. California, San Diego",1101466.0,,539947.0,
"U. California, San Francisco",1126620.0,,893663.0,
Private,,,,
Charles R. Drew U. of Medicine and Sciencea,14128.0,,2318.0,i
Loma Linda U.,25519.0,,19462.0,
Stanford U.,1022551.0,,580134.0,
"Touro U., Vallejo",3106.0,,771.0,
U. Southern California,691031.0,,350720.0,
Western U. of Health Sciences,4904.0,,498.0,
Colorado,,,,
Public,,,,
U. Colorado Denver and Anschutz Medical Campus,410081.0,,302561.0,
Connecticut,,,,
Public,,,,
U. Connecticut,259397.0,,93438.0,
Private,,,,
Quinnipiac U.,967.0,i,682.0,i
Yale U.,803004.0,,612770.0,
District of Columbia,,,,
Private,,,,
George Washington U.,241117.0,,37620.0,
Georgetown U.,176131.0,,125210.0,
Howard U.,47322.0,,25131.0,
Florida,,,,
Public,,,,
Florida Atlantic U.,21214.0,,2842.0,
Florida International U.,163033.0,,8790.0,
Florida State U.,256449.0,,9860.0,
U. Central Florida,215519.0,,676.0,
U. Florida,739522.0,,273534.0,
"U. South Florida, Tampa",485354.0,,169617.0,
Private,,,,
Nova Southeastern U.,14775.0,,7472.0,
U. Miami,365574.0,,238213.0,
Georgia,,,,
Public,,,,
Georgia Regents U.,67737.0,,61951.0,
Private,,,,
Emory U.,585210.0,,340678.0,
Mercer U.,32838.0,,3913.0,
Morehouse School of Medicine,33367.0,,30012.0,
Hawaii,,,,
Public,,,,
"U. Hawaii, Manoa",316497.0,,29327.0,
Illinois,,,,
Public,,,,
"Southern Illinois U., Carbondale",57509.0,,20185.0,
"U. Illinois, Chicago",354560.0,,157442.0,
Private,,,,
"Loyola U., Chicago",48664.0,,40563.0,
Midwestern U.,8560.0,,5738.0,
Northwestern U.,656167.0,,509822.0,
Rosalind Franklin U. of Medicine and Science,16604.0,,13859.0,
Rush U.,79048.0,,76402.0,
U. Chicago,421061.0,,275007.0,
Indiana,,,,
Public,,,,
"Indiana U., Bloomington",485076.0,,286926.0,
Iowa,,,,
Public,,,,
U. Iowa,443218.0,,234695.0,
Kansas,,,,
Public,,,,
U. Kansas,311383.0,,118617.0,
Kentucky,,,,
Public,,,,
U. Kentucky,331705.0,,127384.0,
U. Louisville,179499.0,,111975.0,
Louisiana,,,,
Public,,,,
"Louisiana State U., Health Sciences Center – New Orleans",46840.0,,33450.0,
"Louisiana State U., Health Sciences Center - Shreveport",24069.0,,24069.0,
Private,,,,
Tulane U.,152658.0,,50881.0,
Maine,,,,
Private,,,,
U. New England,7498.0,,3293.0,
Maryland,,,,
Public,,,,
"U. Maryland, Baltimore",397695.0,,352247.0,
Uniformed Services U. of the Health Sciences,361173.0,,305682.0,
Private,,,,
Johns Hopkins U.b,2305679.0,,625820.0,
Massachusetts,,,,
Public,,,,
"U. Massachusetts, Medical School",250338.0,,250338.0,
Private,,,,
Boston U.,388336.0,,140026.0,
Harvard U.,1013753.0,,237333.0,
Tufts U.,168314.0,,50492.0,
Michigan,,,,
Public,,,,
Central Michigan U.,12880.0,,2302.0,
Michigan State U.,558248.0,,52594.0,
Oakland U.,17108.0,,18.0,
"U. Michigan, Ann Arbor",1369278.0,,563444.0,
Wayne State U.,213878.0,,139002.0,
Western Michigan U. and Homer Stryker M.D. School of Medicine,19679.0,,231.0,
Minnesota,,,,
Public,,,,
"U. Minnesota, Twin Cities",880618.0,,245218.0,
Mississippi,,,,
Public,,,,
U. Mississippi,94040.0,,34538.0,
Missouri,,,,
Public,,,,
"U. Missouri, Columbia",246684.0,,24007.0,
"U. Missouri, Kansas City",26595.0,,5118.0,
Private,,,,
A. T. Still U.,4571.0,,2277.0,
Saint Louis U.,44457.0,,21834.0,
"Washington U., Saint Louis",694069.0,,609355.0,
Nebraska,,,,
Public,,,,
"U. Nebraska, Medical Center",143999.0,,80769.0,
Private,,,,
Creighton U.,23825.0,,23825.0,i
Nevada,,,,
Public,,,,
"U. Nevada, Reno",90138.0,,20567.0,
Private,,,,
Roseman U. of Health Sciences,3287.0,,1685.0,
New Hampshire,,,,
Private,,,,
Dartmouth C.,209646.0,,147867.0,
New Jersey,,,,
Public,,,,
Rowan U.,8044.0,,2400.0,
"Rutgers, State U. New Jersey, New Brunswick",628613.0,,118935.0,
New Mexico,,,,
Public,,,,
U. New Mexico,232271.0,,93340.0,
New York,,,,
Public,,,,
"CUNY, City C.",53223.0,,2.0,
"SUNY, Downstate Medical Center",28652.0,,28288.0,
"SUNY, Stony Brook U.",220580.0,,95980.0,
"SUNY, U. Buffalo",382935.0,,189284.0,
"SUNY, Upstate Medical U.",32453.0,,26431.0,
Private,,,,
Albany Medical C.,18043.0,,18043.0,
Columbia U. in the City of New York,868159.0,,439961.0,
Cornell U.,954412.0,,354846.0,
Hofstra U.,2585.0,,0.0,
Icahn School of Medicine at Mt. Sinai,508353.0,,508353.0,
New York Institute of Technology,4169.0,,2411.0,
New York Medical C.,17653.0,,17653.0,
New York U.,602041.0,,357526.0,
U. Rochester,346932.0,,221874.0,
Yeshiva U.,306174.0,,306174.0,
North Carolina,,,,
Public,,,,
East Carolina U.,26549.0,,17788.0,
"U. North Carolina, Chapel Hill",966781.0,,534188.0,
Private,,,,
Duke U.,1036698.0,,818275.0,
Wake Forest U.,171926.0,,164826.0,
North Dakota,,,,
Public,,,,
U. North Dakota,64384.0,,14359.0,
Ohio,,,,
Public,,,,
Northeast Ohio Medical U.,17103.0,,14329.0,
Ohio State U.,817881.0,,338112.0,
Ohio U.,61078.0,,5866.0,
U. Cincinnati,436028.0,,337832.0,
U. Toledo,52354.0,,20845.0,
Wright State U.,54289.0,,13345.0,
Private,,,,
Case Western Reserve U.,401527.0,,312810.0,
Oklahoma,,,,
Public,,,,
"Oklahoma State U., Center for Health Sciences",1625.0,,1625.0,
"U. Oklahoma, Norman and Health Science Center",242367.0,,92341.0,
"U. Oklahoma, Tulsa",4104.0,,1699.0,
Oregon,,,,
Public,,,,
Oregon Health and Science U.,326915.0,,184632.0,
Pennsylvania,,,,
Public,,,,
"Pennsylvania State U., University Park and Hershey Medical Center",791031.0,,92566.0,
Temple U.,227468.0,,85311.0,
"U. Pittsburgh, Pittsburgh",861205.0,,621105.0,
Private,,,,
Commonwealth Medical C.,2171.0,,2171.0,
Drexel U.,128027.0,,47367.0,
Philadelphia C. of Osteopathic Medicine,2561.0,,538.0,
Thomas Jefferson U.,119631.0,,111588.0,
U. Pennsylvania,864068.0,,601365.0,
Rhode Island,,,,
Private,,,,
Brown U.,342040.0,,82087.0,
South Carolina,,,,
Public,,,,
Medical U. South Carolina,243534.0,,206924.0,
"U. South Carolina, Columbia",208736.0,,12200.0,
South Dakota,,,,
Public,,,,
U. South Dakota,25661.0,,5655.0,
Tennessee,,,,
Public,,,,
East Tennessee State U.,6930.0,,3850.0,
"U. Tennessee, Health Science Center",65771.0,,65771.0,
Private,,,,
Meharry Medical C.,13998.0,,13998.0,
Vanderbilt U.,647816.0,,396043.0,
Texas,,,,
Public,,,,
"Texas A&M U., College Station and Health Science Center",866678.0,,52058.0,
"Texas Tech U., Health Sciences Center",40438.0,,24832.0,
"Texas Tech U., Health Sciences Center, El Paso",18889.0,,14250.0,
"U. North Texas, Health Science Center",46335.0,,9130.0,
"U. Texas Health Science Center, Houston",234299.0,,130849.0,
"U. Texas Health Science Center, San Antonio",170277.0,,125493.0,
U. Texas Medical Branch,173506.0,,134952.0,
U. Texas Southwestern Medical Center,438824.0,,437836.0,
"U. Texas, Austin",650608.0,,4335.0,
Private,,,,
Baylor C. of Medicine,520220.0,,520220.0,
Utah,,,,
Public,,,,
U. Utah,518928.0,,220518.0,
Vermont,,,,
Public,,,,
U. Vermont,114547.0,,72087.0,
Virginia,,,,
Public,,,,
"U. Virginia, Charlottesville",373218.0,,218793.0,
Virginia Commonwealth U.,218925.0,,100442.0,
Private,,,,
Eastern Virginia Medical School,42296.0,,42296.0,
Edward Via C. of Osteopathic Medicine,2237.0,,2237.0,
Washington,,,,
Public,,,,
