"State, institutional control, and institution",Total,Federal,Nonfederal,All R&D expenditures,Unnamed: 5,Clinical trials,Unnamed: 7,All R&D expenditures.1,Unnamed: 9,Clinical trials.1,Unnamed: 11,All R&D expenditures.2,Unnamed: 13,Clinical trials.2,Unnamed: 15
Alabama,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"U. Alabama, Birmingham",516229.0,,34356.0,,328531.0,,14408.0,,187698.0,,19948.0,,,,
U. South Alabama,43722.0,,2639.0,,15106.0,,84.0,,28616.0,,2555.0,,,,
Arizona,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
U. Arizona,606219.0,,4303.0,,269959.0,,1058.0,,336260.0,,3245.0,,,,
Arkansas,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
U. Arkansas for Medical Sciences,132451.0,,1215.0,,50603.0,,48.0,,81848.0,,1167.0,,,,
U. Central Arkansas,3502.0,,57.0,,1300.0,,57.0,,2202.0,,0.0,,,,
California,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"California Polytechnic State U., San Luis Obispo",16312.0,,1980.0,,9796.0,,1980.0,,6516.0,,0.0,,,,
"California State U., Long Beach",8830.0,,34.0,,6198.0,,34.0,,2632.0,,0.0,,,,
"California State U., San Marcos",6432.0,,154.0,,4573.0,,154.0,,1859.0,,0.0,,,,
"U. California, Davis",721077.0,,7792.0,,326039.0,,78.0,i,395038.0,,7714.0,i,,,
"U. California, Irvine",329798.0,,6643.0,,174875.0,,66.0,i,154923.0,,6577.0,i,,,
"U. California, Los Angeles",1021227.0,,25805.0,,489404.0,,258.0,i,531823.0,,25547.0,i,,,
"U. California, San Diego",1101466.0,,17331.0,,603343.0,,173.0,i,498123.0,,17158.0,i,,,
"U. California, San Francisco",1126620.0,,29940.0,,535457.0,,8210.0,i,591163.0,,21730.0,i,,,
Private,,,,,,,,,,,,,,,
Azusa Pacific U.,7521.0,,147.0,,323.0,,147.0,,7198.0,,0.0,,,,
Loma Linda U.,25519.0,,1521.0,,21082.0,,389.0,,4437.0,,1132.0,,,,
Marshall B. Ketchum U.,1468.0,,113.0,i,224.0,,98.0,i,1244.0,,15.0,i,,,
Stanford U.,1022551.0,,83802.0,,675930.0,,44161.0,,346621.0,,39641.0,,,,
U. Southern California,691031.0,,132437.0,,421227.0,,98170.0,,269804.0,,34267.0,,,,
Western U. of Health Sciences,4904.0,,280.0,,1206.0,,200.0,,3698.0,,80.0,,,,
Colorado,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
U. Colorado Denver and Anschutz Medical Campus,410081.0,,34414.0,,274345.0,,2222.0,,135736.0,,32192.0,,,,
Private,,,,,,,,,,,,,,,
Colorado C.,2247.0,,132.0,,602.0,,132.0,,1645.0,,0.0,,,,
Connecticut,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
U. Connecticut,259397.0,,2430.0,,137980.0,,1561.0,,121417.0,,869.0,,,,
Private,,,,,,,,,,,,,,,
Yale U.,803004.0,,20607.0,,477143.0,,1839.0,,325861.0,,18768.0,,,,
Delaware,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
U. Delaware,175724.0,,1936.0,,114245.0,,1936.0,,61479.0,,0.0,,,,
District of Columbia,,,,,,,,,,,,,,,
Private,,,,,,,,,,,,,,,
George Washington U.,241117.0,,7873.0,,139016.0,,6710.0,,102101.0,,1163.0,,,,
Georgetown U.,176131.0,,2003.0,,88015.0,,221.0,,88116.0,,1782.0,,,,
Howard U.,47322.0,,2333.0,i,38820.0,,510.0,i,8502.0,,1823.0,i,,,
Florida,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
Florida Atlantic U.,21214.0,,322.0,,11574.0,,0.0,,9640.0,,322.0,,,,
Florida International U.,163033.0,,881.0,,76528.0,,872.0,,86505.0,,9.0,,,,
U. Central Florida,215519.0,,610.0,,88814.0,,556.0,,126705.0,,54.0,,,,
U. Florida,739522.0,,18618.0,,287230.0,,1515.0,,452292.0,,17103.0,,,,
"U. South Florida, Tampa",485354.0,,6448.0,,218338.0,,225.0,,267016.0,,6223.0,,,,
Private,,,,,,,,,,,,,,,
Barry U.,762.0,,300.0,,386.0,,0.0,,376.0,,300.0,,,,
Nova Southeastern U.,14775.0,,1419.0,,5896.0,,1161.0,,8879.0,,258.0,,,,
U. Miami,365574.0,,20818.0,,216008.0,,4212.0,,149566.0,,16606.0,,,,
Georgia,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
Georgia Regents U.,67737.0,,3018.0,,50585.0,,610.0,,17152.0,,2408.0,,,,
U. Georgia,374264.0,,548.0,,132118.0,,410.0,,242146.0,,138.0,,,,
Private,,,,,,,,,,,,,,,
Emory U.,585210.0,,30242.0,,348071.0,,3298.0,,237139.0,,26944.0,,,,
Mercer U.,32838.0,,926.0,,21563.0,,56.0,,11275.0,,870.0,,,,
Morehouse School of Medicine,33367.0,,1199.0,,30012.0,,460.0,,3355.0,,739.0,,,,
Hawaii,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"U. Hawaii, Manoa",316497.0,,778.0,,200202.0,,470.0,,116295.0,,308.0,,,,
Idaho,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
Idaho State U.,17866.0,,65.0,,11738.0,,0.0,,6128.0,,65.0,,,,
Illinois,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"Southern Illinois U., Carbondale",57509.0,,1110.0,,14895.0,,6.0,,42614.0,,1104.0,,,,
"U. Illinois, Chicago",354560.0,,6923.0,,196010.0,,3973.0,,158550.0,,2950.0,,,,
Private,,,,,,,,,,,,,,,
"Loyola U., Chicago",48664.0,,2573.0,,28200.0,,628.0,,20464.0,,1945.0,,,,
Midwestern U.,8560.0,,3.0,,654.0,,3.0,,7906.0,,0.0,,,,
Northwestern U.,656167.0,,41726.0,i,393186.0,,14292.0,i,262981.0,,27434.0,i,,,
Rosalind Franklin U. of Medicine and Science,16604.0,,94.0,,9368.0,,0.0,,7236.0,,94.0,,,,
Rush U.,79048.0,,8059.0,,52193.0,,31.0,,26855.0,,8028.0,,,,
U. Chicago,421061.0,,23692.0,,296402.0,,1486.0,,124659.0,,22206.0,,,,
Indiana,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"Indiana U., Bloomington",485076.0,,16031.0,,210899.0,,410.0,,274177.0,,15621.0,,,,
"Indiana U.-Purdue U., Indianapolis",55973.0,,2199.0,,18479.0,,0.0,,37494.0,,2199.0,,,,
Iowa,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
U. Iowa,443218.0,,9347.0,,225587.0,,0.0,,217631.0,,9347.0,,,,
Kansas,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
Kansas State U.,188721.0,,11.0,,69918.0,,11.0,,118803.0,,0.0,,,,
U. Kansas,311383.0,,9286.0,,155835.0,,1288.0,,155548.0,,7998.0,,,,
Kentucky,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
U. Kentucky,331705.0,,4140.0,,146548.0,,22.0,,185157.0,,4118.0,,,,
U. Louisville,179499.0,,4259.0,,68069.0,,1787.0,,111430.0,,2472.0,,,,
Louisiana,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"Louisiana State U., Baton Rouge",281154.0,,6846.0,,83644.0,,6276.0,,197510.0,,570.0,,,,
"Louisiana State U., Health Sciences Center – New Orleans",46840.0,,2094.0,,36027.0,,9.0,,10813.0,,2085.0,,,,
"Louisiana State U., Health Sciences Center - Shreveport",24069.0,,1048.0,,6321.0,,13.0,,17748.0,,1035.0,,,,
Private,,,,,,,,,,,,,,,
Tulane U.,152658.0,,3275.0,,84166.0,,0.0,,68492.0,,3275.0,,,,
Maine,,,,,,,,,,,,,,,
Private,,,,,,,,,,,,,,,
Bowdoin C.,2991.0,,327.0,,2156.0,,327.0,,835.0,,0.0,,,,
Maryland,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"U. Maryland, Baltimore",397695.0,,12514.0,,216687.0,,1764.0,,181008.0,,10750.0,,,,
"U. Maryland, College Park",505699.0,,197.0,,332393.0,,180.0,,173306.0,,17.0,,,,
Private,,,,,,,,,,,,,,,
Johns Hopkins U.a,2305679.0,,29767.0,,1992837.0,,73.0,,312842.0,,29694.0,,,,
Massachusetts,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,
"U. Massachusetts, Medical School",250338.0,,4519.0,,183588.0,,286.0,,66750.0,,4233.0,,,,
Private,,,,,,,,,,,,,,,
