Rank,Institution,2006,Unnamed: 3,2007,Unnamed: 5,2008,Unnamed: 7,2009,Unnamed: 9,2010,Unnamed: 11,2011,Unnamed: 13,2012,Unnamed: 15,2013,Unnamed: 17,2014,Unnamed: 19,2015,Unnamed: 21,shift
All institutions,47758700,,49494913,,51871804,,54862998,,58356805,,61988250,,62198564,,63354944,,63771489,,65043838,,,-1
1.0,Johns Hopkins U.a,1499977,,1554103,,1680927,,1856270,,1997252,,2135547,,2092999,i,2149770,i,2227536,i,2299057.0,i,0
2.0,"U. Michigan, Ann Arbor",,,,,,,,,1128686,,1212990,,1247680,,1304074,,1279603,,1300340.0,,0
3.0,"U. California, San Francisco",796149,,842840,,885182,,947697,,935509,,995226,,1032673,,1042841,,1084031,,1126620.0,,0
4.0,"U. Washington, Seattle",,,,,,,,,995036,,1112526,,1065414,,1111508,,1091135,,1101078.0,,0
5.0,"U. California, San Diego",754766,,798896,,842027,,879357,,937982,,1003584,,1065306,,1066979,,1060207,,1093784.0,,0
6.0,Duke U.,657080,,781843,,766906,,805021,,980514,,1018241,,1004759,,987393,,1031404,,1029193.0,,0
7.0,"U. California, Los Angeles",811493,,823083,,871478,,889995,,899677,,942450,,969682,,934135,,920183,,992009.0,,0
8.0,Stanford U.,679196,,687511,,688225,,704183,,810300,,868393,,854580,,900547,,912244,,969643.0,,0
9.0,Harvard U.,453156,,451276,,453028,,462193,,561703,,623116,,753973,,910569,,875964,,955246.0,,0
10.0,Cornell U.,648802,,641936,,653996,,671406,,747199,,779809,,799794,,841224,,874727,,946419.0,,0
11.0,"U. North Carolina, Chapel Hill",443790,,477231,,525843,,646011,,746828,,846499,,864748,,942467,,955601,,939252.0,,0
12.0,U. Wisconsin-Madison,831895,,840672,,881777,,952119,,940286,,1022723,,1030605,,997523,,984830,,938366.0,,0
13.0,Massachusetts Institute of Technology,600748,,614352,,659626,,736102,,646222,,693714,,770367,,833884,,815008,,858917.0,,0
14.0,"U. Pittsburgh, Pittsburgh",530162,,558566,,595627,,623347,,806014,,880425,,839793,,846556,,835838,,852333.0,,0
15.0,"U. Minnesota, Twin Cities",,,,,,,,,764916,,824489,,806832,,834181,,850880,,844016.0,,0
16.0,"Texas A&M U., College Station and Health Science Center",492955,,543888,,582365,,630655,,666516,,682553,,669968,,796101,,826152,,836250.0,,0
17.0,U. Texas M. D. Anderson Cancer Center,457696,,496539,,558503,,578788,,599529,,663279,,685814,,718096,,794980,,833406.0,,0
18.0,U. Pennsylvania,676052,,648247,,708244,,726768,,793523,,851522,,813210,,790265,,792314,,828649.0,,0
19.0,Columbia U. in the City of New York,529945,,545995,,548704,,589575,,770888,,841173,,847809,,845847,,844766,,826010.0,,0
20.0,Yale U.,460075,,448671,,487285,,509452,,621125,,654259,,654824,,787609,,764002,,792953.0,,0
21.0,"Pennsylvania State U., University Park and Hershey Medical Center",,,,,,,,,762041,,776945,,783894,,825011,,785705,,774384.0,,0
22.0,Georgia Institute of Technology,440898,,472591,,522136,,561631,,611226,,650588,,683894,,726377,,720248,,757116.0,,0
23.0,"U. California, Berkeley",546035,,552365,,591770,,652474,,659572,,670926,,696904,,690299,,708485,,748139.0,,0
24.0,Ohio State U.,652329,,720206,,702592,,716461,,719574,,794023,,720082,,743321,,752836,,745238.0,,0
25.0,"U. California, Davis",573002,,600508,,642519,,681618,,669282,,698193,,704999,,715870,,699689,,706087.0,,0
26.0,U. Florida,565491,,592835,,584170,,592082,,636607,,686048,,649988,,642502,,652341,,699750.0,,0
27.0,"Washington U., Saint Louis",547674,,572775,,563967,,628328,,693749,,707404,,689035,,665484,,646756,,680150.0,,0
28.0,U. Southern California,450173,,508138,,519543,,533041,,574366,,579717,,593003,,610382,,650506,,650457.0,,0
29.0,Northwestern U.,419985,,443345,,483881,,515229,,554228,,595202,,602451,,612009,,621504,,627320.0,,0
30.0,Vanderbilt U.,376893,,399149,,422622,,431673,,478345,,534806,,533878,,548086,,659418,,619866.0,,0
31.0,"U. Illinois, Urbana-Champaign",476198,,473890,,501279,,563710,,493386,,522769,,558022,,721587,,598531,,614011.0,,0
32.0,"Rutgers, State U. New Jersey, New Brunswick",,,,,,,,,407170,,415502,,420737,,474192,,627076,,607257.0,,0
33.0,"U. Texas, Austin",431398,,446765,,493294,,506369,,531412,,558377,,549312,,572959,,526173,,597886.0,,0
34.0,U. Arizona,535847,,531753,,545869,,565292,,577958,,597988,,615434,,616487,,575864,,592874.0,,0
35.0,Emory U.,345989,,398383,,441222,,449419,,498309,,479678,i,474537,,493734,,551556,i,574472.0,,0
36.0,Baylor C. of Medicine,462375,,438280,,449301,,449031,,447874,,466061,,474700,,508799,,496314,,520220.0,,0
37.0,Michigan State U.,358097,,360852,,356767,,373184,,399358,,423766,,471620,,479145,,492501,,519994.0,,0
