State,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
United States,47758700,49494913,51871804,54862998,58356805,61988250,62198564,63354944,63771489,65043838
Alabama,601881,655245,707801,761982,829363,878622,804713,807180,784855,871897
Alaska,163034,130637,128242,131753,141190,140736,135751,133170,168948,157565
Arizona,765434,782671,831192,873063,901697,951223,987123,1013898,987348,1031313
Arkansas,237233,239994,246621,239407,255537,270576,275503,278640,268551,278259
California,6490107,6733546,7026354,7406686,7579847,7927305,8102898,8056392,8122661,8335457
Colorado,820565,872576,924088,1058283,1128509,1240906,1249413,1200521,1184397,1226205
Connecticut,691998,691408,731711,752793,866600,922694,924357,1042379,1031824,1065787
Delaware,122001,125663,133231,133810,161927,178496,176743,187730,187295,183868
District of Columbia,296155,336618,375459,325155,430944,446448,455063,463042,487260,488789
Florida,1522099,1557504,1591774,1663542,1778300,1896576,1930189,1921895,2019460,2115008
Georgia,1302570,1388976,1521486,1565574,1611447,1657919,1711596,1789112,1850346,1918019
Hawaii,257478,274373,278751,300302,314652,325915,328168,338992,330584,328698
Idaho,111465,114224,113482,120721,122754,139392,142976,139444,137825,142954
Illinois,1824223,1867003,1972752,2113124,2146061,2264226,2269727,2407183,2238266,2289497
Indiana,823501,893808,954621,1005216,1048218,1141830,1150327,1200697,1169076,1191841
Iowa,572623,586786,527769,562569,689831,705684,695465,693052,743656,726233
Kansas,354376,375960,403512,441321,460629,466851,479721,499788,485562,489955
Kentucky,479282,503293,498742,518874,538189,555579,546893,515406,505815,505561
Louisiana,552931,604007,660262,671131,657569,667523,653885,632537,627547,609102
Maine,120038,137425,128090,128434,118832,129236,118589,103373,125421,104471
Maryland,2529998,2542336,2747001,3021052,3094055,3366663,3308014,3376440,3514719,3704962
Massachusetts,2122756,2171596,2271757,2463395,2628804,2806845,3010696,3246125,3218358,3406239
Michigan,1473199,1509953,1593654,1742051,1903476,2029656,2076947,2134096,2115363,2202756
Minnesota,605201,636920,698920,758084,802840,866304,840731,869824,885306,882516
Mississippi,369143,410637,406459,416806,418235,431365,437775,385916,378750,381383
Missouri,900202,941445,960171,1008901,964192,984357,1055960,1028703,1014509,1046359
Montana,172622,179137,185791,181649,195619,182326,184754,175054,172201,171530
Nebraska,358858,364842,376092,393611,352419,393395,419163,419564,428019,434757
Nevada,194459,192081,190893,182016,170989,160254,149323,147079,146056,148313
New Hampshire,315394,307074,302008,298298,298650,341848,349891,335518,337909,336857
New Jersey,858413,864725,878330,913904,1022690,1091890,1060469,1120119,1081018,1048622
New Mexico,421428,410375,416991,435375,407429,400121,390548,390745,400180,377543
New York,3812856,3971652,3982048,4174906,4782174,5105083,5157872,5327470,5450410,5449862
North Carolina,1709877,1884244,1979164,2160505,2422947,2603702,2618572,2669329,2741270,2745057
North Dakota,160095,169468,180764,185708,202626,209430,213666,212705,215551,212524
Ohio,1637546,1767903,1827042,1895074,1963559,2107830,2017370,2048353,2043780,2017315
Oklahoma,298175,298663,333230,336904,383110,418373,412978,384729,391926,392480
Oregon,557405,574521,594945,636617,663378,701228,680956,667974,670105,679739
Pennsylvania,2431403,2438312,2604118,2722278,3026823,3201566,3125789,3237847,3210166,3249295
Rhode Island,230104,230281,236627,246322,287708,330272,335689,320663,379144,376956
South Carolina,524034,569347,576219,611539,616972,576881,563599,567300,565820,571747
South Dakota,72790,81544,91797,102299,126562,132295,123383,113284,100343,97179
Tennessee,742923,761388,787122,832991,879994,952398,968317,973486,1079491,1021862
Texas,3270728,3417082,3744182,3982142,4220820,4427560,4413601,4585482,4658686,4840716
Utah,412811,414690,425683,500421,551607,614316,608199,673095,674070,715106
Vermont,123608,115025,117210,125023,132519,136623,119802,120178,113711,118957
Virginia,946886,971377,1052601,1088367,1134387,1300258,1283852,1323095,1287075,1302589
Washington,988252,981229,1058170,1083799,1304992,1438349,1376467,1402118,1399256,1430246
West Virginia,150420,167208,169054,174486,178435,195952,189225,184992,184291,187867
Wisconsin,1039530,1066688,1117152,1203919,1230932,1338768,1330338,1278050,1269793,1229086
Wyoming,89414,79700,74720,77633,53957,55320,63812,63149,48736,54928
American Samoa,ne,ne,ne,ne,ne,ne,ne,ne,ne,1337
Guam,7604,7059,6106,5834,5555,5477,5975,5873,6790,5919
Puerto Rico,104077,106852,111744,105330,114982,152435,141188,123784,117258,121299
Virgin Islands,17495,17842,18099,22019,31272,21373,24543,18374,14732,19456
