"State, institutional control, and institution",2012,Unnamed: 2,2013,Unnamed: 4,2014,Unnamed: 6,2015,Unnamed: 8
Alabama,,,,,,,,
Public,,,,,,,,
"Auburn U., Montgomery",625,,641,,485,,452.0,
Troy U.,ne,,ne,,338,,327.0,
U. West Alabama,ne,,ne,,ne,,294.0,
Private,,,,,,,,
Oakwood U.,724,,1058,,965,,1065.0,
Arizona,,,,,,,,
Public,,,,,,,,
Dine C.,ne,,ne,,ne,,150.0,i
Private,,,,,,,,
Prescott C.,238,,842,,478,,173.0,
Arkansas,,,,,,,,
Public,,,,,,,,
Arkansas Tech U.,206,,288,,453,,525.0,
Southern Arkansas U.,308,,298,,264,,290.0,
Private,,,,,,,,
Harding U.,395,,280,,268,,250.0,
Hendrix C.,639,,735,,718,,770.0,
John Brown U.,ne,,ne,,ne,,176.0,
Ouachita Baptist U.,257,,234,,227,,219.0,i
Philander Smith C.,594,,488,,388,,340.0,
California,,,,,,,,
Public,,,,,,,,
"U. California, Hastings C. of Law",195,,327,,375,,272.0,
Private,,,,,,,,
California Lutheran U.,273,,531,,156,,241.0,
Claremont McKenna C.,5365,i,5414,i,5463,i,5513.0,
Dominican U. California,567,,703,,654,,649.0,
International Technological U.,ne,,738,,585,,584.0,
Palo Alto U.,496,,876,,735,,670.0,
Pitzer C.,372,,388,,384,,282.0,
Point Loma Nazarene U.,284,,273,,518,,178.0,
Scripps C.,1016,i,ne,,150,i,150.0,i
Westmont C.,481,,472,,456,,317.0,
Colorado,,,,,,,,
Public,,,,,,,,
Colorado Mesa U.,848,,408,,299,,284.0,
"Colorado State U., Pueblo",899,,676,,360,,230.0,
Fort Lewis C.,591,,625,,603,,483.0,
Private,,,,,,,,
Regis U.,1643,,435,,624,,590.0,
Connecticut,,,,,,,,
Public,,,,,,,,
U.S. Coast Guard Academy,398,,329,,269,,660.0,
Western Connecticut State U.,ne,,262,,239,,262.0,
Private,,,,,,,,
U. Bridgeport,ne,,ne,,443,,942.0,
Florida,,,,,,,,
Public,,,,,,,,
New C. Florida,945,,1294,,897,,924.0,
Private,,,,,,,,
Eckerd C.,404,,365,,485,,415.0,
Rollins C.,491,,372,,497,,460.0,
Stetson U.,982,,404,,505,,204.0,
Georgia,,,,,,,,
Public,,,,,,,,
Georgia C. and State U.,315,,439,,535,,829.0,
Georgia Gwinnett C.,ne,,ne,,ne,,318.0,
Valdosta State U.,797,,557,,548,,700.0,
Private,,,,,,,,
Agnes Scott C.,1213,,288,,391,,387.0,
Berry C.,451,,220,,342,,346.0,
Paine C.,410,,689,,978,,251.0,
Hawaii,,,,,,,,
Private,,,,,,,,
"Brigham Young U., Laie",ne,,ne,,ne,,150.0,i
Idaho,,,,,,,,
Public,,,,,,,,
Lewis-Clark State C.,ne,,ne,,ne,,291.0,
Private,,,,,,,,
Northwest Nazarene U.,421,,502,,866,,858.0,
Illinois,,,,,,,,
Public,,,,,,,,
Chicago State U.,565,,538,,946,,1300.0,
Eastern Illinois U.,1039,,808,,974,,946.0,
Northeastern Illinois U.,672,,1096,,703,,564.0,
Private,,,,,,,,
"Augustana C., Rock Island",601,,434,,730,,495.0,
Elmhurst C.,ne,,ne,,152,,182.0,
Illinois C. of Optometry,ne,,ne,,419,,519.0,
Illinois Wesleyan U.,750,i,486,,296,,345.0,
Lake Forest C.,395,,430,,407,,455.0,
National U. of Health Sciences,472,,466,,217,,263.0,
North Central C.,351,,173,,308,,235.0,
Roosevelt U.,ne,,ne,,ne,,652.0,
Indiana,,,,,,,,
Public,,,,,,,,
"Indiana U., Gary",273,,171,,201,,197.0,
"Indiana U., Kokomo",ne,,263,,485,,488.0,
"Indiana U., New Albany",1306,,565,,317,,613.0,
"Indiana U., Richmond",ne,,ne,,504,,251.0,
U. Southern Indiana,543,,442,,425,,279.0,
Private,,,,,,,,
Butler U.,417,,503,,613,,350.0,
DePauw U.,522,,480,,369,,303.0,
Earlham C.,485,,660,,758,,1353.0,
Indiana Wesleyan U.,326,,157,,285,,280.0,
Rose-Hulman Institute of Technology,1081,,642,,488,,480.0,
Taylor U.,725,,610,,361,,162.0,
U. Evansville,ne,,198,,550,,476.0,
Wabash C.,1877,,1514,,559,,378.0,
Iowa,,,,,,,,
Private,,,,,,,,
Coe C.,311,,685,,523,,433.0,
Cornell C.,ne,,193,,194,,239.0,
Des Moines U.,890,,1311,,929,,1018.0,
Drake U.,1248,,918,,852,,1108.0,
Luther C.,464,,268,,499,,582.0,
Kansas,,,,,,,,
Public,,,,,,,,
Emporia State U.,479,,240,,326,,258.0,
Fort Hays State U.,578,,450,,775,,681.0,
Kentucky,,,,,,,,
Private,,,,,,,,
Centre C.,622,,594,,698,,627.0,
Louisiana,,,,,,,,
Public,,,,,,,,
"Louisiana State U., Shreveport",1168,,937,,966,,704.0,
Northwestern State U. Louisiana,1102,,1022,,792,,1426.0,
"Southern U., New Orleans",595,,340,,491,,279.0,
Private,,,,,,,,
"Loyola U., New Orleans",660,,914,,673,,789.0,
Maine,,,,,,,,
Public,,,,,,,,
"U. Maine, Machias",457,,383,,388,i,376.0,i
Maryland,,,,,,,,
Public,,,,,,,,
Coppin State U.,ne,,ne,,ne,,189.0,
St. Mary's C. Maryland,247,,476,,649,,475.0,
Private,,,,,,,,
Goucher C.,384,,205,,168,,208.0,
"Loyola U., Maryland",644,,697,,534,,449.0,
Maryland Institute C. of Art,509,,295,,599,,590.0,
Massachusetts,,,,,,,,
Public,,,,,,,,
Bridgewater State U.,223,,318,,360,,639.0,
Private,,,,,,,,
Babson C.,398,,301,,3792,,2945.0,
C. of the Holy Cross,767,,535,,467,,512.0,
Hampshire C.,507,,407,,514,,539.0,
Massachusetts C. of Pharmacy and Health Sciences,ne,,ne,,378,,561.0,
Simmons C.,760,,550,,248,,303.0,
Stonehill C.,ne,,ne,,591,,581.0,
Western New England U.,483,,426,,593,,1348.0,
"Wheaton C., Norton",618,,340,,294,,299.0,
Michigan,,,,,,,,
Public,,,,,,,,
Ferris State U.,461,,640,,711,,458.0,
Northern Michigan U.,779,,827,,952,,1177.0,
"U. Michigan, Flint",882,,711,,794,,949.0,
Private,,,,,,,,
Albion C.,852,,990,,789,,743.0,
Andrews U.,940,,894,,753,,872.0,
Kalamazoo C.,889,,507,,558,,597.0,
Minnesota,,,,,,,,
Public,,,,,,,,
Metropolitan State U.,ne,,ne,,418,,254.0,
"Minnesota State U., Moorhead",984,,580,,486,,481.0,
"U. Minnesota, Rochester",641,,546,,619,,663.0,
Winona State U.,588,,483,,659,,340.0,
Private,,,,,,,,
"Concordia C., Moorhead",374,,368,,226,,232.0,
Gustavus Adolphus C.,368,,463,,552,,601.0,
Hamline U.,186,,179,,169,,182.0,
St. Catherine U.,512,,302,,401,,514.0,
U. of St. Thomas (MN),1030,,1424,,916,,1134.0,
Mississippi,,,,,,,,
Public,,,,,,,,
Mississippi Valley State U.,765,,616,,642,,539.0,
Private,,,,,,,,
Millsaps C.,323,,428,,754,,655.0,
Missouri,,,,,,,,
Public,,,,,,,,
Missouri Western State U.,ne,,ne,,ne,,207.0,
Northwest Missouri State U.,202,,ne,,ne,,150.0,i
Southeast Missouri State U.,ne,,ne,,239,,392.0,
Truman State U.,714,,671,,695,,761.0,
U. Central Missouri,ne,,ne,,422,,413.0,
Private,,,,,,,,
Barnes-Jewish C. Goldfarb School of Nursing,324,,293,i,261,,273.0,
Kansas City U. of Medicine and Biosciences,ne,,ne,,396,,1500.0,
Logan U.,1419,i,1374,,903,,393.0,
Montana,,,,,,,,
Public,,,,,,,,
"Montana State U., Billings",439,,476,,538,,573.0,
"Montana State U., Havre",314,,421,,421,,550.0,
Nebraska,,,,,,,,
Public,,,,,,,,
Peru State C.,ne,,ne,,213,,153.0,
New Jersey,,,,,,,,
Public,,,,,,,,
C. New Jersey,523,,962,,861,,830.0,
New Jersey City U.,ne,,ne,,ne,,443.0,
Ramapo C. New Jersey,278,,208,,287,,153.0,
William Paterson U.,ne,,ne,,ne,,150.0,i
Private,,,,,,,,
Fairleigh Dickinson U.,ne,,ne,,ne,,312.0,
Monmouth U.,904,,1043,,865,,1220.0,
New Mexico,,,,,,,,
Public,,,,,,,,
"Eastern New Mexico U., Portales",758,,721,,660,,1144.0,
New Mexico Highlands U.,1566,,1209,,979,,1037.0,
Western New Mexico U.,ne,,ne,,ne,,218.0,
New York,,,,,,,,
Public,,,,,,,,
"CUNY, New York City C. of Technology",426,,732,,549,,703.0,
"SUNY, C. Cortland",1133,,819,,756,,731.0,
"SUNY, C. Old Westbury",1237,i,ne,,ne,,150.0,i
