R&D field,Total,Federally financed,All separately budgeted R&D expenditures,Imputed amount,Imputed amount as % of total,All separately budgeted R&D expenditures.1,Imputed amount.1,Imputed amount as % of total.1
All R&D fields,2166234,6981,0.3,986784,3889,0.4,,
All science and engineering,2115205,83457,3.9,978772,33378,3.4,,
Computer sciences,87680,7183,8.2,65882,1728,2.6,,
Environmental sciences,127165,849,0.7,83178,326,0.4,,
Atmospheric sciences,19887,120,0.6,16102,42,0.3,,
Earth sciences,49738,327,0.7,28044,155,0.6,,
Oceanography,45968,188,0.4,34057,65,0.2,,
"Environmental sciences, nec",11572,214,1.8,4975,64,1.3,,
Life sciences,817933,16975,2.1,298184,9628,3.2,,
Agricultural sciences,89959,244,0.3,23040,127,0.6,,
Biological sciences,333545,8309,2.5,135208,4608,3.4,,
Medical sciences,322544,7764,2.4,123896,4708,3.8,,
"Life sciences, nec",71885,658,0.9,16040,185,1.2,,
Mathematical sciences,5645,2012,35.6,3102,679,21.9,,
Physical sciences,443370,13071,2.9,263106,5067,1.9,,
Astronomy,100622,3930,3.9,24589,2533,10.3,,
Chemistry,119895,1387,1.2,67119,447,0.7,,
Physics,205887,6124,3.0,161071,1829,1.1,,
"Physical sciences, nec",16966,1630,9.6,10327,258,2.5,,
Psychology,13695,321,2.3,7873,138,1.8,,
Social sciences,10188,1098,10.8,2596,185,7.1,,
Economics,2196,330,15.0,173,10,5.8,,
Political science,769,102,13.3,185,14,7.6,,
Sociology,2746,473,17.2,1051,145,13.8,,
"Social sciences, nec",4477,193,4.3,1187,16,1.3,,
"Sciences, nec",45404,2026,4.5,8580,669,7.8,,
Engineering,564125,39922,7.1,246271,14958,6.1,,
Aeronautical and astronautical engineering,34758,3439,9.9,16717,1181,7.1,,
Bioengineering and biomedical engineering,43972,962,2.2,19317,524,2.7,,
Chemical engineering,46366,364,0.8,21232,165,0.8,,
Civil engineering,30644,354,1.2,12666,208,1.6,,
Electrical engineering,119988,18714,15.6,74958,6613,8.8,,
Mechanical engineering,77140,6774,8.8,41264,2946,7.1,,
Metallurgical and materials engineering,115507,503,0.4,22955,186,0.8,,
"Engineering, nec",95750,8861,9.3,37162,3181,8.6,,
All non-science and engineering,51029,2766,5.4,8012,127,1.6,,
Business and management,11363,730,6.4,325,3,0.9,,
"Communications, journalism, and library science",4809,192,4.0,861,1,0.1,,
Education,5899,764,13.0,2001,65,3.2,,
Humanities,3692,75,2.0,269,7,2.6,,
Law,321,93,29.0,49,0,0.0,,
Social work,284,151,53.2,44,12,27.3,,
Visual and performing arts,1809,70,3.9,267,1,0.4,,
"Non-science and engineering, nec",22852,691,3.0,4196,38,0.9,,
