Capitalization thresholds,All institutions,Highest degree granted,Institutional control,Doctorate,Nondoctorate,Public,Private
Equipment,,,,,,,
Do not capitalize,11.0,4.0,7.0,8.0,3.0,,
500,8.0,6.0,2.0,1.0,7.0,,
1000,28.0,14.0,14.0,9.0,19.0,,
1500,3.0,2.0,1.0,0.0,3.0,,
2000,16.0,8.0,8.0,7.0,9.0,,
2500,11.0,6.0,5.0,2.0,9.0,,
3000,18.0,13.0,5.0,5.0,13.0,,
3500,1.0,1.0,0.0,1.0,0.0,,
5000,497.0,380.0,117.0,345.0,152.0,,
10000,10.0,5.0,5.0,2.0,8.0,,
15000,1.0,0.0,1.0,0.0,1.0,,
25000,3.0,1.0,2.0,0.0,3.0,,
50000,1.0,1.0,0.0,0.0,1.0,,
100000,1.0,0.0,1.0,1.0,0.0,,
250000,2.0,2.0,0.0,2.0,0.0,,
500000,1.0,0.0,1.0,1.0,0.0,,
Software,,,,,,,
Do not capitalize,97.0,65.0,32.0,57.0,40.0,,
500,9.0,6.0,3.0,1.0,8.0,,
1000,19.0,10.0,9.0,4.0,15.0,,
1500,1.0,1.0,0.0,0.0,1.0,,
2000,8.0,3.0,5.0,1.0,7.0,,
2500,7.0,4.0,3.0,1.0,6.0,,
3000,10.0,7.0,3.0,3.0,7.0,,
4000,1.0,0.0,1.0,1.0,0.0,,
5000,259.0,183.0,76.0,154.0,105.0,,
10000,14.0,7.0,7.0,4.0,10.0,,
15000,1.0,0.0,1.0,0.0,1.0,,
25000,10.0,8.0,2.0,2.0,8.0,,
50000,16.0,15.0,1.0,10.0,6.0,,
75000,4.0,4.0,0.0,3.0,1.0,,
100000,99.0,81.0,18.0,93.0,6.0,,
140000,1.0,1.0,0.0,1.0,0.0,,
200000,3.0,3.0,0.0,3.0,0.0,,
250000,12.0,12.0,0.0,9.0,3.0,,
300000,1.0,1.0,0.0,0.0,1.0,,
400000,3.0,3.0,0.0,3.0,0.0,,
500000,15.0,13.0,2.0,13.0,2.0,,
1000000,19.0,14.0,5.0,19.0,0.0,,
4000000,2.0,2.0,0.0,2.0,0.0,,
