Year,Annual maximum taxable earnings (dollars),Average annual wage a (dollars,"Factors for workers who were first eligible (attained age 62, became disabled, or died) in b",,,,,,,,,,,,,,,,0
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,0
1951,"3,600","2,799.16",10.3107504,10.8853513,11.4873105,11.7613570,11.8793102,12.1697045,12.7354456,13.2014390,13.8082175,14.4348590,14.7669194,14.5442240,14.8879771,15.3544671,15.8339180,16.0362966,0
1952,"3,600","2,973.32",9.7068059,10.2477500,10.8144498,11.0724443,11.1834885,11.4568731,11.9894764,12.4281746,12.9994114,13.5893479,13.9019581,13.6923069,14.0159250,14.4550906,14.9064581,15.0969825,0
1953,"3,600","3,139.44",9.1931809,9.7055016,10.2422152,10.4865581,10.5917265,10.8506453,11.3550665,11.7705514,12.3115619,12.8702826,13.1663513,12.9677936,13.2742878,13.6902155,14.1176993,14.2981423,0
1954,"3,600","3,155.64",9.1459862,9.6556768,10.1896351,10.4327236,10.5373522,10.7949418,11.2967734,11.7101254,12.2483585,12.8042109,13.0987597,12.9012213,13.2061420,13.6199345,14.0452238,14.2247405,0
1955,"4,200","3,301.44",8.7420762,9.2292575,9.7396348,9.9719880,10.0719959,10.3182096,10.7978791,11.1929764,11.7074398,12.2387443,12.5202851,12.3314705,12.6229251,13.0184435,13.4249509,13.5965397,0
1956,"4,200","3,532.36",8.1705828,8.6259158,9.1029284,9.3200919,9.4135620,9.6436801,10.0919923,10.4612610,10.9420925,11.4386642,11.7017999,11.5253287,11.7977301,12.1673923,12.5473253,12.7076968,0
1957,"4,200","3,641.72",7.9252221,8.3668816,8.8295695,9.0402118,9.1308750,9.3540827,9.7889322,10.1471118,10.6135041,11.0951638,11.3503976,11.1792258,11.4434471,11.8020084,12.1705321,12.3260877,0
1958,"4,200","3,673.80",7.8560183,8.2938211,8.7524688,8.9612717,9.0511432,9.2724019,9.7034542,10.0585062,10.5208258,10.9982797,11.2512848,11.0816076,11.3435217,11.6989520,12.0642577,12.2184550,0
1959,"4,800","3,855.80",7.4852015,7.9023393,8.3393381,8.5382852,8.6239146,8.8347295,9.2454354,9.5837284,10.0242258,10.4791431,10.7202059,10.5585378,10.8080891,11.1467426,11.4948052,11.6417242,0
