Year enacted,Effective date,Minimum PIA a (dollars,Maximum family benefit,,0
,,,Percentage of AMW,Not less than—,0
1935,. . .,10.00,. . .,. . .,0
1939,. . .,. . .,"Lesser of 80%, $85, or 200% of PIA",$20.00,0
1950,September 1950,20.00,80% of first $187.50,$40.00,0
1952,September 1952,25.00,80% of first $210.93,$45.00,0
1954,September 1954,30.00,80% of first $250,$50.00 or 150% of PIA,0
1958,January 1959,33.00,80% of first $317.50,$20.00 + PIA or 150% of PIA,0
1961,August 1961,40.00,80% of first $317.50,150% of PIA,0
1965,January 1965,44.00,80% of first $370 + 40% of next $180,150% of PIA,0
1967,February 1968,55.00,80% of first $436 + 40% of next $214,150% of PIA,0
1969,January 1970,64.00,80% of first $436 + 40% of next $180,150% of PIA,0
1971,January 1971,70.40,88% of first $436 + 44% of next $191 ,150% of PIA,0
1972,September 1972,84.50,105.6% of first $436 + 52.8% of next $191 ,150% of PIA,0
1973 ,June 1974,89.50,111.8% of first $436 + 55.9% of next $191 ,150% of PIA,0
1973 ,March 1974,90.50,113.0% of first $436 + 56.5% of next $191 ,150% of PIA,0
,June 1974,93.80,117.2% of first $436 + 58.6% of next $191 ,150% of PIA,0
,June 1975,101.40,126.6% of first $436 + 63.3% of next $191 ,150% of PIA,0
,June 1976,107.90,134.7% of first $436 + 67.3% of next $191 ,150% of PIA,0
,June 1977,114.30,142.6% of first $436 + 71.3% of next $191 ,150% of PIA,0
,June 1978,121.80,151.9% of first $436 + 76.0% of next $191 ,150% of PIA,0
,June 1979,133.90,167.0% of first $436 + 83.5% of next $191 ,150% of PIA,0
,June 1980,153.10,190.9% of first $436 + 95.4% of next $191 ,150% of PIA,0
,June 1981,170.30,212.2% of first $436 + 106.1% of next $191 ,150% of PIA,0
1981 ,March 1982,f,190.9% of first $436 + 106.1% of next $191 ,150% of PIA,0
1981,June 1982,182.90,227.9% of first $436 + 114.0% of next $191 ,150% of PIA,0
,December 1983,189.30,235.9% of first $436 + 118.0% of next $191 ,150% of PIA,0
,December 1984,195.90,244.2% of first $436 + 122.1% of next $191 ,150% of PIA,0
,December 1985,201.90,251.8% of first $436 + 125.9% of next $191 ,150% of PIA,0
,December 1986,204.50,255.1% of first $436 + 127.5% of next $191 ,150% of PIA,0
,December 1987,213.00,265.8% of first $436 + 132.9% of next $191 ,150% of PIA,0
,December 1988,221.50,276.4% of first $436 + 138.2% of next $191 ,150% of PIA,0
,December 1989,231.90,289.4% of first $436 + 144.7% of next $191 ,150% of PIA,0
,December 1990,244.40,305.0% of first $436 + 152.5% of next $191 ,150% of PIA,0
,December 1991,253.40,316.3% of first $436 + 158.1% of next $191 ,150% of PIA,0
,December 1992,261.00,325.8% of first $436 + 162.8% of next $191 ,150% of PIA,0
,December 1993,267.70,334.3% of first $436 + 167.0% of next $191 ,150% of PIA,0
,December 1994,275.10,343.7% of first $436 + 171.7% of next $191 ,150% of PIA,0
,December 1995,282.20,352.6% of first $436 + 176.2% of next $191 ,150% of PIA,0
,December 1996,290.30,362.8% of first $436 + 181.3% of next $191 ,150% of PIA,0
,December 1997,296.30,370.4% of first $436 + 185.1% of next $191 ,150% of PIA,0
,December 1998,300.10,375.2% of first $436 + 187.5% of next $191 ,150% of PIA,0
,December 1999 ,307.60,384.6% of first $436 + 192.2% of next $191 ,150% of PIA,0
,December 2000,318.30,398.1% of first $436 + 198.9% of next $191 ,150% of PIA,0
,December 2001,326.50,408.5% of first $436 + 204.1% of next $191 ,150% of PIA,0
,December 2002,331.00,414.2% of first $436 + 206.9% of next $191 ,150% of PIA,0
,December 2003,337.90,422.9% of first $436 + 211.2% of next $191 ,150% of PIA,0
,December 2004,347.00,434.3% of first $436 + 216.9% of next $191 ,150% of PIA,0
,December 2005,361.20,452.1% of first $436 + 225.8% of next $191 ,150% of PIA,0
,December 2006,373.10,467.0% of first $436 + 233.3% of next $191 ,150% of PIA,0
,December 2007,381.60,477.7% of first $436 + 238.7% of next $191 ,150% of PIA,0
,December 2008,403.70,505.4% of first $436 + 252.5% of next $191 ,150% of PIA,0
,December 2009,403.70,505.4% of first $436 + 252.5% of next $191 ,150% of PIA,0
,December 2010,403.70,505.4% of first $436 + 252.5% of next $191 ,150% of PIA,0
,December 2011,418.20,523.6% of first $436 + 261.6% of next $191 ,150% of PIA,0
,December 2012,425.30,532.5% of first $436 + 266.0% of next $191 ,150% of PIA,0
