Year,Annual maximum taxable earnings,Average annual wage ,"Annual maximum indexed earnings for workers who were first eligible (attained age 62, became disabled, or died) in b",,,,,,,
,,,2008,2009,2010,2011,2012,2013,2014,2015
1951,"3,600","2,799.16","49,709.58","51,965.49","53,160.91","52,359.21","53,596.72","55,276.08","57,002.10","57,730.67"
1952,"3,600","2,973.32","46,797.88","48,921.65","50,047.05","49,292.30","50,457.33","52,038.33","53,663.25","54,349.14"
1953,"3,600","3,139.44","44,321.62","46,333.02","47,398.86","46,684.06","47,787.44","49,284.78","50,823.72","51,473.31"
1954,"3,600","3,155.64","44,094.09","46,095.16","47,155.53","46,444.40","47,542.11","49,031.76","50,562.81","51,209.07"
1955,"4,200","3,301.44","49,171.25","51,402.73","52,585.20","51,792.18","53,016.29","54,677.46","56,384.79","57,105.47"
1956,"4,200","3,532.36","45,956.79","48,042.39","49,147.56","48,406.38","49,550.47","51,103.05","52,698.77","53,372.33"
1957,"4,200","3,641.72","44,576.72","46,599.69","47,671.67","46,952.75","48,062.48","49,568.44","51,116.23","51,769.57"
1958,"4,200","3,673.80","44,187.47","46,192.77","47,255.40","46,542.75","47,642.79","49,135.60","50,669.88","51,317.51"
1959,"4,800","3,855.80","48,116.28","50,299.89","51,456.99","50,680.98","51,878.83","53,504.36","55,175.06","55,880.28"
1960,"4,800","4,007.12","46,299.28","48,400.42","49,513.83","48,767.13","49,919.74","51,483.89","53,091.50","53,770.08"
1961,"4,800","4,086.76","45,397.03","47,457.23","48,548.94","47,816.79","48,946.94","50,480.61","52,056.89","52,722.25"
1962,"4,800","4,291.40","43,232.22","45,194.18","46,233.83","45,536.59","46,612.85","48,073.39","49,574.50","50,208.13"
1963,"4,800","4,396.64","42,197.40","44,112.39","45,127.16","44,446.61","45,497.10","46,922.68","48,387.86","49,006.32"
1964,"4,800","4,576.32","40,540.60","42,380.41","43,355.33","42,701.50","43,710.75","45,080.35","46,488.01","47,082.19"
1965,"4,800","4,658.72","39,823.55","41,630.81","42,588.49","41,946.23","42,937.63","44,283.01","45,665.77","46,249.44"
1966,"6,600","4,938.36","51,656.68","54,000.96","55,243.20","54,410.09","55,696.08","57,441.22","59,234.85","59,991.95"
1967,"6,600","5,213.44","48,931.09","51,151.67","52,328.37","51,539.22","52,757.35","54,410.41","56,109.41","56,826.56"
1968,"7,800","5,571.76","54,108.76","56,564.31","57,865.52","56,992.86","58,339.89","60,167.87","62,046.65","62,839.69"
1969,"7,800","5,893.76","51,152.57","53,473.97","54,704.09","53,879.11","55,152.55","56,880.66","58,656.79","59,406.50"
1970,"7,800","6,186.24","48,734.13","50,945.77","52,117.73","51,331.76","52,544.98","54,191.39","55,883.55","56,597.81"
1971,"7,800","6,497.08","46,402.54","48,508.37","49,624.26","48,875.89","50,031.07","51,598.71","53,209.91","53,890.00"
