Year,Receipts ,,,,,Expenditures,,,,Assets,,0
,Total,Net payroll tax contributions ,Income from taxation of benefits,Reimbursements from the general fund of the Treasury ,Net interest ,Total,Benefit payments ,Administrative expenses,Transfers to Railroad Retirement program,Net increase during year,Amount at end of year,0
1937,767,765,. . .,. . .,2,1,1,. . .,. . .,766,766,0
1938,375,360,. . .,. . .,15,10,10,. . .,. . .,366,"1,132",0
1939,607,580,. . .,. . .,27,14,14,. . .,. . .,592,"1,724",0
1940,368,325,. . .,. . .,43,62,35,26,. . .,306,"2,031",0
1941,845,789,. . .,. . .,56,114,88,26,. . .,731,"2,762",0
1942,"1,085","1,012",. . .,. . .,72,159,131,28,. . .,926,"3,688",0
1943,"1,328","1,239",. . .,. . .,88,195,166,29,. . .,"1,132","4,820",0
1944,"1,422","1,316",. . .,. . .,107,238,209,29,. . .,"1,184","6,005",0
1945,"1,420","1,285",. . .,. . .,134,304,274,30,. . .,"1,116","7,121",0
1946,"1,447","1,295",. . .,. . .,152,418,378,40,. . .,"1,029","8,150",0
1947,"1,722","1,557",. . .,1,164,512,466,46,. . .,"1,210","9,360",0
1958,"1,969","1,685",. . .,3,281,607,556,51,. . .,"1,362","10,722",0
1949,"1,816","1,666",. . .,4,146,721,667,54,. . .,"1,094","11,816",0
1950,"2,928","2,667",. . .,4,257,"1,022",961,61,. . .,"1,905","13,721",0
1951,"3,784","3,363",. . .,4,417,"1,966","1,885",81,. . .,"1,818","15,540",0
1952,"4,184","3,819",. . .,. . .,365,"2,282","2,194",88,. . .,"1,902","17,442",0
1953,"4,359","3,945",. . .,. . .,414,"3,094","3,006",88,. . .,"1,265","18,707",0
1954,"5,610","5,163",. . .,. . .,447,"3,741","3,670",92,-21,"1,869","20,576",0
1955,"6,167","5,713",. . .,. . .,454,"5,079","4,968",119,-7,"1,087","21,663",0
1956,"6,697","6,172",. . .,. . .,526,"5,841","5,715",132,-5,856,"22,519",0
1957,"7,381","6,825",. . .,. . .,556,"7,507","7,347",162,-2,-126,"22,393",0
1958,"8,117","7,566",. . .,. . .,552,"8,646","8,327",194,124,-528,"21,864",0
1959,"8,584","8,052",. . .,. . .,532,"10,308","9,842",184,282,"-1,724","20,141",0
1960,"11,382","10,866",. . .,. . .,516,"11,198","10,677",203,318,184,"20,324",0
1961,"11,833","11,285",. . .,. . .,548,"12,432","11,862",239,332,-599,"19,725",0
1962,"12,585","12,059",. . .,. . .,526,"13,973","13,356",256,361,"-1,388","18,337",0
1963,"15,063","14,541",. . .,. . .,521,"14,920","14,217",281,423,143,"18,480",0
1964,"16,258","15,689",. . .,. . .,569,"15,613","14,914",296,403,645,"19,125",0
1965,"16,610","16,017",. . .,. . .,593,"17,501","16,737",328,436,-890,"18,235",0
1966,"21,302","20,580",. . .,78,644,"18,967","18,267",256,444,"2,335","20,570",0
1967,"24,034","23,138",. . .,78,818,"20,382","19,468",406,508,"3,652","24,222",0
1968,"25,040","23,719",. . .,382,939,"23,557","22,643",476,438,"1,483","25,704",0
1969,"29,554","27,947",. . .,442,"1,165","25,176","24,210",474,491,"4,378","30,082",0
1970,"32,220","30,256",. . .,449,"1,515","29,848","28,798",471,579,"2,371","32,454",0
1971,"35,877","33,723",. . .,488,"1,667","34,542","33,414",514,613,"1,335","33,789",0
1972,"40,050","37,781",. . .,475,"1,794","38,522","37,124",674,724,"1,528","35,318",0
1973,"48,344","45,975",. . .,442,"1,928","47,175","45,745",647,783,"1,169","36,487",0
1974,"54,688","52,081",. . .,447,"2,159","53,397","51,623",865,909,"1,291","37,777",0
1975,"59,605","56,816",. . .,425,"2,364","60,395","58,517",896,982,-790,"36,987",0
1976,"66,276","63,362",. . .,614,"2,301","67,876","65,705",959,"1,212","-1,600","35,388",0
1977,"72,412","69,572",. . .,613,"2,227","75,309","73,121",981,"1,208","-2,897","32,491",0
1978,"78,094","75,471",. . .,615,"2,008","83,064","80,361","1,115","1,589","-4,971","27,520",0
1979,"90,274","87,919",. . .,557,"1,797","93,133","90,573","1,113","1,448","-2,860","24,660",0
1980,"105,841","103,456",. . .,540,"1,845","107,678","105,083","1,154","1,442","-1,837","22,823",0
1981,"125,361","122,627",. . .,675,"2,060","126,695","123,803","1,307","1,585","-1,334","21,490",0
1982,"125,198","123,673",. . .,680,845,"142,119","138,806","1,519","1,793",f 59,"22,088",0
1983,"150,584","138,337",. . .,"5,541","6,706","152,999","149,221","1,528","2,251","-2,416","19,672",0
1984,"169,328","159,515","2,835","4,712","2,266","161,883","157,841","1,638","2,404","7,445","27,117",0
