Year,Receipts a,Expenditures,Assets,Total,Net payroll tax contributions b,Income from taxation of benefits,Reimbursements from the general fund of the Treasury c,Net interest d,Total.1,Benefit payments e,Administrative expenses,Transfers to Railroad Retirement program,Net increase during year,Amount at end of year
1957,709,702,. . .,. . .,7,59,57,3,. . .,649,649.0,,,
1958,991,966,. . .,. . .,25,261,249,12,. . .,729,1379.0,,,
1959,931,891,. . .,. . .,40,485,457,50,-22,447,1825.0,,,
1960,1063,1010,. . .,. . .,53,600,568,36,-5,464,2289.0,,,
1961,1104,1038,. . .,. . .,66,956,887,64,5,148,2437.0,,,
1962,1114,1046,. . .,. . .,68,1183,1105,66,11,-69,2368.0,,,
1963,1165,1099,. . .,. . .,66,1297,1210,68,20,-133,2235.0,,,
1964,1218,1154,. . .,. . .,64,1407,1309,79,19,-188,2047.0,,,
1965,1247,1188,. . .,. . .,59,1687,1573,90,24,-440,1606.0,,,
1966,2079,2006,. . .,16,58,1947,1784,137,25,133,1739.0,,,
1967,2379,2286,. . .,16,78,2089,1950,109,31,290,2029.0,,,
1968,3454,3316,. . .,32,106,2458,2311,127,20,996,3025.0,,,
1969,3792,3599,. . .,16,177,2716,2557,138,21,1075,4100.0,,,
1970,4774,4481,. . .,16,277,3259,3085,164,10,1514,5614.0,,,
1971,5031,4620,. . .,50,361,4000,3783,205,13,1031,6645.0,,,
1972,5572,5107,. . .,51,414,4759,4502,233,24,813,7457.0,,,
1973,6443,5932,. . .,52,458,5973,5764,190,20,470,7927.0,,,
1974,7378,6826,. . .,52,500,7196,6957,217,22,182,8109.0,,,
1975,8035,7444,. . .,90,502,8790,8505,256,29,-754,7354.0,,,
1976,8757,8233,. . .,103,422,10366,10055,285,26,-1609,5745.0,,,
1977,9570,9138,. . .,128,304,11945,11547,399,-1,-2375,3370.0,,,
1978,13810,13413,. . .,142,256,12954,12599,325,30,856,4226.0,,,
1979,15590,15114,. . .,118,358,14186,13786,371,30,1404,5630.0,,,
1980,13871,13255,. . .,130,485,15872,15515,368,-12,-2001,3629.0,,,
1981,17078,16738,. . .,168,172,17658,17192,436,29,-580,3049.0,,,
1982,22715,21995,. . .,174,546,17992,17376,590,26,f -358,2691.0,,,
1983,20682,17991,. . .,1121,1569,18177,17524,625,28,2505,5195.0,,,
1984,17309,15503,190,441,1174,18546,17898,626,22,-1237,3959.0,,,
1985,19301,17014,222,1195,870,19478,18827,608,43,"f 2,363",6321.0,,,
1986,19439,18247,238,152,803,20522,19853,600,68,"f 1,459",7780.0,,,
1987,20303,19538,-36,153,648,21425,20519,849,57,-1122,6658.0,,,
1988,22699,21837,61,202,600,22494,21695,737,61,206,6864.0,,,
1989,24795,23797,95,196,707,23753,22911,754,88,1041,7905.0,,,
1990,28791,28403,144,-639,883,25616,24829,707,80,3174,11079.0,,,
1991,30390,29128,190,9,1063,28571,27695,794,82,1819,12898.0,,,
1992,31430,30148,232,-12,1062,32004,31112,834,58,-574,12324.0,,,
1993,32301,31182,281,4,835,35662,34613,966,83,-3361,8963.0,,,
1994,52841,51372,311,1,1157,38879,37744,1029,106,13962,22925.0,,,
1995,56696,54404,341,-207,2158,42055,40923,1064,68,14641,37566.0,,,
1996,60710,57325,373,g,3012,45351,44189,1160,2,15359,52924.0,,,
1997,60499,56037,470,g,3992,47034,45695,1280,59,13465,66389.0,,,
1998,64357,58966,558,g,4832,49931,48207,1567,157,14425,80815.0,,,
1999,69541,63203,661,g,5677,53035,51381,1519,135,16507,97321.0,,,
2000,77920,71093,721,-836,6942,56782,54983,1639,159,21138,118459.0,,,
2001,83903,74933,811,g,8158,61369,59618,1741,10,22534,140993.0,,,
2002,87379,77272,930,g,9178,67905,65702,2049,154,19475,160468.0,,,
2003,88074,77442,944,g,9689,73108,70933,2008,167,14966,175434.0,,,
2004,91380,80281,1111,g,9988,80597,78229,2152,215,10783,186217.0,,,
2005,97423,86077,1073,g,10273,88018,85365,2315,338,9405,195623.0,,,
2006,102641,90808,1230,g,10603,94456,91741,2326,388,8185,203808.0,,,
