State or area ,Number b (thousands,,,Taxable earnings c (millions of dollars,,,OASDI contributions d (millions of dollars,,
,Total,Wage and salary,Self- employed,Total,Wage and salary,Self- employed,Total,Wage and salary,Self- employed
All areas,"163,355","152,378","18,609","5,936,714","5,581,000","355,714","736,153","692,044","44,109"
Alabama,"2,352","2,210",253,"77,105","73,030","4,075","9,561","9,056",505
Alaska,407,382,46,"15,683","14,619","1,063","1,945","1,813",132
Arizona,"3,128","2,946",320,"108,822","103,411","5,411","13,494","12,823",671
Arkansas,"1,447","1,357",155,"43,920","41,478","2,442","5,446","5,143",303
California,"17,736","16,107","2,507","696,464","643,123","53,341","86,362","79,747","6,614"
Colorado,"2,694","2,495",339,"102,026","95,136","6,890","12,651","11,797",854
Connecticut,"1,982","1,844",228,"85,355","79,294","6,061","10,584","9,832",752
Delaware,503,481,38,"19,187","18,423",765,"2,379","2,284",95
District of Columbia,392,371,41,"19,239","18,165","1,074","2,386","2,252",133
Florida,"9,505","8,748","1,258","310,204","291,995","18,209","38,465","36,207","2,258"
Georgia,"4,904","4,563",594,"166,819","157,809","9,010","20,686","19,568","1,117"
Hawaii,754,708,75,"27,753","26,140","1,613","3,441","3,241",200
Idaho,823,771,92,"25,064","23,399","1,665","3,108","2,901",206
Illinois,"6,660","6,216",762,"249,212","234,866","14,345","30,902","29,123","1,779"
Indiana,"3,631","3,459",328,"119,313","113,502","5,810","14,795","14,074",720
Iowa,"1,780","1,674",201,"59,883","55,778","4,105","7,425","6,916",509
Kansas,"1,587","1,491",176,"54,775","50,949","3,826","6,792","6,318",474
Kentucky,"2,215","2,085",224,"68,048","64,523","3,525","8,438","8,001",437
Louisiana,"2,226","2,071",268,"73,751","69,128","4,624","9,145","8,572",573
Maine,732,678,90,"22,650","20,982","1,668","2,809","2,602",207
Maryland,"3,275","3,087",336,"144,498","137,567","6,931","17,918","17,058",859
Massachusetts,"3,538","3,292",405,"149,734","140,133","9,601","18,567","17,377","1,190"
Michigan,"5,202","4,901",546,"177,268","167,999","9,269","21,981","20,832","1,149"
Minnesota,"3,193","3,015",336,"123,239","116,219","7,020","15,282","14,411",871
Mississippi,"1,426","1,325",176,"42,897","40,032","2,865","5,319","4,964",355
Missouri,"3,113","2,929",322,"100,894","95,359","5,535","12,511","11,825",686
Montana,572,530,73,"17,096","15,650","1,446","2,120","1,941",179
Nebraska,"1,093","1,029",121,"37,044","34,614","2,430","4,593","4,292",301
Nevada,"1,270","1,191",134,"41,593","39,278","2,315","5,157","4,870",287
New Hampshire,798,744,86,"31,842","29,787","2,055","3,948","3,694",255
New Jersey,"4,839","4,541",522,"215,019","202,598","12,421","26,662","25,122","1,540"
New Mexico,956,898,103,"30,899","29,267","1,632","3,832","3,629",202
